0	Index      	 *	Score 	Summary	Detail	
1	32362 12323	 * 	196.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|789VULN|aZMB
2	32326 43351	 * 	192.40	DCR|3DMG|2VULN|2ASPD|1CDMG|2DUR	1aASPD|28aDMG|3CDMG|49DUR|5aVULN|6NUKE|7RCR|aBPWR
3	32362 12326	   	192.01	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|789VULN|aDUR
4	12322 51225	 * 	187.12	DCR|3VULN|3DMG|1AART	1BELT|247BEXP|347VULN|47BPWR|5NUKE|678DMG|9RCR|aAART
5	32362 12335	 * 	187.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|2aDMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9CGEN
6	32362 12123	 * 	186.73	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	1ASPD|2DMG|38CDMG|4AART|5RPLT|6RCR|79VULN|aZMB
7	14135 23623	 * 	185.24	ACR|3DMG|2VULN|3DUR|1ZMB	1BELT|2RCR|379DUR|49VULN|5TLV|6ZMB|89aDMG|9BPWR
8	12323 51225	 * 	185.12	DCR|3DMG|2VULN|1AART|2ASPD	1BELT|247BEXP|34VULN|47BPWR|57ASPD|678DMG|9RCR|aAART
9	32362 12321	   	185.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|789VULN|aBEXP
10	32362 12325	   	185.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|789VULN|aLIT
11	32362 12322	   	184.97	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|789VULN|aDUST
12	14122 51124	 * 	184.08	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5BEXP|68VULN|7AART|9CDMG|aDMG
13	14126 31124	   	184.08	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5LWND|68VULN|7AART|9CDMG|aDMG
14	14324 31124	   	184.08	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1BELT|2RCR|3LWND|4FLTHEA|5DUR|68VULN|7AART|9CDMG|aDMG
15	14121 24224	 * 	184.07	ACR|3VULN|2DMG|1FLTHEA|2DUR	1BELT|2RCR|3aDUR|4FLTHEA|5aDMG|6BEXP|7TLV|89aVULN|aBPWR
16	14121 14224	   	183.97	ACR|3VULN|2DMG|1FLTHEA|2DUR	1BELT|2RCR|3aDUR|4FLTHEA|5aDMG|6DUST|7TLV|89aVULN|aBPWR
17	32326 43251	 * 	183.06	DCR|2VULN|2DMG|2CDMG|2ASPD|2DUR	1aASPD|2aDMG|38CDMG|49DUR|5aVULN|6NUKE|7RCR|aBPWR
18	32362 12126	   	182.67	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1ASPD|2DMG|38CDMG|4AART|5RPLT|6RCR|79VULN|aDUR
19	26636 22323	 * 	182.61	ACR|5VULN|2DMG	126DUST|269BPWR|3RCR|4569aVULN|79DMG|89LHND
20	32462 33215	   	182.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|26DMG|3aVULN|4FEWX|56LWND|6BPWR|7RCR|8AART|9CDMG
21	26633 22422	   	182.02	ACR|4VULN|2DMG|2DUR	126DUST|269BPWR|3RCR|469aVULN|5RCVC|79DMG|89DUR
22	32362 12333	   	180.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9CGEN|aZMB
23	32362 12353	   	180.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9RCVC|aZMB
24	32362 12617	   	180.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|7aVULN|8ZMB|9MBVNT
25	32454 11123	   	178.86	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ASPD|26DMG|39VULN|4LHND|5AART|7ERES|8RCR|aZMB
26	32612 46313	   	177.92	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	15ASPD|26DMG|3RMIN|4AART|7RCR|8VULN|9DUR|aZMB
27	34311 34133	   	177.76	DCR|3DMG|2VULN|2ASPD|1CDMG	16ASPD|2RMIN|3CDMG|4CGEN|56VULN|6BPWR|79aDMG|8RCR
28	12322 51221	 * 	177.57	DCR|3VULN|3DMG|1FLTHEA	1BELT|247BEXP|347VULN|47BPWR|5NUKE|678DMG|9RCR|aFLTHEA
29	12322 51624	 * 	177.57	DCR|3VULN|3DMG|1CDMG	1BELT|247BEXP|347VULN|47BPWR|5NUKE|67aDMG|8CDMG|9RCR
30	14224 51132	 * 	177.47	ACR|3VULN|2AART|1FLTHEA|1DUR	1BELT|2RCR|3LHND|4FLTHEA|5DUR|68aVULN|79AART
31	13241 52412	   	177.42	DCR|2VULN|2DMG|1AART|1ZMB	1BELT|2LIT|3CGEN|4AART|5ZMB|6RCR|78VULN|9aDMG
32	14136 52122	 * 	177.34	ACR|2VULN|2AART|1DMG|3DUR	1BELT|2RCR|389DUR|46VULN|5DMG|7aAART
33	14322 51124	   	177.15	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1BELT|2RCR|3LWND|4FLTHEA|5BEXP|68VULN|7AART|9CDMG|aDMG
34	22653 21125	   	177.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2DUR|3RCR|48VULN|5CDMG|6DMG|7LEGI|9ZMB|aAART
35	22653 21325	 * 	177.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2DUR|3RCR|4VULN|5CDMG|68DMG|7LEGI|9ZMB|aAART
36	26636 22321	   	176.72	ACR|4VULN|2DMG|1DUR	126DUST|269BPWR|3RCR|4569VULN|79DMG|89LHND|aDUR
37	32612 43423	 * 	176.68	DCR|2VULN|2DMG|1AART|3ASPD	157ASPD|26DMG|3RMIN|4AART|89VULN|aRCR
38	32362 12311	   	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9DUR|aMLV
39	32362 12312	   	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9DUR|aRCVC
40	32362 12313	   	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9DUR|aBEXP
41	32362 12314	   	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9DUR|aFEWX
42	32362 12356	   	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9RCVC|aDUR
43	32362 12366	   	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9FEWX|aDUR
44	32362 12266	   	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|7aVULN|8RMIN|9DUR
45	32362 12316	   	176.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9DUR|aERES
46	32362 12315	   	176.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR|1SELL	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|78VULN|9DUR|aSELL
