0	Index      	 *	Score 	Summary	Detail	
1	36321 63212	 * 	207.73	ACR|2AART|2DMG|3ZMB|2CDMG|3DUR	18aZMB|2RCR|3NUKE|45AART|68CDMG|78aDUR|8aBPWR|9aDMG
2	36621 63223	   	204.01	ACR|2AART|2DMG|3ZMB|2CDMG|2DUR	18aZMB|2RCR|3aDMG|45AART|68CDMG|78DUR|8aBPWR|9aBEXP
3	36621 32363	 * 	200.64	ACR|3DMG|2AART|2CDMG|2ZMB|1DUR	1aZMB|2RCR|38aDMG|45AART|6BEXP|7DUR|9aCDMG|aBPWR
4	36621 22363	   	200.54	ACR|3DMG|2AART|2CDMG|2ZMB|1DUR	1aZMB|2RCR|38aDMG|45AART|6DUST|7DUR|9aCDMG|aBPWR
5	36233 41523	 * 	200.12	ACR|3VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58aVULN|68ASPD|78DMG|9TLV
6	36212 12341	 * 	199.50	ACR|2DMG|3ZMB|1AART|2CDMG|1VULN	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7LWND|89DMG|9BPWR|aVULN
7	36212 16341	   	199.50	ACR|2DMG|3ZMB|1AART|2CDMG|1VULN	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7LHND|89DMG|9BPWR|aVULN
8	36212 51312	   	197.92	ACR|2AART|2DMG|3ZMB|2CDMG|1ASPD	13aZMB|2RCR|4aCDMG|58AART|6LWND|7ASPD|9aDMG|aBPWR
9	36621 63213	   	197.22	ACR|2AART|2DMG|2CDMG|2ZMB|2DUR|1ASPD	18ZMB|2RCR|39DMG|45AART|68CDMG|78DUR|8BPWR|aASPD
10	36324 22334	 * 	196.59	ACR|3VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|49AART|56aVULN|7DUR|8DMG
11	36212 23241	   	195.78	ACR|2DMG|3ZMB|1AART|2CDMG|3DUR	138ZMB|2RCR|4aCDMG|5AART|68CGEN|78aDUR|8aBPWR|9aDMG
12	36212 22613	 * 	195.20	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CGEN|78aVULN|9DMG
13	36232 35115	 * 	193.92	ACR|2VULN|2DMG|3ZMB|1AART	134ZMB|2RCR|4BPWR|5ERES|68DMG|79VULN|aAART
14	36321 63215	 * 	192.66	ACR|2AART|1VULN|2CDMG|1DMG|2ZMB|2DUR	18ZMB|2RCR|3NUKE|45AART|68CDMG|78DUR|8BPWR|9DMG|aVULN
15	36212 31412	 * 	192.51	ACR|2DMG|3ZMB|1AART|3CDMG|1ASPD	13aZMB|2RCR|48aCDMG|5AART|6FEWX|7ASPD|9aDMG|aBPWR
16	36212 51412	   	192.51	ACR|2DMG|3ZMB|1AART|3CDMG|1ASPD	13aZMB|2RCR|48aCDMG|5AART|6LWND|7ASPD|9aDMG|aBPWR
17	36212 61112	   	192.51	ACR|2DMG|3ZMB|1AART|3CDMG|1ASPD	13aZMB|2RCR|46aCDMG|5AART|7ASPD|8FEWX|9aDMG|aBPWR
18	36624 22331	   	192.47	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|2RCR|38DMG|4AART|56VULN|7aDUR|9MLV
19	36212 61212	   	192.41	ACR|2DMG|3ZMB|1AART|3CDMG|1ASPD	13aZMB|2RCR|46aCDMG|5AART|7ASPD|8DUST|9aDMG|aBPWR
20	12213 52614	   	191.98	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2RCR|3RCVC|478VULN|5aDUR|6AART|9DMG
21	36212 23622	 * 	191.77	ACR|2VULN|3ZMB|1AART|2CDMG|2DUR	13aZMB|2RCR|4aCDMG|5AART|6CGEN|79DUR|8aVULN|aBPWR
22	36212 22622	   	191.77	ACR|2VULN|3ZMB|1AART|2CDMG|2DUR	13aZMB|2RCR|4aCDMG|5AART|6CGEN|78VULN|9aDUR|aBPWR
23	36233 41532	 * 	190.88	ACR|2VULN|2DMG|3ZMB|3ASPD	134ZMB|2RCR|48BPWR|58VULN|68aASPD|78DMG|9LWND
24	36212 13111	 * 	190.78	ACR|2AART|2VULN|3ZMB|2CDMG	13aZMB|2RCR|49CDMG|58AART|6aCANSTR|7aVULN|aBPWR
25	33621 63215	   	190.36	ACR|2AART|1VULN|2CDMG|1DMG|2ZMB|2DUR	18ZMB|2MLV|3RCR|45AART|68CDMG|78DUR|8BPWR|9DMG|aVULN
26	36621 63211	   	190.28	ACR|2AART|2DMG|2CDMG|2ZMB|2DUR	18ZMB|2RCR|39DMG|45AART|68CDMG|78DUR|8BPWR|aDMSP
27	36621 63212	   	190.28	ACR|2AART|2DMG|2CDMG|2ZMB|2DUR	18ZMB|2RCR|39DMG|45AART|68CDMG|78DUR|8BPWR|aLWND
28	36321 63412	   	190.18	ACR|2AART|2DMG|2CDMG|2ZMB|2DUR	1aZMB|2RCR|3NUKE|45AART|68CDMG|7aDUR|9aDMG|aBPWR
29	65484 33324	 * 	189.68	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	18LHND|2MBVNT|3DUR|489VULN|58CDMG|6RCR|7AART|8BPWR|aDMG
30	36631 53332	 * 	189.68	ACR|3DMG|2VULN|2ASPD|1ZMB|1DUR	1ZMB|2RCR|38aDMG|4DUR|5CGEN|6aASPD|7TLV|9aVULN|aBPWR
31	36633 53332	   	189.68	ACR|3DMG|2VULN|2ASPD|1ZMB|1DUR	1ZMB|2RCR|38aDMG|4DUR|5MLV|6aASPD|7TLV|9aVULN|aBPWR
32	13216 24523	 * 	189.63	DCR|3VULN|2DMG|1AART|2CDMG	18CDMG|25LWND|3RCVC|478VULN|68DMG|8BPWR|9AART|aRCR
33	36623 61211	   	189.39	ACR|3DMG|1AART|2ZMB|2ASPD|1CDMG	18ZMB|2RCR|389DMG|4AART|5ERES|6CDMG|78ASPD|8BPWR|aLWND
34	36623 61213	   	189.39	ACR|3DMG|1AART|2ZMB|2ASPD|1CDMG	18ZMB|2RCR|389DMG|4AART|5ERES|6CDMG|78ASPD|8BPWR|aMLV
35	32623 13216	   	189.09	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2CGEN|3RCR|4LWND|5CDMG|67VULN|8AART|9aDMG
36	12232 13331	 * 	188.80	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2RCR|3RCVC|4aCGEN|5AART|6MGNSTR|79VULN|8aDMG|aBPWR
37	12213 52116	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RCR|3RCVC|47VULN|5DUR|6AART|8BEXP|9aDMG
38	12213 52216	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RCR|3RCVC|47VULN|5DUR|6AART|8LWND|9aDMG
39	36321 62116	 * 	187.65	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1ZMB|2RCR|3NUKE|45AART|6CDMG|7VULN|8BEXP|9aDMG
40	36321 62216	   	187.65	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1ZMB|2RCR|3NUKE|45AART|6CDMG|7VULN|8LWND|9aDMG
41	33424 33342	 * 	187.56	DCR|2AART|2VULN|1DMG|2ZMB|2DUR	18ZMB|2MLV|38DUR|4aAART|58VULN|6RCR|7RPLT|8BPWR|9DMG
42	36623 61223	   	187.37	ACR|2DMG|3ZMB|1AART|1CDMG|2ASPD	18aZMB|2RCR|38DMG|4AART|5aERES|6CDMG|78ASPD|8aBPWR|9aBEXP
