0	Index      	 *	Score 	Summary	Detail	
1	53321 21516	 * 	199.89	DCR|3VULN|3ZMB|1AART|1CDMG|2DUR	189ZMB|2CDMG|3RCVC|4AART|59aVULN|69DUR|7RCR|9BPWR
2	23122 35854	 * 	198.49	ACR|3VULN|3DMG|1CDMG|1ZMB	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9ZMB|aCDMG
3	53321 21614	 * 	197.81	DCR|3VULN|2AART|2ZMB|1CDMG|2DUR	19ZMB|2CDMG|3RCVC|48AART|59aVULN|69DUR|7RCR|9BPWR
4	23122 35847	 * 	197.04	ACR|3VULN|3DMG|1AART	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9LHND|aAART
5	23122 35837	   	196.94	ACR|3VULN|3DMG|1AART	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9LEGI|aAART
6	23122 35813	 * 	194.88	ACR|4VULN|3DMG|1DUR	1RMIN|2RCR|3MBVNT|4789VULN|578DMG|6DMSP|78BPWR|aDUR
7	23122 35816	   	194.88	ACR|4VULN|3DMG|1ASPD	1RMIN|2RCR|3MBVNT|4789VULN|578DMG|6DMSP|78BPWR|aASPD
8	23122 35884	 * 	193.80	ACR|3VULN|3DMG|2CDMG	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9aCDMG
9	23122 52846	 * 	192.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1RMIN|2RCR|3MBVNT|4aVULN|5aDMG|6MLV|7CDMG|8AART|9aDUR|aBPWR
10	23122 35812	   	187.94	ACR|4VULN|3DMG	1RMIN|2RCR|3MBVNT|4789VULN|578DMG|6DMSP|78BPWR|aBEXP
11	23122 35814	   	187.94	ACR|4VULN|3DMG	1RMIN|2RCR|3MBVNT|4789VULN|578DMG|6DMSP|78BPWR|aFEWX
12	23122 35815	   	187.94	ACR|4VULN|3DMG	1RMIN|2RCR|3MBVNT|4789VULN|578DMG|6DMSP|78BPWR|aMLV
13	23122 35811	   	187.84	ACR|4VULN|3DMG	1RMIN|2RCR|3MBVNT|4789VULN|578DMG|6DMSP|78BPWR|aERES
14	23122 25185	   	187.74	ACR|4VULN|3DMG	1RMIN|2RCR|3MBVNT|4789VULN|57aDMG|67DUST|7BPWR
15	53321 31515	   	187.66	DCR|3VULN|3ZMB|1AART|1CDMG	189ZMB|2CDMG|3RCVC|4AART|59aVULN|69LHND|7RCR|9BPWR
16	13113 61331	 * 	187.50	ACR|3DMG|2VULN|2CDMG|3DUR	189DUR|2aLIT|389BEXP|4aVULN|5RCR|6aCDMG|789DMG|89aBPWR
17	63213 61331	   	187.50	ACR|3DMG|2VULN|2CDMG|3DUR	189FEWX|2aLIT|389DUR|4aVULN|5RCR|6aCDMG|789DMG|89aBPWR
18	23122 35846	   	187.49	ACR|3VULN|3DMG|1CDMG	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9LHND|aCDMG
19	23122 35874	   	187.49	ACR|3VULN|3DMG|1CDMG	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9MLV|aCDMG
20	23122 35881	   	187.49	ACR|3VULN|3DMG|1CDMG	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9CDMG|aFEWX
21	23122 65116	   	187.49	ACR|3VULN|3DMG|1CDMG	1RMIN|2RCR|3MBVNT|478VULN|579DMG|67BEXP|7BPWR|aCDMG
22	23122 35836	   	187.39	ACR|3VULN|3DMG|1CDMG	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9LEGI|aCDMG
23	23122 35882	   	187.39	ACR|3VULN|3DMG|1CDMG	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9CDMG|aERES
24	23122 44875	   	187.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RMIN|2RCR|3MBVNT|4aVULN|59DMG|6ASPD|7CDMG|8AART
25	23122 25116	   	187.29	ACR|3VULN|3DMG|1CDMG	1RMIN|2RCR|3MBVNT|478VULN|579DMG|67DUST|7BPWR|aCDMG
26	13413 61331	   	187.20	ACR|3DMG|2VULN|2CDMG|3DUR	189DUR|2aLIT|389DUST|4aVULN|5RCR|6aCDMG|789DMG|89aBPWR
27	23122 81534	 * 	186.69	ACR|3VULN|2DMG|2ZMB|1CDMG	1RMIN|2RCR|3MBVNT|49aVULN|59DMG|6LIT|7CDMG|89ZMB|9BPWR
28	23122 25285	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2RCR|3MBVNT|47VULN|57DMG|67DUST|7BPWR|8DUR|9CDMG|aAART
29	23122 81134	 * 	185.38	ACR|3VULN|2DMG|2ASPD|1CDMG	1RMIN|2RCR|3MBVNT|49aVULN|59DMG|6LIT|7CDMG|89ASPD|9BPWR
30	23122 35851	   	184.84	ACR|3VULN|3DMG|1ZMB	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9ZMB|aFEWX
31	23122 35852	   	184.84	ACR|3VULN|3DMG|1ZMB	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9ZMB|aRPLT
32	23122 35853	   	184.84	ACR|3VULN|3DMG|1ZMB	1RMIN|2RCR|3MBVNT|478VULN|578DMG|6DMSP|78BPWR|9ZMB|aLIT
33	53321 21511	   	184.24	DCR|2VULN|3ZMB|1AART|1CDMG|2DUR	189ZMB|2CDMG|3RCVC|4AART|59VULN|69DUR|7RCR|9BPWR|aBEXP
