0	Index      	 *	Score 	Summary	Detail	
1	55351 44212	 * 	184.21	DCR|3VULN|3DMG|1CDMG|1DUR	1ERES|2MBVNT|356VULN|467DMG|6BPWR|8DUR|9RCR|aCDMG
2	46223 32112	 * 	183.65	DCR|2DMG|3ZMB|1AART|3ASPD|1DUR	134ASPD|24aZMB|4aBPWR|5AART|6RCR|7DUR|8aLWND|9aDMG
3	13242 23344	 * 	180.17	DCR|3DMG|2VULN|1AART	1FEWX|2LWND|3MBVNT|45aDMG|6RCR|7AART|89VULN
4	65242 23344	   	180.17	DCR|3DMG|2VULN|1AART	1LWND|2FEWX|3MBVNT|45aDMG|6RCR|7AART|89VULN
5	46223 31162	 * 	178.99	DCR|3ZMB|1AART|3ASPD|1DMG|1VULN	134ASPD|24aZMB|4BPWR|5AART|6RCR|7RMIN|8DMG|9VULN
6	55351 44412	   	177.17	DCR|3DMG|3VULN|1CDMG	1ERES|2MBVNT|356VULN|467DMG|6BPWR|8LEGI|9RCR|aCDMG
7	34432 21314	 * 	177.10	ACR|4VULN|1AART|2CDMG	1RMIN|2RCVC|3AART|4RCR|568aVULN|7aERES|9aCDMG|aBPWR
8	46223 36122	   	176.51	DCR|2DMG|3ZMB|1AART|3ASPD	134ASPD|247ZMB|47BPWR|5AART|6RCR|8LIT|9aDMG
9	46223 31115	   	176.51	DCR|2DMG|3ZMB|1AART|3ASPD	134ASPD|24aZMB|4BPWR|5AART|6RCR|7RMIN|89DMG
10	46223 34322	 * 	176.41	DCR|2VULN|3ZMB|1AART|3ASPD	134ASPD|249ZMB|4BPWR|5AART|6RCR|7TLV|8aVULN
11	16416 12221	 * 	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3aVULN|4AART|5RCR|6DMG|7MLV|8CDMG|9ZMB
12	13242 23345	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|89VULN|aZMB
13	65242 23345	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|89VULN|aZMB
14	34164 33121	 * 	175.33	DCR|3VULN|2DMG|2CDMG	1RMIN|2RCVC|3aCDMG|49aVULN|5MBVNT|6RCR|7aDMG|8BELT|aBPWR
