0	Index      	 *	Score 	Summary	Detail	
1	41128 41117	 * 	211.22	DCR|4VULN|3DMG|1AART	19aDMG|2LWND|39aDUST|4MBVNT|5AART|6RCR|789aVULN|9aBPWR
2	45222 84124	   	210.96	DCR|4VULN|3DMG|1AART|1DUR	146DMG|236aVULN|5MBVNT|6BPWR|7DUR|8RCR|9AART
3	45222 84114	   	209.91	DCR|3VULN|3DMG|1AART|1CDMG|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9CDMG|aAART
4	45222 83114	   	202.97	DCR|3VULN|3DMG|1AART|1CDMG	146DMG|236VULN|5MBVNT|6BPWR|7LHND|8RCR|9CDMG|aAART
5	45222 82114	   	202.87	DCR|3VULN|3DMG|1AART|1CDMG	146DMG|236VULN|5MBVNT|6BPWR|7LEGI|8RCR|9CDMG|aAART
6	41128 41118	   	197.02	DCR|3VULN|3DMG|1AART	19aDMG|2LWND|39DUST|4MBVNT|5AART|6RCR|789VULN|9BPWR
7	45222 84121	   	196.86	DCR|3VULN|3DMG|1AART|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9AART|aFEWX
8	45222 84123	   	196.86	DCR|3VULN|3DMG|1AART|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9AART|aBEXP
9	45222 24124	   	196.76	DCR|3VULN|3DMG|1AART|1DUR	146DMG|23aVULN|5MBVNT|7DUR|8RCR|9AART
10	45222 84122	   	196.76	DCR|3VULN|3DMG|1AART|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9AART|aTLV
11	45128 34442	 * 	196.53	DCR|3VULN|2DMG|1AART|2CDMG	19DMG|29aVULN|3DUST|4MBVNT|5AART|6ERES|79CDMG|8RCR|9BPWR
12	45222 42471	   	195.96	DCR|3DMG|2VULN|1AART|1CDMG|1ASPD	149DMG|23VULN|5MBVNT|6ASPD|7AART|8RCR|aCDMG
13	45222 24114	   	194.16	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	146DMG|23VULN|5MBVNT|7DUR|8RCR|9CDMG|aAART
14	45222 71414	   	194.16	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	147DMG|23VULN|5MBVNT|6CDMG|8RCR|9DUR|aAART
15	45222 24127	   	192.11	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	146DMG|23VULN|5MBVNT|7DUR|8RCR|9AART|aZMB
16	43362 32621	   	190.32	DCR|3DMG|2VULN|1AART|1CDMG	18aDMG|28DUST|3RPLT|4CDMG|5LHND|68VULN|7RCR|8BPWR|9AART
17	45222 21624	   	189.72	DCR|3VULN|3DMG|1AART	146DMG|23aVULN|5MBVNT|7ERES|8RCR|9AART
18	45222 33441	 * 	188.58	DCR|3VULN|3DMG|2CDMG	14aDMG|23aVULN|5MBVNT|6LHND|7RCR|8MGNLIT|9aCDMG|aBPWR
19	45222 84112	   	188.01	DCR|3VULN|3DMG|1CDMG|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9CDMG|aRCVC
20	45221 52311	   	187.22	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|23aVULN|5CDMG|6AART|7ERES|8FEWX|9RCR
21	45222 23114	   	187.22	DCR|3DMG|2VULN|1AART|1CDMG	146DMG|23VULN|5MBVNT|7LHND|8RCR|9CDMG|aAART
22	45222 22114	   	187.12	DCR|3DMG|2VULN|1AART|1CDMG	146DMG|23VULN|5MBVNT|7LEGI|8RCR|9CDMG|aAART
23	45221 23311	   	186.72	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|23aVULN|5CDMG|6MLV|7AART|8FEWX|9RCR
24	45242 23311	   	186.72	DCR|3VULN|2DMG|1AART|1CDMG	16DMG|23aVULN|4MLV|5CDMG|7AART|8FEWX|9RCR
25	45222 83123	   	186.71	DCR|3VULN|3DMG|1CDMG|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7LHND|8RCR|9DUR|aCDMG
