0	Index      	 *	Score 	Summary	Detail	
1	14333 15314	 * 	181.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aFEWX|2aDMG|3DUR|4CDMG|59DMSP|6AART|7aVULN|8RCR|aBPWR
2	13633 31211	 * 	178.97	DCR|3VULN|2DMG|1AART	1FEWX|2DMSP|37DMG|48aVULN|5SNIHEL|6RCR|9AART
3	14133 31211	   	178.97	DCR|3VULN|2DMG|1AART	13FEWX|27DMG|48aVULN|5SNIHEL|6RCR|9AART
4	14425 31211	   	178.97	DCR|3VULN|2DMG|1AART	14FEWX|27DMG|3LSRREG|58aVULN|6RCR|9AART
5	53633 31211	   	178.97	DCR|3VULN|2DMG|1AART	1RCVC|2FEWX|37DMG|48aVULN|5SNIHEL|6RCR|9AART
6	34231 62261	   	176.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|2aDMG|3ZMB|4BEXP|5AART|6aLIT|7DUR|8aVULN|9RCR|aBPWR
7	36222 33235	   	175.97	DCR|3VULN|2DMG|1AART	123DUST|49LWND|59DMG|689VULN|7RCR|9BPWR|aAART
8	36342 23235	   	175.97	DCR|3VULN|2DMG|1AART	124DUST|389VULN|59DMG|69LHND|7RCR|9BPWR|aAART
9	13633 31214	 * 	174.76	DCR|2VULN|2DMG|2AART	1FEWX|2DMSP|37DMG|48VULN|5SNIHEL|6RCR|9aAART
10	14133 31214	   	174.76	DCR|2VULN|2DMG|2AART	13FEWX|27DMG|48VULN|5SNIHEL|6RCR|9aAART
11	53633 31214	   	174.76	DCR|2VULN|2DMG|2AART	1RCVC|2FEWX|37DMG|48VULN|5SNIHEL|6RCR|9aAART
12	13633 31213	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|2DMSP|37DMG|48VULN|5SNIHEL|6RCR|9AART|aZMB
13	14133 31213	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	13FEWX|27DMG|48VULN|5SNIHEL|6RCR|9AART|aZMB
14	14425 31213	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	14FEWX|27DMG|3LSRREG|58VULN|6RCR|9AART|aZMB
15	53633 31213	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2FEWX|37DMG|48VULN|5SNIHEL|6RCR|9AART|aZMB
16	13221 31343	 * 	173.27	ACR|2VULN|2DMG|1AART|1DUR	19FEWX|2DMSP|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aDUR
17	53221 31343	   	173.27	ACR|2VULN|2DMG|1AART|1DUR	1RCVC|29FEWX|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aDUR
18	34125 32633	 * 	173.25	DCR|2VULN|2DMG|1AART|2DUR	1DUST|2aDMG|3FEWX|4LHND|5aDUR|6TLV|7RCR|8aVULN|9AART|aBPWR
19	43261 15321	 * 	172.64	DCR|2VULN|2DMG|3ZMB|1DUR	138ZMB|2LEGI|4DUR|58DMG|68VULN|7RCR|8BPWR|9aBEXP
20	43261 15322	   	172.64	DCR|2VULN|2DMG|3ZMB|1DUR	138ZMB|2LEGI|4DUR|58DMG|68VULN|7RCR|8BPWR|9BEXP|aFEWX
21	43261 15323	   	172.64	DCR|2VULN|2DMG|3ZMB|1DUR	138ZMB|2LEGI|4DUR|58DMG|68VULN|7RCR|8BPWR|9BEXP|aLIT
22	43261 15311	   	172.54	DCR|2VULN|2DMG|3ZMB|1DUR	138ZMB|2LEGI|4DUR|58DMG|68VULN|7RCR|8BPWR|9TLV|aFEWX
23	43261 15313	   	172.54	DCR|2VULN|2DMG|3ZMB|1DUR	138ZMB|2LEGI|4DUR|58DMG|68VULN|7RCR|8BPWR|9TLV|aRMIN
24	43261 15312	   	172.44	DCR|2DMG|2VULN|3ZMB|1DUR	138ZMB|2LEGI|4DUR|58DMG|68VULN|7RCR|8BPWR|9TLV|aERES
25	13631 36241	 * 	171.27	DCR|3DMG|2VULN|1AART	1FEWX|2DMSP|359DMG|47VULN|6AART|8RCVC|aRCR
26	13631 36321	   	171.27	DCR|3DMG|2VULN|1AART	1FEWX|29DMSP|358DMG|47VULN|6AART|aRCR
27	14131 36241	   	171.27	DCR|3DMG|2VULN|1AART	13FEWX|259DMG|47VULN|6AART|8RCVC|aRCR
28	14131 36321	   	171.27	DCR|3DMG|2VULN|1AART	13FEWX|258DMG|47VULN|6AART|9DMSP|aRCR
29	53631 36321	   	171.27	DCR|3DMG|2VULN|1AART	1RCVC|2FEWX|358DMG|47VULN|6AART|9DMSP|aRCR
30	12333 15364	 * 	169.85	DCR|2VULN|2AART|2ZMB|1CDMG|1DUR	1aFEWX|2aZMB|3DUR|4CDMG|5RCVC|69AART|7aVULN|8RCR|aBPWR
31	13631 36136	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|2DMSP|35DMG|47VULN|6AART|8NUKE|9CDMG|aRCR
32	14131 36136	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	13FEWX|25DMG|47VULN|6AART|8NUKE|9CDMG|aRCR
33	43133 35314	 * 	169.13	DCR|2VULN|2AART|2CDMG|2ZMB	1aZMB|2LEGI|3FEWX|4aCDMG|5RCVC|69AART|7aVULN|8RCR|aBPWR
34	13636 32314	 * 	168.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1aFEWX|29DMSP|3aDMG|4VULN|5CDMG|6AART|7aDUR|8RCR|aBPWR
35	14136 32314	   	168.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	13aFEWX|2aDMG|4VULN|5CDMG|6AART|7aDUR|8RCR|9DMSP|aBPWR
36	42461 11231	 * 	168.76	ACR|2VULN|2DMG|2ZMB|1ASPD|1DUR	1aZMB|2RCVC|3RCR|4DUR|59DMG|68VULN|7ASPD
37	36222 33631	 * 	168.42	DCR|3VULN|3DMG	123DUST|49LWND|589DMG|69aVULN|7RCR|9BPWR
38	36222 33234	   	168.42	DCR|3VULN|3DMG	123DUST|49LWND|59aDMG|689VULN|7RCR|9BPWR
39	36342 23234	   	168.42	DCR|3VULN|3DMG	124DUST|389VULN|59aDMG|69LHND|7RCR|9BPWR
40	36342 23631	   	168.42	DCR|3VULN|3DMG	124DUST|39aVULN|589DMG|69LHND|7RCR|9BPWR
41	13636 33314	 * 	168.12	DCR|2DMG|2AART|1VULN|1CDMG	1aFEWX|2DMSP|3aDMG|4VULN|5CDMG|69AART|7aLWND|8RCR|aBPWR
42	14136 33314	   	168.12	DCR|2DMG|2AART|1VULN|1CDMG	13aFEWX|2aDMG|4VULN|5CDMG|69AART|7aLWND|8RCR|aBPWR
43	14341 22423	   	167.92	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1FEWX|2DMG|3DUR|4ZMB|58AART|6LSRHEA|79VULN|aRCR
