0	Index      	 *	Score 	Summary	Detail	
1	13282 32353	 * 	283.93	紫橙2易伤2伤害1矿等1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8矿等9金币生成
2	22341 34351	 * 	275.50	橙橙3易伤1平台	147易伤2掉矿3挖尘5金币生成6雷电89核a平台
3	22343 34351	   	275.40	橙橙3易伤1平台	147易伤2掉矿3挖尘5技能点6雷电89核a平台
4	13282 32813	 * 	272.71	紫橙2易伤2伤害2暴击	17等级28暴击3加一4a核57易伤67伤害7序列升级9低血量敌人
5	13282 32873	   	272.71	紫橙2易伤2伤害2暴击	17等级28暴击3加一4a核57易伤67伤害7序列升级9基地爆炸
6	13282 12373	   	272.65	紫橙2易伤2暴击1伤害1矿等	17等级27暴击3加一4a核57易伤6随机矿7序列升级8矿等9伤害
7	13284 42373	   	272.65	紫橙2易伤2暴击1伤害1矿等	17等级27暴击3加一4a核5随机矿67易伤7序列升级8矿等9伤害
8	21331 65263	 * 	268.94	橙橙1易伤1伤害1矿等1攻速	1易伤26低血量敌人3基地爆炸4最后敌人5伤害7a核8攻速9矿等
9	13282 32213	   	266.29	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8激光减费9低血量敌人
10	13282 32273	   	266.29	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8激光减费9基地爆炸
11	13282 32453	   	266.29	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8掉矿9金币生成
12	13282 32753	   	266.29	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8技能点9金币生成
13	13282 34353	   	266.14	紫橙2易伤1伤害1矿等1暴击	1等级2暴击3加一4a核57易伤6伤害8矿等9金币生成
14	13282 14373	   	266.14	紫橙2易伤1伤害1矿等1暴击	1等级2暴击3加一4a核57易伤6随机矿8矿等9伤害
15	13284 44373	   	266.14	紫橙2易伤1伤害1矿等1暴击	1等级2暴击3加一4a核5随机矿67易伤8矿等9伤害
16	22341 34352	   	265.84	橙橙3易伤	147易伤2掉矿3挖尘5金币生成6雷电89核a额外掉落
17	22341 34353	   	265.84	橙橙3易伤	147易伤2掉矿3挖尘5金币生成6雷电89核a最后敌人
18	22343 34352	   	265.74	橙橙3易伤	147易伤2掉矿3挖尘5技能点6雷电89核a额外掉落
19	22343 34353	   	265.74	橙橙3易伤	147易伤2掉矿3挖尘5技能点6雷电89核a最后敌人
20	13288 22221	 * 	264.33	紫橙3易伤1暴击1攻速	1等级2暴击3加一46核5攻速78a易伤9雷电
21	13288 22261	   	264.23	紫橙3易伤1暴击1攻速	1等级2暴击3加一46核5攻速78a易伤9双倍秒伤
22	22261 25153	 * 	263.86	橙橙2易伤1伤害	18易伤2掉矿35最后敌人4伤害6技能7a核9立即金币
23	22363 25153	   	263.66	橙橙2易伤1伤害	18易伤2掉矿35挖尘4伤害6技能7a核9立即金币
24	13288 22247	   	262.26	紫橙2易伤1伤害1暴击1攻速	1等级2暴击3加一46核5攻速78易伤9金币生成a伤害
25	13288 22217	   	262.16	紫橙2易伤1伤害1暴击1攻速	1等级2暴击3加一46核5攻速78易伤9掉矿a伤害
26	35152 33134	   	262.15	紫橙2易伤1伤害1矿等1平台	1额外掉落2a核3敌人爆炸4平台57易伤6伤害8矿等9技能点
27	21361 15143	   	259.71	橙橙1易伤1伤害1攻速	1易伤2低血量敌人3基地爆炸4伤害5时间6敌人爆炸7a核8随机矿9攻速
28	21531 15143	   	259.71	橙橙1易伤1伤害1攻速	1易伤2低血量敌人3时间4最后敌人5伤害6敌人爆炸7a核8随机矿9攻速
29	23131 15143	   	259.71	橙橙1易伤1伤害1攻速	1易伤2时间3低血量敌人4最后敌人5伤害6敌人爆炸7a核8随机矿9攻速
30	23151 15143	   	259.71	橙橙1易伤1伤害1攻速	1易伤2时间3低血量敌人4基地爆炸5伤害6敌人爆炸7a核8随机矿9攻速
31	23321 15143	   	259.71	橙橙1易伤1伤害1攻速	1易伤2时间3最后敌人4低血量敌人5伤害6敌人爆炸7a核8随机矿9攻速
32	22311 34355	   	257.25	橙橙2易伤1暴击	17易伤24掉矿3挖尘5金币生成6雷电89核a暴击
33	22321 34355	   	257.25	橙橙2易伤1暴击	17易伤2掉矿34挖尘5金币生成6雷电89核a暴击
34	22341 31355	   	257.25	橙橙2易伤1暴击	14易伤2掉矿37挖尘5金币生成6雷电89核a暴击
