0	Index      	 *	Score 	Summary	Detail	
1	33355 28224	 * 	301.54	橙橙3易伤1暴击1攻速	14a易伤2等级3暴击5时间6加一78核9攻速
2	33355 28231	   	297.55	橙橙3易伤1暴击	14a易伤2等级3暴击5时间6加一78核9平台
3	33355 28223	   	289.06	橙橙2易伤1暴击1攻速	14易伤2等级3暴击5时间6加一78核9攻速a全技能
4	33355 28214	   	287.89	橙橙3易伤1暴击	14a易伤2等级3暴击5时间6加一78核9随机矿
5	33355 28242	   	287.89	橙橙3易伤1暴击	14a易伤2等级3暴击5时间6加一78核9敌人爆炸
6	33365 28224	   	285.82	橙橙2易伤2暴击1攻速	1a易伤24等级34暴击4序列升级5时间6加一78核9攻速
7	33355 28244	   	283.29	橙橙2易伤1矿等1暴击	14易伤2等级3暴击5时间6加一78核9敌人爆炸a矿等
8	33365 28231	   	281.83	橙橙2易伤2暴击	1a易伤24等级34暴击4序列升级5时间6加一78核9平台
9	33355 28222	   	279.40	橙橙2易伤1暴击1攻速	14易伤2等级3暴击5时间6加一78核9攻速a赏金塔
10	33355 28221	   	279.30	橙橙2易伤1暴击1攻速	14易伤2等级3暴击5时间6加一78核9攻速a双倍秒伤
11	11712 33456	 * 	277.14	橙橙2易伤2矿等	1加一2赏金塔3随机矿4a矿等5等级6a易伤7a基地爆炸89核a序列升级
12	33355 28213	   	275.41	橙橙2易伤1暴击	14易伤2等级3暴击5时间6加一78核9随机矿a全技能
13	33355 28233	   	275.41	橙橙2易伤1暴击	14易伤2等级3暴击5时间6加一78核9平台a随机矿
14	33355 28232	   	275.31	橙橙2易伤1暴击	14易伤2等级3暴击5时间6加一78核9平台a激光减费
15	33355 28234	   	275.31	橙橙2易伤1暴击1挖怪	14易伤2等级3暴击5时间6加一78核9平台a挖怪
16	31143 33155	 * 	274.68	紫橙3易伤2伤害	18a易伤2敌人爆炸3双倍秒伤49核5a伤害6a掉矿7赏金邻近a序列升级
17	32412 51222	 * 	274.61	紫橙2易伤2攻速1伤害1暴击	1a易伤2伤害3技能点48核5挖青69攻速7暴击
18	32414 51222	   	274.61	紫橙2易伤2攻速1伤害1暴击	1a易伤2伤害3技能点48核5挖尘69攻速7暴击
19	31626 33632	   	274.00	橙橙3易伤1策反	14a易伤2敌人爆炸3赏金塔5时间68核7策反9挖尘
20	15512 14514	   	273.52	橙橙2易伤1伤害	1加一2平台3雷电4等级5a易伤6低血量敌人78核9伤害
21	15514 34514	   	273.42	橙橙2易伤1伤害	1加一2平台3雷电4等级5挖青6a易伤78核9伤害
22	15522 44514	   	273.42	橙橙2易伤1伤害	1加一2平台3雷电4低血量敌人5掉矿6a易伤78核9伤害
23	15722 14514	   	273.42	橙橙2易伤1伤害	1加一2平台3技能点4雷电5a易伤6低血量敌人78核9伤害
24	15724 34514	   	273.32	橙橙2易伤1伤害	1加一2平台3技能点4雷电5挖青6a易伤78核9伤害
25	33355 28241	   	272.30	橙橙2易伤2时间1暴击	14易伤2等级3暴击5a时间6加一78核9敌人爆炸
26	33365 28214	   	272.17	橙橙2易伤2暴击	1a易伤24等级34暴击4序列升级5时间6加一78核9随机矿
27	33365 28242	   	272.17	橙橙2易伤2暴击	1a易伤24等级34暴击4序列升级5时间6加一78核9敌人爆炸
