0	Index      	 *	Score 	Summary	Detail	
1	42153 23135	 * 	262.70	橙橙1等级3暴击1喷火对甲1时间	1时间2等级367暴击4挖尘5双倍秒伤8a核9喷火对甲
2	12223 31555	 * 	251.38	橙橙3易伤	138随机技能235策反35序列升级457易伤6散射对甲9a核
3	22255 31343	 * 	242.69	橙橙1易伤1等级1全技能1技能	1赏金塔2立即金币3技能4雷电5等级6全技能79核8最后敌人a易伤
4	32435 33354	   	242.59	橙橙1易伤1等级1全技能	1基地爆炸2等级3毒液对毒4平台5全技能6加一7易伤8挖尘9a核
5	32635 33354	   	242.49	橙橙1易伤1等级1全技能	1基地爆炸2等级3多重对甲4平台5全技能6加一7易伤8挖尘9a核
6	12263 53623	 * 	240.89	橙橙2伤害1易伤	138随机技能238策反38序列升级4基地爆炸5易伤68伤害79核a头目
7	12243 53623	   	240.79	橙橙2伤害1易伤	138随机技能238策反38序列升级4挖尘5易伤68伤害79核a头目
8	12263 53621	   	240.79	橙橙2伤害1易伤	138随机技能238策反38序列升级4基地爆炸5易伤68伤害79核a赏金塔
9	12263 53622	   	240.79	橙橙2伤害1易伤	138随机技能238策反38序列升级4基地爆炸5易伤68伤害79核a挖青
10	12243 53621	   	240.69	橙橙2伤害1易伤	138随机技能238策反38序列升级4挖尘5易伤68伤害79核a赏金塔
11	12243 53622	   	240.69	橙橙2伤害1易伤	138随机技能238策反38序列升级4挖尘5易伤68伤害79核a挖青
12	32112 23464	 * 	234.97	紫橙1易伤1喷火对甲1等级1暴击	1基地爆炸2等级3暴击4a核5喷火对甲6敌人爆炸7易伤8策反9挖尘
13	42116 26212	 * 	234.29	紫橙3时间1等级1伤害1暴击1技能	19a时间2等级3暴击48核5技能6掉矿7伤害
