0	Index      	 *	Score 	Summary	Detail	
1	31261 52612	 * 	262.95	橙2易伤3伤害2等级1矿等1全技能1卖塔	1卖塔27易伤3矿等47a伤害5赏金邻近67等级7序列升级8全技能9核
2	61651 31332	 * 	251.50	紫橙3易伤1暴击1技能	1暴击267易伤3敌人爆炸48核5攻速9赏金塔a技能
3	61151 61332	   	251.40	紫橙3易伤1暴击1技能	1暴击267易伤3挖尘48核5攻速9赏金塔a技能
4	31261 52611	 * 	247.29	橙2易伤2伤害2等级1矿等1全技能1卖塔	1卖塔27易伤3矿等47伤害5赏金邻近67等级7序列升级8全技能9核a金币生成
5	31261 52613	 * 	247.19	橙2易伤2伤害2等级1矿等1全技能1卖塔	1卖塔27易伤3矿等47伤害5赏金邻近67等级7序列升级8全技能9核a多重对甲
6	54211 32322	 * 	244.54	橙橙2易伤1矿等	17基地爆炸2多重对愈3雷电4a易伤5挖尘69核8矿等
7	54211 34322	   	244.44	橙橙2易伤1矿等	1基地爆炸2多重对愈3雷电4a易伤57挖尘69核8矿等
8	22241 36154	 * 	244.31	橙橙1等级1伤害1时间1技能1暴击	1雷电2头目3伤害4加一5时间68核7技能9等级a暴击
9	22333 34121	   	244.31	橙橙1等级1伤害1全技能1技能	1雷电2头目3最后敌人4等级5全技能69核7赏金塔8伤害a技能
10	31251 52612	 * 	243.26	橙2易伤2等级1伤害1矿等2攻速1全技能1卖塔	1卖塔27易伤3矿等47攻速5赏金邻近67等级7序列升级8全技能9核a伤害
11	22333 34124	 * 	243.11	橙橙2全技能1等级1伤害	1雷电2头目3最后敌人4等级5a全技能69核7赏金塔8伤害
12	31335 16621	 * 	242.48	橙2易伤2喷火对甲2等级1暴击1卖塔	1卖塔28易伤3暴击48等级56立即金币78喷火对甲8序列升级9敌人爆炸a核
13	31344 13135	   	242.45	橙橙2易伤1暴击1卖塔	1卖塔24易伤3暴击5平台6金币生成7策反8a核9挖尘
14	52163 22612	 * 	241.49	紫橙2易伤2时间1伤害	1基地爆炸26易伤3a核4平台56时间6序列升级7头目8伤害9策反
15	31651 31325	   	239.56	紫橙3易伤1矿等1卖塔	1卖塔267易伤3敌人爆炸48核5攻速9防空对甲a矿等
16	31151 61325	   	239.46	紫橙3易伤1矿等1卖塔	1卖塔267易伤3挖尘48核5攻速9防空对甲a矿等
17	61651 31312	   	237.95	紫橙3易伤1暴击	1暴击267易伤3敌人爆炸48核5攻速9最后敌人a基地爆炸
18	61651 31313	   	237.95	紫橙3易伤1暴击	1暴击267易伤3敌人爆炸48核5攻速9最后敌人a雷电
19	61151 61312	   	237.85	紫橙3易伤1暴击	1暴击267易伤3挖尘48核5攻速9最后敌人a基地爆炸
20	61151 61313	   	237.85	紫橙3易伤1暴击	1暴击267易伤3挖尘48核5攻速9最后敌人a雷电
21	61651 31311	   	237.85	紫橙3易伤1暴击	1暴击267易伤3敌人爆炸48核5攻速9最后敌人a赏金邻近
22	61651 31323	   	237.85	紫橙3易伤1暴击	1暴击267易伤3敌人爆炸48核5攻速9防空对甲a金币生成
23	61651 31331	   	237.85	紫橙3易伤1暴击	1暴击267易伤3敌人爆炸48核5攻速9赏金塔a策反
