0	Index      	 *	Score 	Summary	Detail	
1	31451 21225	 * 	292.77	紫橙3易伤1伤害2暴击1全技能	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9全技能a伤害
2	31451 21223	   	290.24	紫橙3易伤2暴击1矿等1全技能	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9全技能a矿等
3	12215 51331	 * 	285.67	橙橙1易伤1伤害1矿等1全技能1平台	1时间2最后敌人3矿等4伤害5易伤6双倍物品7全技能8平台9a核
4	31451 21235	 * 	283.10	紫橙4易伤2暴击	18基础对甲28暴击3双倍秒伤46核578a易伤8序列升级9技能点
5	31451 21221	   	282.37	紫橙3易伤2暴击1全技能1平台	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9全技能a平台
6	31451 21234	   	276.60	紫橙3易伤2暴击1攻速	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9技能点a攻速
7	11345 35332	 * 	274.47	橙橙2易伤2全技能	1时间2赏金塔36易伤49全技能56低血量敌人6序列升级7金币生成8a核
8	46123 33342	   	273.14	橙橙2易伤2时间1全技能	1全技能2挖尘36易伤46时间5赏金塔6序列升级7双倍矿8a核9金币生成
9	31451 21222	   	272.71	紫橙3易伤2暴击1全技能	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9全技能a金币生成
10	31451 21224	   	272.71	紫橙3易伤2暴击1全技能	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9全技能a最后敌人
11	31451 21226	   	272.71	紫橙3易伤2暴击1全技能	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9全技能a低血量敌人
12	15222 32143	   	272.23	橙橙1易伤1伤害1暴击1全技能	1时间2伤害3全技能4寒冰对甲5易伤6金币生成7暴击8额外掉落9a核
13	31451 21212	   	271.35	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9最后敌人a时间
14	31451 21242	   	271.35	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9随机矿a时间
15	31451 21232	   	271.25	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9技能点a时间
16	52126 36132	   	270.58	橙橙2易伤1攻速	1随机矿2a易伤3赏金塔4立即金币5雷电6时间79核8攻速
17	22225 13626	 * 	269.99	橙橙2矿等2暴击2全技能1攻速	17基地爆炸2最后敌人37矿等47暴击58全技能6a核7序列升级9攻速
18	41162 12335	   	269.70	橙橙1易伤1矿等1暴击1全技能	1全技能2等级3敌人爆炸4低血量敌人5暴击68核7时间9易伤a矿等
19	31451 21215	 * 	269.09	紫橙3易伤3暴击	18基础对甲28a暴击3双倍秒伤46核578易伤8序列升级9最后敌人
20	52332 53331	   	268.14	橙橙1易伤1伤害1全技能1平台	1随机矿2易伤3时间4最后敌人5伤害6双倍物品7全技能8平台9a核
21	12415 51331	   	268.04	橙橙1易伤1伤害1全技能1平台	1时间2最后敌人3掉矿4伤害5易伤6双倍物品7全技能8平台9a核
22	11345 31342	   	266.69	橙橙2易伤1全技能	1时间2赏金塔36易伤4全技能567低血量敌人6序列升级8a核9金币生成
23	31451 21623	   	266.68	紫橙2易伤2暴击1矿等1全技能	1基础对甲28暴击3双倍秒伤46核57易伤9全技能a矿等
24	11341 33342	   	266.49	橙橙2易伤1全技能	1时间2赏金塔36易伤4全技能56挖尘6序列升级7双倍矿8a核9金币生成
25	31451 23236	   	266.20	紫橙3易伤1暴击1平台	1基础对甲2暴击3双倍秒伤46核59a易伤7平台8防空对甲
26	41235 13352	   	266.06	橙橙2易伤2全技能	13全技能2等级4金币生成5基地爆炸69易伤7敌人爆炸8a核
27	26234 33352	   	265.96	橙橙2易伤2全技能	1基地爆炸2金币生成37全技能4挖尘59易伤6随机矿8a核
