0	Index      	 *	Score 	Summary	Detail	
1	52221 51432	 * 	290.43	橙4易伤3伤害2矿等	1赏金塔258伤害3双倍秒伤459a易伤5a序列升级6a矿等7核
2	32344 24332	 * 	289.47	橙橙2易伤1矿等1攻速1全技能	1低血量敌人2赏金邻近3矿等4全技能56易伤7攻速8a核9基地爆炸
3	32344 24312	   	289.37	橙橙2易伤1矿等1攻速1全技能	1低血量敌人2赏金邻近3矿等4全技能56易伤7攻速8a核9挖尘
4	44231 32226	 * 	288.48	橙橙2易伤2攻速1暴击	18雷电28攻速3立即金币4挖尘5暴击6a核78易伤8序列升级9赏金邻近
5	12214 24332	   	280.24	橙橙2易伤1攻速1全技能	1时间2赏金邻近3全技能4等级56易伤7攻速8a核9基地爆炸
6	12214 24352	   	280.24	橙橙2易伤1攻速1全技能	1时间2赏金邻近3全技能4等级56易伤7攻速8a核9低血量敌人
7	15214 24332	   	280.24	橙橙2易伤1攻速1全技能	1时间2赏金塔3全技能4等级56易伤7攻速8a核9基地爆炸
8	12214 24312	   	280.14	橙橙2易伤1攻速1全技能	1时间2赏金邻近3全技能4等级56易伤7攻速8a核9挖尘
9	15214 24312	   	280.14	橙橙2易伤1攻速1全技能	1时间2赏金塔3全技能4等级56易伤7攻速8a核9挖尘
10	53443 31633	   	279.61	橙橙2易伤1矿等1暴击	1赏金塔2加一3多重对愈4低血量敌人5暴击67核8矿等9a易伤
11	53461 31633	   	279.61	橙橙2易伤1矿等1暴击	1赏金塔2加一3多重对愈4暴击5低血量敌人67核8矿等9a易伤
12	53464 31633	   	279.61	橙橙2易伤1矿等1暴击	1赏金塔2加一3多重对愈4暴击5基地爆炸67核8矿等9a易伤
13	11636 23152	 * 	276.75	橙橙2易伤1伤害1卖塔	1时间2金币生成3基地爆炸4伤害5技能6卖塔78核9a易伤
14	53464 31833	   	275.73	橙橙2易伤1攻速1暴击	1赏金塔2加一3多重对愈4暴击5基地爆炸67核8攻速9a易伤
15	32214 24332	   	271.94	橙橙2易伤1攻速1全技能	1低血量敌人2赏金邻近3全技能4等级56易伤7攻速8a核9基地爆炸
16	35214 24332	   	271.94	橙橙2易伤1攻速1全技能	1低血量敌人2赏金塔3全技能4等级56易伤7攻速8a核9基地爆炸
17	62214 24332	   	271.94	橙橙2易伤1攻速1全技能	1敌人爆炸2赏金邻近3全技能4等级56易伤7攻速8a核9基地爆炸
18	32214 24312	   	271.84	橙橙2易伤1攻速1全技能	1低血量敌人2赏金邻近3全技能4等级56易伤7攻速8a核9挖尘
19	35214 24312	   	271.84	橙橙2易伤1攻速1全技能	1低血量敌人2赏金塔3全技能4等级56易伤7攻速8a核9挖尘
20	62214 24312	   	271.84	橙橙2易伤1攻速1全技能	1敌人爆炸2赏金邻近3全技能4等级56易伤7攻速8a核9挖尘
21	21135 23121	 * 	269.94	橙橙2伤害2矿等1攻速	14等级2攻速3掉矿58伤害69矿等7a核
22	21155 23121	   	269.94	橙橙2伤害2矿等1攻速	1等级2攻速3掉矿4立即金币58伤害69矿等7a核
23	61662 32333	 * 	268.69	橙橙2易伤1伤害	1敌人爆炸2金币生成3基地爆炸4a易伤5最后敌人69核7伤害8额外掉落
24	61616 32133	   	268.59	橙橙2易伤1伤害	1敌人爆炸2金币生成3基地爆炸4挖尘5a易伤69核7伤害8额外掉落
25	53431 31633	   	265.71	橙橙2易伤1矿等1卖塔	1赏金塔2加一3多重对愈4卖塔5低血量敌人67核8矿等9a易伤
26	53434 31633	   	265.71	橙橙2易伤1矿等1卖塔	1赏金塔2加一3多重对愈4卖塔5基地爆炸67核8矿等9a易伤
27	52221 51226	   	262.23	橙3易伤2伤害1矿等1攻速1平台	1赏金塔25伤害3双倍秒伤458易伤5序列升级6矿等7核9平台a攻速
28	53443 31133	   	262.08	橙橙2易伤1暴击	1赏金塔2加一3多重对愈4低血量敌人5暴击67核8金币生成9a易伤
29	53461 31133	   	262.08	橙橙2易伤1暴击	1赏金塔2加一3多重对愈4暴击5低血量敌人67核8金币生成9a易伤
30	53464 31133	   	262.08	橙橙2易伤1暴击	1赏金塔2加一3多重对愈4暴击5基地爆炸67核8金币生成9a易伤
31	53653 31133	   	262.08	橙橙2易伤1暴击	1赏金塔2加一3敌人爆炸4寒冰对黄5暴击67核8金币生成9a易伤
32	42231 32226	   	261.89	橙橙2易伤1暴击2策反	18雷电28策反3立即金币4挖尘5暴击6a核78易伤8序列升级9赏金邻近
33	53434 31833	   	261.83	橙橙2易伤1攻速1卖塔	1赏金塔2加一3多重对愈4卖塔5基地爆炸67核8攻速9a易伤
