0	Index      	 *	Score 	Summary	Detail	
1	36612 14212	 * 	290.55	橙橙2易伤1伤害1暴击	1时间2赏金塔37易伤4伤害5暴击6随机矿8a核9加一
2	13532 33651	   	288.02	橙橙2易伤1矿等1攻速	1金币生成28易伤3喷火对黄4矿等5时间6低血量敌人79核a攻速
3	13632 33651	   	288.02	橙橙2易伤1矿等1攻速	1金币生成28易伤3狙击对黄4矿等5时间6低血量敌人79核a攻速
4	42311 35412	   	283.78	橙橙2易伤1矿等1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9时间a矿等
5	62414 34154	 * 	281.57	橙橙2易伤2矿等	1加一2立即金币39矿等4掉矿58易伤6金币生成7a核
6	62417 44154	   	281.57	橙橙2易伤2矿等	1加一2立即金币39矿等4掉矿5金币生成68易伤7a核
7	42311 36316	 * 	281.31	橙橙3易伤1平台1卖塔	1雷电289易伤3卖塔4加一5平台6a核7掉矿
8	42311 35461	   	276.79	橙橙2易伤2平台1攻速1卖塔	1雷电27易伤3卖塔4加一5a平台68核9攻速
9	12353 36132	   	276.01	橙橙1易伤1伤害1矿等1平台	1金币生成2矿等3等级4平台5双倍秒伤6a核7时间8易伤9伤害
10	14341 51212	   	275.83	橙橙2易伤1攻速1暴击	1金币生成2暴击3赏金塔46易伤5最后敌人7攻速8a核9加一
11	13442 51212	   	275.83	橙橙2易伤1攻速1暴击	1金币生成26易伤3最后敌人4赏金塔5暴击7攻速8a核9加一
12	42311 35422	   	275.48	橙橙2易伤1矿等1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9最后敌人a矿等
13	42311 35442	   	275.48	橙橙2易伤1矿等1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9低血量敌人a矿等
14	13532 33652	   	274.37	橙橙2易伤1矿等	1金币生成28易伤3喷火对黄4矿等5时间6低血量敌人79核a技能
15	13532 33653	   	274.37	橙橙2易伤1矿等	1金币生成28易伤3喷火对黄4矿等5时间6低血量敌人79核a最后敌人
16	13632 33652	   	274.37	橙橙2易伤1矿等	1金币生成28易伤3狙击对黄4矿等5时间6低血量敌人79核a技能
17	13632 33653	   	274.37	橙橙2易伤1矿等	1金币生成28易伤3狙击对黄4矿等5时间6低血量敌人79核a最后敌人
18	36662 31212	   	273.59	橙橙1易伤1矿等1攻速1暴击	1时间2赏金塔3易伤4暴击5双倍矿6矿等7攻速8a核9加一
19	42311 35417	   	273.19	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9时间a核弹
20	33543 52322	   	273.04	橙橙2易伤2时间1全技能	15时间2全技能34易伤6a核7防空对甲8立即金币9低血量敌人
21	33543 53112	   	273.04	橙橙2易伤2时间1全技能	15时间2全技能34易伤6a核7低血量敌人8敌人爆炸9基础对甲
22	42311 35434	   	271.59	橙橙2易伤1攻速1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9基地爆炸a攻速
23	42311 35462	   	271.59	橙橙2易伤1攻速1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9攻速a等级
24	42311 35464	   	271.59	橙橙2易伤1攻速1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9攻速a随机矿
25	42311 35463	   	271.49	橙橙2易伤1攻速1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9攻速a双倍秒伤
