0	Index      	 *	Score 	Summary	Detail	
1	13212 31316	 * 	289.28	橙橙3易伤1矿等1卖塔	129易伤2序列升级3卖塔4矿等5赏金塔6a核7低血量敌人8双倍秒伤
2	13212 33681	 * 	275.38	橙橙2易伤1矿等1全技能1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7加一8技能点9全技能
3	13212 31266	 * 	274.22	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7低血量敌人8最后敌人9时间
4	13152 53521	 * 	273.30	橙3易伤2伤害1矿等2时间1全技能1平台	127易伤27序列升级37时间47伤害5平台6技能8矿等9核a全技能
5	12123 16415	 * 	272.13	橙橙1易伤1伤害1暴击1平台	1易伤2金币生成3散射对绿4伤害5平台6最后敌人7a核8暴击9时间
6	12123 26415	   	272.13	橙橙1易伤1伤害1暴击1平台	1易伤2金币生成3散射对绿4伤害5平台6敌人爆炸7a核8暴击9时间
7	12123 36415	   	272.13	橙橙1易伤1伤害1暴击1平台	1易伤2金币生成3散射对绿4伤害5平台6低血量敌人7a核8暴击9时间
8	21211 26652	 * 	271.79	橙橙3易伤	128掉矿3雷电48激光减费589易伤6赏金邻近7a核8序列升级
9	13223 45522	   	271.64	橙橙3易伤1卖塔	127易伤2序列升级3卖塔4双倍秒伤5最后敌人6赏金邻近8a核9机枪对壮
10	13114 36335	 * 	270.66	橙3易伤2矿等3时间1伤害1暴击	128易伤28序列升级348时间5伤害6暴击78矿等9雷电a核
11	43131 31514	   	270.58	橙橙2易伤1攻速	1立即金币2攻速3时间4敌人爆炸56易伤7a核8额外掉落9最后敌人
12	13121 34522	   	270.48	橙橙2易伤1暴击	12易伤2序列升级3时间4基地爆炸5暴击6低血量敌人7赏金塔8a核9机枪对壮
13	13411 34522	   	270.48	橙橙2易伤1暴击	12易伤2序列升级3最后敌人4时间5暴击6低血量敌人7赏金塔8a核9机枪对壮
14	13511 34522	   	270.48	橙橙2易伤1暴击	12易伤2序列升级3基地爆炸4时间5暴击6低血量敌人7赏金塔8a核9机枪对壮
15	13141 34522	   	270.38	橙橙2易伤1暴击	12易伤2序列升级3时间4挖尘5暴击6低血量敌人7赏金塔8a核9机枪对壮
16	13212 11262	 * 	268.55	橙3易伤3矿等2伤害1卖塔	127易伤27序列升级3卖塔479矿等5赏金塔67伤害8赏金邻近a核
17	13152 33521	   	266.26	橙3易伤2伤害1矿等1全技能1平台2策反	127易伤27序列升级3时间47伤害5平台67策反8矿等9核a全技能
18	13212 31456	   	265.91	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7低血量敌人8敌人爆炸9最后敌人
19	13212 31466	   	265.81	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7低血量敌人8敌人爆炸9挖尘
20	14212 31316	   	265.81	橙橙2易伤1矿等1卖塔	19易伤2立即金币3卖塔4矿等5赏金塔6a核7低血量敌人8双倍秒伤
21	13212 33726	   	265.71	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7加一8雷电9双倍秒伤
22	26212 35316	   	265.71	橙橙2易伤1矿等1卖塔	1掉矿2金币生成3卖塔4矿等5赏金塔6a核79易伤8双倍秒伤
23	13212 32522	   	265.61	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7掉矿8基础对甲9双倍秒伤
24	13212 32622	   	265.61	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7掉矿8双倍秒伤9导弹对毒
25	13212 34522	   	265.61	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7技能点8基础对甲9双倍秒伤
26	13212 34622	   	265.61	橙橙2易伤1矿等1卖塔	12易伤2序列升级3卖塔4矿等5赏金塔6a核7技能点8双倍秒伤9导弹对毒
27	12123 16435	   	263.82	橙橙1易伤1伤害1暴击1平台	1易伤2金币生成3散射对绿4伤害5平台6最后敌人7a核8暴击9基地爆炸
28	12123 26435	   	263.82	橙橙1易伤1伤害1暴击1平台	1易伤2金币生成3散射对绿4伤害5平台6敌人爆炸7a核8暴击9基地爆炸
29	12123 36435	   	263.82	橙橙1易伤1伤害1暴击1平台	1易伤2金币生成3散射对绿4伤害5平台6低血量敌人7a核8暴击9基地爆炸
30	13152 53522	   	263.64	橙3易伤2伤害1矿等2时间1平台	127易伤27序列升级37时间47伤害5平台6a技能8矿等9核
31	13152 53523	   	263.54	橙3易伤2伤害1矿等2时间1平台1挖怪	127易伤27序列升级37时间47伤害5平台6技能8矿等9核a挖怪
32	11322 31514	   	263.38	橙橙2易伤2时间	16易伤25时间3核弹4敌人爆炸7a核8额外掉落9最后敌人
33	13251 54121	 * 	261.30	橙4易伤1伤害2暴击1矿等1卖塔	125a易伤25序列升级3卖塔45暴击6核7伤害8雷电9矿等
34	13225 41116	 * 	260.37	紫橙3易伤1矿等1卖塔	129易伤2序列升级3卖塔4双倍秒伤5a核6赏金邻近7矿等8基地爆炸
35	13225 51116	 * 	260.37	紫橙3易伤1矿等1卖塔	129易伤2序列升级3卖塔4双倍秒伤5a核6赏金塔7矿等8基地爆炸
36	22431 51236	   	259.84	橙橙1易伤1矿等1暴击	1掉矿2时间3随机矿4矿等5易伤6暴击7a核8挖尘9赏金邻近
37	13152 63113	 * 	259.45	橙4易伤1伤害1矿等1平台	1289易伤2序列升级3时间4伤害5平台6激光对冰7核a矿等
