0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66213 34311	5	 * 	298.86	DCR|3VULN|3DMG|2DUR|2TLV	1AART|2aDUR|34TLV|58aVULN|67aDMG|9RCR|aBPWR
2	66213 35311	5	 * 	296.43	DCR|3VULN|3DUR|2DMG|2TLV	1AART|27aDUR|34TLV|58aVULN|6aDMG|9RCR|aBPWR
3	21136 24234	3	 * 	295.86	DCR|4VULN|3DMG|2CDMG|2LIT	134aVULN|25CDMG|69aDMG|7aLIT|8RCR|aBPWR
4	22154 23341	1	 * 	291.30	DCR|5VULN|3DUR|3TLV	1378aVULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR
5	24154 23341	2	   	291.30	DCR|5VULN|3DUR|3TLV	1378aVULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR
6	26333 16213	5	 * 	291.20	DCR|5VULN|3DUR|3LIT	1459aVULN|2aERES|389LIT|69aDUR|7RCR|9aBPWR
7	26333 44213	7	   	291.20	DCR|5VULN|3DUR|3LIT	1459aVULN|2aERES|389LIT|69aDUR|7RCR|9aBPWR
8	26333 46213	6	   	291.20	DCR|5VULN|3DUR|3LIT	1459aVULN|2aERES|389LIT|69aDUR|7RCR|9aBPWR
9	66213 36311	5	   	283.21	DCR|3VULN|2DMG|2DUR|2TLV	1AART|2aDUR|34TLV|58aVULN|6aDMG|7RCVC|9RCR|aBPWR
10	21162 41411	8	   	281.22	DCR|5VULN|2DUR|1CDMG	13569VULN|2CDMG|47DUR|8RCR|aAART
11	21162 41611	7	   	281.22	DCR|5VULN|2DUR|1CDMG	13569VULN|2CDMG|47DUR|8RCR|aAART
12	22164 23162	2	   	278.18	DCR|5VULN|2DUR|2TLV	13479VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|aCGEN
13	22164 23163	2	   	278.18	DCR|5VULN|2DUR|2TLV	13479VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|aLWND
14	23164 23162	1	   	278.18	DCR|5VULN|2DUR|2TLV	13479VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|aCGEN
15	23164 23163	1	   	278.18	DCR|5VULN|2DUR|2TLV	13479VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|aLWND
16	23124 63162	2	   	278.08	DCR|5VULN|2DUR|2TLV	1379aVULN|24FEWX|57TLV|67DUR|7BPWR|8RCR
17	22164 23134	2	   	278.08	DCR|5VULN|2DUR|2TLV	1347aVULN|24LHND|47BPWR|57TLV|67DUR|8RCR|9DUST
18	22164 23161	2	   	278.08	DCR|5VULN|2DUR|2TLV	13479VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|aDUST
19	23164 23134	1	   	278.08	DCR|5VULN|2DUR|2TLV	1347aVULN|24LHND|47BPWR|57TLV|67DUR|8RCR|9DUST
20	23164 23161	1	   	278.08	DCR|5VULN|2DUR|2TLV	13479VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|aDUST
21	22123 45162	1	 * 	277.98	DCR|5VULN|2DUR|1DMG	1379aVULN|25DUR|4FEWX|6DMG|8RCR
22	23133 45162	2	   	277.98	DCR|5VULN|2DUR|1DMG	1379aVULN|2FEWX|45DUR|6DMG|8RCR
23	21162 41413	8	 * 	277.88	DCR|5VULN|2DUR|2CDMG	13569VULN|2aCDMG|47DUR|8RCR
24	21162 41613	7	   	277.88	DCR|5VULN|2DUR|2CDMG	13569VULN|2aCDMG|47DUR|8RCR
25	21122 41436	10	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	13568VULN|2CDMG|4BEXP|7DUR|9DMG|aRCR
26	21122 42662	7	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	13569VULN|2CDMG|4BEXP|7DMG|8RCR|aTLV
27	21132 64231	3	   	276.81	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1346VULN|2CDMG|5ASPD|7LIT|8RCR|9DMG|aDUR
28	21135 64231	4	   	276.81	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1356VULN|2CDMG|4ASPD|7LIT|8RCR|9DMG|aDUR
29	21162 41412	10	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1356VULN|2CDMG|47DUR|8RCR|9LIT|aTLV
30	21134 14236	3	   	276.41	DCR|3VULN|3DMG|1TLV|1CDMG	134VULN|2CDMG|569DMG|7LIT|8RCR|aTLV
31	21162 41433	8	   	276.25	DCR|4VULN|3DUR|1CDMG|1ASPD	1356VULN|2CDMG|47aDUR|8RCR|9ASPD
32	21162 41633	7	   	276.25	DCR|4VULN|3DUR|1CDMG|1ASPD	1356VULN|2CDMG|47aDUR|8RCR|9ASPD
33	22131 63663	1	   	276.25	DCR|4VULN|3DUR|1CDMG|1ASPD	1379VULN|25aDUR|4CDMG|6ASPD|8RCR
34	22463 23162	1	 * 	276.22	DCR|4VULN|2DMG|2DUR	179aVULN|25DUR|37MLV|47DMG|6RMIN|7BPWR|8RCR
35	21134 64212	3	   	275.47	DCR|4VULN|1DMG|1DUR|1CDMG	1346VULN|2CDMG|5DMG|7LIT|8RCR|9DUR|aAART
36	22134 41153	1	   	275.36	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	138VULN|2aDUR|4CDMG|5TLV|6AART|7RCR|9DMG
37	21134 11663	3	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1349VULN|2CDMG|56DMG|7DUST|8RCR|aDUR
38	21162 63622	5	 * 	274.90	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	1357VULN|2CDMG|4DUR|6aASPD|8RCR|9TLV
39	21162 63622	6	   	274.90	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	1357VULN|2CDMG|4DUR|6aASPD|8RCR|9TLV
40	26333 16212	5	   	274.59	DCR|4VULN|2DUR|3LIT|1TLV	1459VULN|2ERES|389LIT|69DUR|7RCR|9BPWR|aTLV
41	26333 44212	7	   	274.59	DCR|4VULN|2DUR|3LIT|1TLV	1459VULN|2ERES|389LIT|69DUR|7RCR|9BPWR|aTLV
42	26333 46212	6	   	274.59	DCR|4VULN|2DUR|3LIT|1TLV	1459VULN|2ERES|389LIT|69DUR|7RCR|9BPWR|aTLV
43	21551 53312	3	   	274.25	DCR|4VULN|3DMG|1CDMG|1SELL	178aVULN|2CDMG|3MBVNT|4SELL|578ERES|678DMG|78BPWR|9RCR
44	21322 42663	7	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1569VULN|2CDMG|3RMIN|4TLV|7DMG|8RCR|aDUR
45	21162 41411	9	   	273.56	DCR|4VULN|3DUR|1CDMG	1356VULN|2CDMG|47aDUR|8RCR|9LIT
46	23221 26782	10	   	273.49	DCR|4VULN|2DUR|2TLV|2LIT	1679VULN|29FEWX|37LIT|4MBVNT|57TLV|79BPWR|89DUR|aRCR
47	21162 13662	6	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	13579VULN|2CDMG|4DUR|6ZMB|8RCR|aTLV
48	21136 24234	2	   	273.22	DCR|3VULN|3DMG|2CDMG|2LIT	14aVULN|25CDMG|3DMSP|69aDMG|7aLIT|8RCR|aBPWR
49	22111 43524	1	 * 	273.01	DCR|4VULN|3DUR|2ASPD	138aVULN|289DUR|4LWND|5BEXP|68ASPD|7RCR|8BPWR
50	22112 43524	1	   	273.01	DCR|4VULN|3DUR|2ASPD	138aVULN|289DUR|4LWND|5LHND|68ASPD|7RCR|8BPWR
51	21162 42411	8	   	272.95	DCR|5VULN|2CDMG|1DUR	13569VULN|27CDMG|4DUR|8RCR|aAART
52	21162 42611	7	   	272.95	DCR|5VULN|2CDMG|1DUR	13569VULN|27CDMG|4DUR|8RCR|aAART
53	22163 26363	1	   	272.87	DCR|5VULN|2DUR|2LIT	1367aVULN|27DUR|47LIT|5BBNT|7BPWR|8FEWX|9RCR
54	24213 26363	3	   	272.87	DCR|5VULN|2DUR|2LIT	1467aVULN|27DUR|37LIT|5BBNT|7BPWR|8FEWX|9RCR
55	22164 23153	2	   	272.29	DCR|4VULN|2DUR|2TLV|1CDMG	1347VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|9ZMB|aCDMG
56	23164 23153	1	   	272.29	DCR|4VULN|2DUR|2TLV|1CDMG	1347VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|9ZMB|aCDMG
57	21322 41265	10	   	272.09	DCR|4VULN|2DUR|3TLV|1CDMG	156aVULN|2CDMG|3RMIN|48aTLV|7aDUR|9RCR|aBPWR
58	22164 23151	2	   	271.86	DCR|4VULN|3DUR|2TLV	1347VULN|24LHND|47BPWR|57TLV|67aDUR|8RCR|9ZMB
59	23164 23151	1	   	271.86	DCR|4VULN|3DUR|2TLV	1347VULN|24LHND|47BPWR|57TLV|67aDUR|8RCR|9ZMB
60	21164 41111	4	   	271.84	DCR|4VULN|2DUR|2TLV|1CDMG|1SELL	138aVULN|2CDMG|4aDUR|5aTLV|6AART|7RCR|9SELL|aBPWR
61	24232 22315	5	 * 	271.78	ACR|5VULN|2DMG|2DUR	1689aVULN|2aDUR|3LIT|4CGEN|5RCR|7aDMG|aBPWR
62	22154 23342	1	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aBEXP
63	22154 23343	1	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aMLV
64	22154 23344	1	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aZMB
65	22154 23346	1	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aRCVC
66	22154 23348	1	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aLWND
67	24154 23342	2	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aBEXP
68	24154 23343	2	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aMLV
69	24154 23344	2	   	271.76	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aZMB
70	26331 16313	5	   	271.66	DCR|4VULN|3DUR|3LIT	149aVULN|2aERES|359LIT|69aDUR|7RCR|8RCVC|9aBPWR
71	26331 44313	7	   	271.66	DCR|4VULN|3DUR|3LIT	149aVULN|2aERES|359LIT|69aDUR|7RCR|8RCVC|9aBPWR
72	26331 44313	8	   	271.66	DCR|4VULN|3DUR|3LIT	149aVULN|2aERES|359LIT|69aDUR|7RCR|8DMSP|9aBPWR
73	26331 46313	6	   	271.66	DCR|4VULN|3DUR|3LIT	149aVULN|2aERES|359LIT|69aDUR|7RCR|8RCVC|9aBPWR
74	22154 23347	1	   	271.66	DCR|4VULN|3DUR|3TLV	1378VULN|278DUR|4DMSP|578TLV|6MBVNT|78BPWR|9RCR|aBBNT
