0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63313 33345	5	 * 	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1SELL|27DMG|3LHND|478DUR|579aVULN|6RCR|7BPWR
2	63313 33346	5	 * 	282.22	DCR|3VULN|3DMG|3DUR|1SELL	1SELL|27aDMG|3LHND|478DUR|579VULN|6RCR|7BPWR
3	63153 43112	6	 * 	274.23	DCR|3VULN|3DMG|2ASPD|2LIT|1SELL	1SELL|247DMG|37ASPD|567VULN|7BPWR|8aLIT|9RCR
4	63313 33221	5	 * 	268.99	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|27aDMG|3LHND|47DUR|579VULN|6RCR|7BPWR|8CGEN
5	63153 43111	6	 * 	267.68	DCR|3VULN|3DMG|2ASPD|1SELL	1SELL|247DMG|37ASPD|567VULN|7BPWR|8LIT|9RCR|aLHND
6	63313 33226	5	 * 	266.57	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|27DMG|3LHND|47aDUR|579VULN|6RCR|7BPWR|8CGEN
7	63313 33343	5	 * 	266.57	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|27DMG|3LHND|478DUR|579VULN|6RCR|7BPWR|aCGEN
8	63313 33365	5	 * 	266.57	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|27DMG|39LHND|478DUR|57aVULN|6RCR|7BPWR
9	63313 33331	5	 * 	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|27DMG|3LHND|478DUR|57aVULN|6RCR|7BPWR|9MBVNT
10	63313 33341	5	 * 	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|27DMG|3LHND|478DUR|579VULN|6RCR|7BPWR|aLEGI
11	63313 33342	5	 * 	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|27DMG|3LHND|478DUR|579VULN|6RCR|7BPWR|aDUST
12	63313 33156	5	 * 	262.90	DCR|3VULN|2DMG|2DUR|1AART|1SELL	1SELL|27DMG|3LHND|47DUR|579VULN|6RCR|7BPWR|8DUST|aAART
13	63311 22351	6	 * 	261.65	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|27DMG|37LHND|49DUR|5LIT|67aVULN|7BPWR|8RCR
14	63313 33631	5	 * 	261.65	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|27DMG|3LHND|47DUR|57aVULN|6RCR|7BPWR|8LIT|9RCVC
15	63153 43233	6	 * 	259.27	DCR|3VULN|3DMG|2ASPD|1SELL	1SELL|247DMG|37ASPD|567VULN|7BPWR|8TBNT|9FEWX|aRCR
