0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51612 21313	3	 * 	297.43	DCR|5VULN|2DMG|1TLV|1DUR	13479VULN|29ZMB|5TLV|6DUR|89DMG|9BPWR|aRCR
2	22243 35134	7	 * 	296.09	DCR|4VULN|2DMG|2DUR|3LIT	147LIT|25DMG|3579VULN|57BPWR|67DUR|8BBNT|aRCR
3	22243 35531	7	   	289.80	DCR|3VULN|2DMG|2DUR|3LIT|1TLV	147LIT|25DMG|357VULN|57BPWR|67DUR|8RCR|9TLV|aMLV
4	22243 35532	7	   	289.80	DCR|3VULN|2DMG|2DUR|3LIT|1TLV	147LIT|25DMG|357VULN|57BPWR|67DUR|8RCR|9TLV|aZMB
5	22243 35432	8	   	289.70	DCR|3VULN|2DMG|2DUR|3LIT|1TLV	147LIT|25DMG|357VULN|57BPWR|67DUR|8MBVNT|9TLV|aRCR
6	22243 35632	7	   	289.70	DCR|3VULN|2DMG|2DUR|3LIT|1TLV	147LIT|25DMG|357VULN|57BPWR|67DUR|8MBVNT|9TLV|aRCR
7	22243 35533	7	   	289.70	DCR|3VULN|2DMG|2DUR|3LIT|1TLV	147LIT|25DMG|357VULN|57BPWR|67DUR|8RCR|9TLV|aBBNT
8	52211 11124	2	 * 	285.80	DCR|4VULN|2DUR|2ASPD|1TLV	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aTLV
9	53211 11124	1	   	285.80	DCR|4VULN|2DUR|2ASPD|1TLV	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aTLV
10	54111 11124	1	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1268VULN|3LHND|48DUR|5AART|78ASPD|8BPWR|9RCR|aTLV
11	54311 11124	1	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1268VULN|3LWND|48DUR|5AART|78ASPD|8BPWR|9RCR|aTLV
12	54312 11124	2	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	1368VULN|2AART|4DUST|58DUR|78ASPD|8BPWR|9RCR|aTLV
13	22243 35523	7	   	284.55	DCR|3VULN|2DMG|2DUR|3LIT|1ASPD	147LIT|25DMG|357VULN|57BPWR|67DUR|8RCR|9LWND|aASPD
14	43263 41383	5	 * 	283.11	DCR|3VULN|2DMG|3ASPD|2CDMG	15aASPD|2AART|3MBVNT|458VULN|5aBPWR|6RCR|7aCDMG|9aDMG
15	54114 11121	2	 * 	282.67	DCR|4VULN|3DUR|2ASPD	1568VULN|2AART|3FEWX|48aDUR|78ASPD|8BPWR|9RCR
16	54114 11121	3	   	282.57	DCR|4VULN|3DUR|2ASPD	1568VULN|2AART|3DUST|48aDUR|78ASPD|8BPWR|9RCR
17	54114 11121	4	   	282.57	DCR|4VULN|3DUR|2ASPD	1568VULN|2AART|3DUST|48aDUR|78ASPD|8BPWR|9RCR
18	54312 11121	2	   	282.57	DCR|4VULN|3DUR|2ASPD	1368VULN|2AART|4DUST|58aDUR|78ASPD|8BPWR|9RCR
19	51612 51313	3	   	281.18	DCR|5VULN|2DMG|1TLV	13479VULN|29ZMB|5TLV|6FEWX|89DMG|9BPWR|aRCR
20	22241 35134	7	   	278.40	DCR|4VULN|2DUR|3LIT|1DMG	147LIT|2DMG|3579VULN|67DUR|7BPWR|8BBNT|aRCR
21	34264 23122	7	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG	1BELT|2RMIN|3AART|468VULN|58DUR|78DMG|8BPWR|9CDMG|aRCR
22	54113 35121	7	 * 	276.37	DCR|3VULN|3DUR|2DMG	178VULN|2AART|3DUST|48aDUR|58DMG|6RCVC|8BPWR|9RCR
23	43263 42383	5	 * 	275.78	DCR|4VULN|2DMG|3ASPD|1SELL	15aASPD|2AART|3MBVNT|458aVULN|5aBPWR|6RCR|7SELL|9aDMG
24	22342 32261	7	 * 	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aLWND
25	22342 32262	7	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aRMIN
26	22342 32263	7	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aDMSP
27	22342 32265	7	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aBEXP
28	22342 35261	6	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aLWND
29	22342 35262	6	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aRMIN
30	22342 35263	6	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aDMSP
31	22342 45132	9	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	147LIT|258DMG|357DUR|57BPWR|67VULN|9LHND|aRCR
32	22342 45132	8	   	275.42	DCR|2VULN|3DMG|3DUR|3LIT	147LIT|258DMG|357DUR|57BPWR|67VULN|9DUST|aRCR
