0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21334 36232	2	 * 	292.47	DCR|4VULN|2DMG|2DUR|1TLV	147aVULN|2RMIN|3BEXP|57DUR|67DMG|7BPWR|8TLV|9RCR
2	23214 33154	7	 * 	286.24	DCR|5VULN|2DMG|2ASPD	1457aVULN|2RPLT|35ASPD|5aBPWR|6aDMG|8RCR|9aCGEN
3	23334 33154	7	   	286.24	DCR|5VULN|2DMG|2ASPD	1357aVULN|2RPLT|45ASPD|5aBPWR|6aDMG|8RCR|9aCGEN
4	23214 33144	7	   	286.04	DCR|5VULN|2DMG|2ASPD	1457aVULN|2RPLT|35ASPD|5aBPWR|6aDMG|8RCR|9aERES
5	23334 33144	7	   	286.04	DCR|5VULN|2DMG|2ASPD	1357aVULN|2RPLT|45ASPD|5aBPWR|6aDMG|8RCR|9aERES
6	24334 22126	1	 * 	285.23	DCR|4VULN|2ASPD|2TLV|1DMG|1DUR	1469VULN|29TLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aDMG
7	24334 22124	1	 * 	284.70	DCR|5VULN|2ASPD|2TLV|1DUR	1469aVULN|29TLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR
8	23236 55312	5	 * 	282.73	DCR|4VULN|3DUR|3ASPD	1789VULN|2RPLT|379ASPD|479DUR|5BELT|6RCR|79BPWR|aFEWX
9	23236 55313	5	   	282.73	DCR|4VULN|3DUR|3ASPD	1789VULN|2RPLT|379ASPD|479DUR|5BELT|6RCR|79BPWR|aBEXP
10	23236 55311	5	   	282.63	DCR|4VULN|3DUR|3ASPD	1789VULN|2RPLT|379ASPD|479DUR|5BELT|6RCR|79BPWR|aBBNT
11	24154 21312	1	 * 	281.50	DCR|4VULN|2DMG|2TLV|1DUR	169aVULN|29TLV|3DUR|4LHND|59DMG|7MBVNT|8RCR|9BPWR
12	21234 13562	7	 * 	281.01	DCR|4VULN|3DMG|2TLV	148aVULN|2RMIN|3MLV|58TLV|6RCR|789DMG|8BPWR
13	21532 56211	8	   	280.98	DCR|5VULN|2DMG|1DUR	14569VULN|2RMIN|359ERES|59BPWR|7RCR|89DMG|aDUR
14	21235 26512	5	 * 	280.78	DCR|5VULN|3DMG	14679VULN|2RMIN|379MLV|579DMG|79BPWR|8RCR|aCGEN
15	21235 36512	6	   	280.78	DCR|5VULN|3DMG	14679VULN|2RMIN|379MLV|579DMG|79BPWR|8RCR|aCGEN
16	21235 26513	5	   	280.68	DCR|5VULN|3DMG	14679VULN|2RMIN|379MLV|579DMG|79BPWR|8RCR|aERES
17	21235 36513	6	   	280.68	DCR|5VULN|3DMG	14679VULN|2RMIN|379MLV|579DMG|79BPWR|8RCR|aERES
18	24334 22324	1	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1468aVULN|2TLV|3BEXP|5DUR|7RCR|9DMG
19	21334 36236	2	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	147VULN|2RMIN|3BEXP|57DUR|67DMG|7BPWR|8TLV|9RCR|aAART
20	26242 12214	7	 * 	278.18	DCR|5VULN|2DUR|1DMG	14789VULN|239MLV|59DUR|6RCR|9BPWR|aDMG
21	26242 32214	6	   	278.18	DCR|5VULN|2DUR|1DMG	14689VULN|239MLV|59DUR|7RCR|9BPWR|aDMG
22	23311 46314	4	 * 	278.08	DCR|5VULN|2DUR|3TLV	1346aVULN|28RPLT|56aTLV|6aBPWR|7aDUR|9RCR
23	21114 26232	2	   	277.89	DCR|4VULN|2DMG|1TLV|1DUR	167aVULN|2RMIN|3DUR|47BEXP|57DMG|7BPWR|8TLV|9RCR
24	21144 26232	2	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	167aVULN|2RMIN|3DUR|47DUST|57DMG|7BPWR|8TLV|9RCR
25	21235 33511	7	   	277.29	DCR|4VULN|3DMG|1TLV	1469VULN|2RMIN|39MLV|579DMG|8RCR|9BPWR|aTLV
26	21235 26531	5	   	277.29	DCR|4VULN|3DMG|1TLV	1467VULN|2RMIN|37MLV|579DMG|7BPWR|8RCR|aTLV
27	21235 36531	6	   	277.29	DCR|4VULN|3DMG|1TLV	1467VULN|2RMIN|37MLV|579DMG|7BPWR|8RCR|aTLV
