0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32211 11511	1	 * 	302.32	DCR|3VULN|3DMG|2TLV|2DUR	18DUR|256VULN|3BELT|468DMG|68BPWR|78TLV|9AART|aRCR
2	32114 15315	7	 * 	298.00	DCR|3VULN|3DMG|3DUR|1TLV	158DUR|28aDMG|3TLV|459aLHND|58aBPWR|6RCR|78aVULN
3	32124 15335	7	   	298.00	DCR|3VULN|3DMG|3DUR|1TLV	158DUR|28aDMG|3TLV|45aLWND|58aBPWR|6RCR|78aVULN|9RCVC
4	32156 21324	9	   	290.40	DCR|3VULN|2TLV|2DUR|1DMG|2AART|1CDMG	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aCDMG
5	32156 21323	9	 * 	289.97	DCR|3VULN|3DUR|2TLV|1DMG|2AART	19aDUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR
6	32156 21324	10	   	289.97	DCR|3VULN|3DUR|2TLV|1DMG|2AART	19aDUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR
7	32156 26123	9	   	289.97	DCR|3VULN|3DUR|2TLV|1DMG|2AART	19aDUR|2DMG|39TLV|489VULN|56AART|7RCR|9BPWR
8	32126 22225	3	   	289.16	DCR|3VULN|3DUR|2TLV|1DMG	179DUR|2DMG|37TLV|4LIT|5ASPD|678VULN|7BPWR|aRCR
9	32526 22225	2	   	289.16	DCR|3VULN|3DUR|2TLV|1DMG	179DUR|2DMG|37TLV|4LIT|5ASPD|678VULN|7BPWR|aRCR
10	41231 46321	10	   	286.76	DCR|3VULN|2DMG|2TLV|2DUR	1AART|279VULN|39BEXP|47DUR|5BELT|67DMG|79BPWR|89TLV|aRCR
11	32631 52521	1	 * 	285.51	DCR|4VULN|3DUR|1TLV|3LIT	178DUR|2478VULN|3TLV|59FEWX|678LIT|78BPWR|aRCR
12	32156 23324	9	 * 	282.87	DCR|2VULN|3DUR|2DMG|2TLV|2AART	179DUR|2aDMG|39TLV|49VULN|56AART|8RCR|9BPWR
13	32156 61323	9	   	282.20	DCR|3VULN|3DUR|2TLV|1DMG	19aDUR|2DMG|39TLV|479VULN|5AART|6RCVC|8RCR|9BPWR
14	32126 22425	3	   	282.05	DCR|2VULN|3DUR|2DMG|2TLV	179DUR|28DMG|37TLV|4LIT|5ASPD|67VULN|7BPWR|aRCR
15	32332 26334	2	 * 	281.91	DCR|5VULN|2DMG|2DUR	18DUR|28DMG|34789VULN|5LEGI|6RCVC|8BPWR|aRCR
16	32334 31636	2	   	281.81	DCR|5VULN|2DMG|2DUR	1aDUR|2aDMG|34569VULN|7TBNT|8RCR|aBPWR
17	32132 21535	5	   	280.85	DCR|3VULN|3DUR|2TLV|1DMG	158DUR|2DMG|38TLV|4MLV|6LIT|789VULN|8BPWR|aRCR
18	32153 52126	8	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	17DUR|2DMG|3TLV|469aVULN|5LIT|8RCR
19	32153 52136	9	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	17DUR|2DMG|3TLV|469aVULN|5LIT|8RCR
20	22166 15333	7	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	18DUST|248DMG|34TLV|48BPWR|5LHND|6RCR|789VULN|aDUR
21	32212 11511	1	   	277.63	DCR|2VULN|3DMG|2TLV|2DUR	18DUR|26VULN|3BELT|468DMG|5DMSP|68BPWR|78TLV|9AART|aRCR
22	32215 11511	1	   	277.63	DCR|2VULN|3DMG|2TLV|2DUR	18DUR|26VULN|3BELT|468DMG|5RCVC|68BPWR|78TLV|9AART|aRCR
23	32153 22126	8	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|26DMG|3TLV|49aVULN|5LIT|8RCR
24	32153 22136	9	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|26DMG|3TLV|49aVULN|5LIT|8RCR
25	41321 62211	2	 * 	276.81	DCR|4VULN|2DMG|1TLV	1AART|258aVULN|3LIT|49DMG|6TLV|7RCR
26	41321 62211	1	   	276.81	DCR|4VULN|2DMG|1TLV	1AART|258aVULN|3LIT|49DMG|6TLV|7RCR
27	32332 26354	2	 * 	276.80	DCR|4VULN|3DUR|2DMG	189DUR|28DMG|3478VULN|5LEGI|6RCVC|8BPWR|aRCR
28	32156 21321	10	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aBEXP
29	32156 21321	9	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aBELT
30	32156 21322	10	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aRCVC
31	32156 21322	9	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aRMIN
32	32156 21325	10	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aFEWX
33	32156 21326	10	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aRMIN
34	32156 26121	10	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|489VULN|56AART|7RCR|9BPWR|aBEXP
35	32156 26121	9	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|489VULN|56AART|7RCR|9BPWR|aBELT
36	32156 26122	10	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|489VULN|56AART|7RCR|9BPWR|aRCVC
37	32156 26122	9	   	276.75	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|489VULN|56AART|7RCR|9BPWR|aRMIN
38	32156 21325	9	   	276.65	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aDUST
39	32156 21326	9	   	276.65	DCR|3VULN|2TLV|2DUR|1DMG|2AART	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aTBNT
40	32156 21323	10	   	276.50	DCR|3VULN|2TLV|2DUR|1DMG|2AART|1SELL	19DUR|2DMG|39TLV|479VULN|56AART|8RCR|9BPWR|aSELL
41	32156 26123	10	   	276.50	DCR|3VULN|2TLV|2DUR|1DMG|2AART|1SELL	19DUR|2DMG|39TLV|489VULN|56AART|7RCR|9BPWR|aSELL
42	32126 22241	3	   	275.83	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|2DMG|37TLV|4LIT|5ASPD|678VULN|7BPWR|9TBNT|aRCR
43	32526 22241	2	   	275.83	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|2DMG|37TLV|4LIT|5ASPD|678VULN|7BPWR|9TBNT|aRCR
44	32334 21631	2	   	275.54	DCR|5VULN|2DMG|1DUR	1DUR|29DMG|34578VULN|6LIT|aRCR
45	32334 35631	2	   	275.54	DCR|5VULN|2DMG|1DUR	1DUR|29DMG|34568VULN|7LIT|aRCR
46	32335 21631	2	   	275.54	DCR|5VULN|2DMG|1DUR	1DUR|29DMG|34678VULN|5LIT|aRCR
47	32144 15331	7	   	275.23	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|28DMG|3TLV|45DUST|58BPWR|6RCR|78VULN|9AART|aLIT
48	32312 55315	7	 * 	273.69	ACR|3VULN|3DMG|3DUR|2TLV	168DUR|28aDMG|3RCR|49LHND|5aTLV|78aVULN|8aBPWR
49	41231 46132	9	   	273.33	DCR|4VULN|2DMG|2DUR	1AART|279aVULN|3BEXP|47DUR|5BELT|67DMG|7BPWR|8RCR
50	41231 46132	8	   	273.33	DCR|4VULN|2DMG|2DUR	1AART|279aVULN|3BEXP|47DUR|5BELT|67DMG|7BPWR|8RCR
51	32211 12344	1	   	273.13	DCR|3VULN|3DMG|2DUR|2LIT	1aDUR|256VULN|3BELT|46aDMG|6aBPWR|7aLIT|8RCR|9MBVNT
52	32111 15343	7	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	18aDUR|289DMG|3TLV|45LHND|6RCR|78VULN|8BPWR
53	36132 23266	10	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	15aDUR|2RCVC|38aVULN|4MLV|6RCR|7DMG|9aTLV|aBPWR
54	32334 21621	2	   	272.53	DCR|5VULN|2DUR|1DMG	19DUR|2DMG|34578VULN|6LIT|aRCR
55	32335 21621	2	   	272.53	DCR|5VULN|2DUR|1DMG	19DUR|2DMG|34678VULN|5LIT|aRCR
56	32334 35621	2	   	272.53	DCR|5VULN|2DUR|1DMG	19DUR|2DMG|34568VULN|7LIT|aRCR
