0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21435 21523	8	 * 	299.89	DCR|3VULN|3DUR|2DMG|2TLV	1AART|28aDUR|38DMG|4RMIN|58aVULN|6LEGI|7RCR|8aBPWR|9aTLV
2	22126 32563	8	   	288.33	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	1AART|28aVULN|38TLV|4aLWND|5DUR|6RCR|78DMG|8aBPWR|9aASPD
3	22126 33563	8	   	288.33	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	1AART|28aVULN|38TLV|4aLWND|5DUR|6RCR|78ASPD|8aBPWR|9aDMG
4	21135 31563	8	   	283.40	DCR|2VULN|3DUR|2DMG|2TLV	1AART|28aDUR|38TLV|4aDUST|5ASPD|68VULN|7RCR|8aBPWR|9aDMG
5	22615 21623	8	 * 	283.09	DCR|4VULN|3DUR|2TLV	1AART|258aVULN|38aDUR|4MBVNT|6LEGI|7RCR|8aBPWR|9aTLV
6	53253 23236	1	 * 	281.16	DCR|3VULN|2DMG|2DUR|3ASPD|2LIT	179ASPD|2LEGI|369VULN|47DMG|57LIT|79BPWR|89DUR|aRCR
7	22126 31434	10	   	277.55	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1AART|29aVULN|3TLV|4aLWND|5DUR|6RCR|7CDMG|8aDMG|aBPWR
8	22612 13373	5	   	276.95	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	1AART|26aVULN|3aDUR|4MBVNT|5TLV|7RCR|8DMG|9aASPD|aBPWR
9	22612 13373	4	   	276.95	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	1AART|26aVULN|3aDUR|4MBVNT|5TLV|7RCR|8DMG|9aASPD|aBPWR
10	22615 33373	6	   	276.95	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	1AART|25aVULN|3aDUR|4MBVNT|6TLV|7RCR|8DMG|9aASPD|aBPWR
11	21435 11523	8	   	275.30	DCR|2VULN|3DUR|2DMG|2TLV	1AART|28aDUR|3aDMG|4RMIN|58VULN|68LWND|7RCR|8aBPWR|9aTLV
12	22126 33363	7	   	272.21	DCR|3VULN|2DMG|1TLV|1DUR	1AART|28aVULN|3TLV|4aLWND|5DUR|6RCR|7ASPD|9aDMG|aBPWR
13	22126 32142	6	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR	1AART|29aVULN|39TLV|4LWND|5DUR|6RCR|79DMG|8RPLT|9BPWR
14	22126 32142	7	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR	1AART|29aVULN|39TLV|4LWND|5DUR|6RCR|79DMG|8RPLT|9BPWR
15	22126 32123	9	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR	1AART|29aVULN|3aTLV|4LWND|5DUR|6RCR|7aDMG|8RMIN|aBPWR
16	22126 32133	8	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR	1AART|29aVULN|3aTLV|4LWND|5DUR|6RCR|7aDMG|8RMIN|aBPWR
17	22342 15323	4	   	271.74	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1AART|25aVULN|3SELL|4RPLT|6RCR|7DUR|8aDMG|9aTLV|aBPWR
18	22343 15323	5	   	271.74	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1AART|25aVULN|3SELL|4RPLT|6RCR|7DUR|8aDMG|9aTLV|aBPWR
19	52126 32433	4	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1ASPD|28DMG|3ZMB|4DUR|58TLV|6LWND|789VULN|8BPWR|aRCR
20	52133 22433	5	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1ASPD|28DMG|3ZMB|4LWND|58TLV|6DUR|789VULN|8BPWR|aRCR
21	52136 22433	3	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1ASPD|28DMG|3ZMB|4LHND|58TLV|6DUR|789VULN|8BPWR|aRCR
22	52136 22433	4	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1ASPD|28DMG|3ZMB|4LWND|58TLV|6DUR|789VULN|8BPWR|aRCR
23	52216 22613	2	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1ASPD|29DMG|3LHND|4CGEN|59TLV|6DUR|789VULN|9BPWR|aRCR
24	22126 32526	10	   	270.18	DCR|2VULN|2DMG|2TLV|2DUR	1AART|28VULN|38TLV|4LWND|59DUR|6RCR|78DMG|8BPWR|aLIT
25	22615 11623	8	   	270.06	DCR|4VULN|2TLV|2DUR	1AART|258aVULN|38DUR|4MBVNT|68aLWND|7RCR|8aBPWR|9aTLV
26	22621 31323	6	   	269.96	DCR|4VULN|2TLV|2DUR	1AART|278aVULN|3aDUR|4FEWX|5BEXP|6RCR|9aTLV|aBPWR
27	22641 31323	6	   	269.96	DCR|4VULN|2TLV|2DUR	1AART|278aVULN|3aDUR|4BEXP|5FEWX|6RCR|9aTLV|aBPWR
