0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51232 33115	9	 * 	292.35	ACR|5VULN|3DMG|3DUR|1NUKE	12349VULN|5RCR|69aDUR|7NUKE|89aDMG|9aBPWR
2	51236 62132	4	 * 	286.04	DCR|5VULN|2DMG|2ASPD	1234aVULN|5TBNT|6RCR|7MLV|8aASPD|9aDMG|aBPWR
3	51236 61132	4	   	285.94	DCR|5VULN|2DMG|2ASPD	1234aVULN|5TBNT|6RCR|7ERES|8aASPD|9aDMG|aBPWR
4	53633 12313	9	 * 	284.19	DCR|4VULN|2DMG|3ASPD|1SELL	136aVULN|2LIT|49aASPD|5aDMG|7RCR|8SELL|aBPWR
5	53633 12323	8	 * 	284.19	DCR|4VULN|2DMG|3ASPD|1SELL	136aVULN|2LIT|49aASPD|5aDMG|7RCR|8SELL|aBPWR
6	53633 12113	9	 * 	283.83	DCR|4VULN|2ASPD|1DMG|2CDMG|2LIT	136aVULN|2aLIT|49ASPD|5DMG|7RCR|8aCDMG|aBPWR
7	53633 12123	8	   	283.83	DCR|4VULN|2ASPD|1DMG|2CDMG|2LIT	136aVULN|2aLIT|49ASPD|5DMG|7RCR|8aCDMG|aBPWR
8	51323 31312	10	 * 	283.33	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aCDMG
9	22335 62114	1	 * 	282.79	DCR|4VULN|2DMG|2TLV|2AART	17TLV|2BELT|38AART|4679VULN|57DMG|7BPWR|aRCR
10	53633 12413	7	   	281.46	DCR|4VULN|2DMG|2ASPD|2LIT	1368VULN|29LIT|48ASPD|58DMG|7RCR|8BPWR|aRCVC
11	53633 12411	7	   	281.36	DCR|4VULN|2DMG|2ASPD|2LIT	1368VULN|29LIT|48ASPD|58DMG|7RCR|8BPWR|aLEGI
12	53633 12412	7	   	281.36	DCR|4VULN|2DMG|2ASPD|2LIT	1368VULN|29LIT|48ASPD|58DMG|7RCR|8BPWR|aERES
13	53633 12333	9	   	281.21	DCR|4VULN|2DMG|2ASPD|2LIT|1SELL	136aVULN|29LIT|4aASPD|5aDMG|7RCR|8SELL|aBPWR
14	51233 23161	9	   	280.74	DCR|5VULN|2DMG|1TLV|1SELL	12347VULN|5SELL|69DMG|8TLV|aRCR
15	51233 23164	10	   	280.74	DCR|5VULN|2DMG|1TLV|1SELL	12347VULN|5SELL|69DMG|8TLV|aRCR
16	51221 27213	8	   	279.69	DCR|5VULN|2DMG|2LIT	1239aVULN|4CGEN|5aLIT|6MBVNT|7RCR|8aDMG|aBPWR
17	51231 34242	5	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	12347VULN|5RPLT|6RCR|8TLV|9DUR|aDMG
18	51232 33113	10	   	279.62	ACR|5VULN|2DMG|2DUR|1TLV|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aTLV
19	51323 31246	7	   	279.34	DCR|4VULN|2DUR|1TLV|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aTLV
20	51323 31346	8	   	279.34	DCR|4VULN|2DUR|1TLV|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aTLV
21	51232 33116	10	   	279.02	ACR|5VULN|3DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89aDMG|9BPWR
22	53633 12133	9	 * 	278.63	DCR|4VULN|3LIT|1DMG|2CDMG|1ASPD	136aVULN|29aLIT|4ASPD|5DMG|7RCR|8aCDMG|aBPWR
23	51323 31261	7	 * 	278.50	DCR|4VULN|2DUR|3LIT|1DMG	1278VULN|3LWND|479LIT|57DUR|6RCR|7BPWR|aDMG
24	51323 31361	8	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	1278VULN|3LWND|479LIT|57DUR|6RCR|7BPWR|aDMG
25	51216 36121	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1238VULN|4MLV|57DMG|6DUR|9RCR|aTLV
26	51226 33121	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1238VULN|4CGEN|57DMG|6DUR|9RCR|aTLV
27	53633 12215	7	   	276.81	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8DUR|aCDMG
28	51226 33124	10	 * 	276.02	DCR|4VULN|2DMG|2DUR	1238VULN|4CGEN|57DMG|6aDUR|9RCR
29	53633 12433	7	   	274.91	DCR|4VULN|2DMG|2ASPD	1368VULN|2LIT|48ASPD|58DMG|7RCR|8BPWR|9aRCVC
30	53633 12422	7	   	274.81	DCR|4VULN|2DMG|2ASPD	1368VULN|2LIT|48ASPD|58DMG|7RCR|8BPWR|9TBNT|aRMIN
31	53633 12431	7	   	274.81	DCR|4VULN|2DMG|2ASPD	1368VULN|2LIT|48ASPD|58DMG|7RCR|8BPWR|9RCVC|aLEGI
32	53633 12432	7	   	274.81	DCR|4VULN|2DMG|2ASPD	1368VULN|2LIT|48ASPD|58DMG|7RCR|8BPWR|9RCVC|aERES
33	53633 12423	7	   	274.71	DCR|4VULN|2DMG|2ASPD	1368VULN|2LIT|48ASPD|58DMG|7RCR|8BPWR|9TBNT|aERES
34	51234 32123	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1234VULN|5LWND|6aDUR|7TLV|8DMG|9RCR
35	53633 12421	7	   	274.56	DCR|4VULN|2DMG|2ASPD|1SELL	1368VULN|2LIT|48ASPD|58DMG|7RCR|8BPWR|9TBNT|aSELL
36	51231 34241	5	 * 	274.16	DCR|5VULN|2DUR|1TLV	12347VULN|5RPLT|6RCR|8TLV|9aDUR
37	51323 31316	10	 * 	273.39	DCR|4VULN|2DUR|2TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9aTLV
38	53213 14563	4	   	273.39	DCR|4VULN|2DUR|1DMG|2LIT	1789VULN|27LIT|3FEWX|4DMG|5MBVNT|67DUR|7BPWR|aRCR
39	51231 31145	5	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	12349VULN|5RPLT|6RCR|7AART|8DMG|aDUR
40	51231 31365	5	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	12348VULN|5RPLT|6RCR|7AART|9DMG|aDUR
41	41522 52333	3	   	273.04	DCR|5VULN|2DMG	1BEXP|25789VULN|35DMG|4BBNT|5BPWR|6LIT|aRCR
