0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23511 16154	5	 * 	296.45	DCR|3VULN|3DUR|1TLV|3ASPD|1DMG	17aDUR|2TLV|37aVULN|4LIT|5DMG|67aASPD|7aBPWR|8MBVNT|9RCR
2	25163 12133	10	 * 	293.79	DCR|4VULN|3DUR|3TLV|1DMG	159DUR|29aCGEN|3DMG|458aVULN|59aBPWR|6RCR|79aTLV
3	25163 12143	10	   	293.69	DCR|4VULN|3DUR|2TLV|1DMG	159DUR|2aCGEN|3DMG|458aVULN|5aBPWR|6RCR|7aTLV
4	25163 11352	9	 * 	291.81	DCR|3VULN|3DUR|2DMG|1TLV	158DUR|29CGEN|39DMG|459VULN|59BPWR|6RCR|7AART|aTLV
5	23543 11351	9	 * 	290.85	DCR|2VULN|3DMG|3DUR|2TLV	158DUR|29TLV|39VULN|459DMG|59BPWR|6RCR|7AART|aBEXP
6	23543 11351	10	   	290.85	DCR|2VULN|3DMG|3DUR|2TLV	158DUR|29TLV|39VULN|459DMG|59BPWR|6RCR|7AART|aBELT
7	23543 11352	9	   	290.85	DCR|2VULN|3DMG|3DUR|2TLV	158DUR|29TLV|39VULN|459DMG|59BPWR|6RCR|7AART|aLHND
8	23543 11352	10	   	290.85	DCR|2VULN|3DMG|3DUR|2TLV	158DUR|29TLV|39VULN|459DMG|59BPWR|6RCR|7AART|aLWND
9	23114 11353	10	   	290.75	DCR|2VULN|3DMG|3DUR|2TLV	148DUR|29TLV|39aDMG|59VULN|6RCR|7AART|9BPWR
10	25163 12133	9	 * 	290.23	DCR|3VULN|3DUR|2DMG|2TLV	159DUR|29CGEN|3aDMG|458VULN|59BPWR|6RCR|79TLV
11	25163 12136	10	   	290.23	DCR|3VULN|3DUR|2DMG|2TLV	159DUR|29CGEN|3aDMG|458VULN|59BPWR|6RCR|79TLV
12	23543 11235	8	   	290.05	DCR|2VULN|3DUR|2DMG|2TLV|2LIT	15aDUR|2aTLV|39VULN|45DMG|5aBPWR|6RCR|7AART|8aLIT
13	23124 33216	1	 * 	286.66	DCR|4VULN|3DUR|2DMG	157DUR|2457VULN|3RMIN|57BPWR|67DMG|8LHND|9AART|aRCR
14	41163 12136	10	 * 	285.46	DCR|5VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589aVULN|59BPWR|6RCR|79TLV
