0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35326 12511	8	 * 	277.67	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DUR|358aVULN|4DMG|6TLV|78CDMG|8BPWR|9RCR
2	13241 43332	4	 * 	273.94	DCR|5VULN|3DUR|2ASPD	1aASPD|2RPLT|3567aVULN|456DUR|56aBPWR|8aZMB|9RCR
3	13261 43332	3	   	273.94	DCR|5VULN|3DUR|2ASPD	1aASPD|2RPLT|3567aVULN|456DUR|56aBPWR|8aZMB|9RCR
4	32113 11344	10	 * 	273.61	DCR|3VULN|3DMG|1TLV|3LIT	1BEXP|29aVULN|3CGEN|4ERES|59aDMG|6TLV|7RCR|89aLIT|9aBPWR
5	32113 11346	9	   	273.61	DCR|3VULN|3DMG|1TLV|3LIT	1BEXP|29aVULN|3CGEN|4ERES|59aDMG|6TLV|7RCR|89aLIT|9aBPWR
6	42113 11344	10	   	273.51	DCR|3VULN|3DMG|1TLV|3LIT	1DUST|29aVULN|3CGEN|4ERES|59aDMG|6TLV|7RCR|89aLIT|9aBPWR
7	42113 11346	9	   	273.51	DCR|3VULN|3DMG|1TLV|3LIT	1DUST|29aVULN|3CGEN|4ERES|59aDMG|6TLV|7RCR|89aLIT|9aBPWR
8	35335 51331	10	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1BEXP|25DUR|3459VULN|5BPWR|6MBVNT|7RCR|8TLV|aDMG
9	13231 54135	8	 * 	271.17	DCR|4VULN|1TLV|3CDMG|3ASPD	189ASPD|2RPLT|3789VULN|4TLV|5LHND|689CDMG|89BPWR|aRCR
10	32362 33511	3	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|234aVULN|5DMG|6TLV|7CDMG|8DUR|9RCR
11	42362 33511	3	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|234aVULN|5DMG|6TLV|7CDMG|8DUR|9RCR
12	32362 15133	3	 * 	268.60	DCR|4VULN|2DMG|1TLV|1AART	17BEXP|2346VULN|56DMG|6BPWR|8RCR|9TLV|aAART
13	32342 13133	4	   	268.60	DCR|4VULN|2DMG|1TLV|1AART	14BEXP|2367VULN|56DMG|6BPWR|8RCR|9TLV|aAART
14	32662 13133	2	   	268.60	DCR|4VULN|2DMG|1TLV|1AART	13BEXP|2467VULN|56DMG|6BPWR|8RCR|9TLV|aAART
15	42162 13133	2	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	13DUST|2467VULN|56DMG|6BPWR|8RCR|9TLV|aAART
16	42332 13133	3	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	14DUST|2367VULN|56DMG|6BPWR|8RCR|9TLV|aAART
17	32362 15342	3	 * 	267.33	DCR|5VULN|2DMG|1DUR	17BEXP|2346aVULN|56DMG|6BPWR|8DUR|9RCR
18	32342 13342	4	   	267.33	DCR|5VULN|2DMG|1DUR	14BEXP|2367aVULN|56DMG|6BPWR|8DUR|9RCR
19	32662 13342	2	   	267.33	DCR|5VULN|2DMG|1DUR	13BEXP|2467aVULN|56DMG|6BPWR|8DUR|9RCR
20	32362 15136	3	   	267.25	DCR|4VULN|2DMG|1TLV	17BEXP|2346VULN|56DMG|6BPWR|8RCR|9TLV|aLIT
21	32342 13136	4	   	267.25	DCR|4VULN|2DMG|1TLV	14BEXP|2367VULN|56DMG|6BPWR|8RCR|9TLV|aLIT
22	32662 13136	2	   	267.25	DCR|4VULN|2DMG|1TLV	13BEXP|2467VULN|56DMG|6BPWR|8RCR|9TLV|aLIT
23	42162 13342	2	   	267.13	DCR|5VULN|2DMG|1DUR	13DUST|2467aVULN|56DMG|6BPWR|8DUR|9RCR
24	42332 13342	3	   	267.13	DCR|5VULN|2DMG|1DUR	14DUST|2367aVULN|56DMG|6BPWR|8DUR|9RCR
25	42162 13136	2	   	267.05	DCR|4VULN|2DMG|1TLV	13DUST|2467VULN|56DMG|6BPWR|8RCR|9TLV|aLIT
26	42332 13136	3	   	267.05	DCR|4VULN|2DMG|1TLV	14DUST|2367VULN|56DMG|6BPWR|8RCR|9TLV|aLIT
27	32362 15134	3	 * 	267.02	DCR|4VULN|2DMG|2TLV	17BEXP|2346VULN|56DMG|6BPWR|8RCR|9aTLV
28	32342 13134	4	   	267.02	DCR|4VULN|2DMG|2TLV	14BEXP|2367VULN|56DMG|6BPWR|8RCR|9aTLV
29	32662 13134	2	   	267.02	DCR|4VULN|2DMG|2TLV	13BEXP|2467VULN|56DMG|6BPWR|8RCR|9aTLV
30	42162 13134	2	   	266.82	DCR|4VULN|2DMG|2TLV	13DUST|2467VULN|56DMG|6BPWR|8RCR|9aTLV
31	42332 13134	3	   	266.82	DCR|4VULN|2DMG|2TLV	14DUST|2367VULN|56DMG|6BPWR|8RCR|9aTLV
32	35333 12511	8	   	265.91	DCR|4VULN|1TLV|2CDMG|1DUR	18BEXP|2DUR|348aVULN|5ASPD|6TLV|78CDMG|8BPWR|9RCR
33	45333 12511	8	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR	18DUST|2DUR|348aVULN|5ASPD|6TLV|78CDMG|8BPWR|9RCR
34	32362 13133	3	   	264.73	DCR|5VULN|2DMG|1CDMG	1BEXP|23467VULN|56DMG|6BPWR|8CDMG|9MLV|aRCR
35	32362 13153	3	   	264.73	DCR|5VULN|2DMG|1CDMG	1BEXP|23467VULN|56DMG|6BPWR|8CDMG|9LHND|aRCR
36	32362 33516	3	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1BEXP|234VULN|5DMG|6TLV|7CDMG|8aDUR|9RCR
37	32342 13346	4	 * 	264.64	DCR|4VULN|3DMG|1DUR	14BEXP|2367VULN|56aDMG|6BPWR|8DUR|9RCR
38	42362 13133	3	   	264.63	DCR|5VULN|2DMG|1CDMG	1DUST|23467VULN|56DMG|6BPWR|8CDMG|9MLV|aRCR
39	42362 13153	3	   	264.63	DCR|5VULN|2DMG|1CDMG	1DUST|23467VULN|56DMG|6BPWR|8CDMG|9LHND|aRCR
40	42332 13346	3	   	264.44	DCR|4VULN|3DMG|1DUR	14DUST|2367VULN|56aDMG|6BPWR|8DUR|9RCR
41	13231 22442	3	 * 	262.83	DCR|4VULN|3DUR|3ASPD	19aASPD|2RPLT|389aVULN|4TBNT|59aDUR|6BBNT|7RCR|9aBPWR
42	62121 41263	1	   	262.68	DCR|3VULN|2DMG|2TLV	17TLV|27DMG|3LIT|4MLV|579VULN|6RMIN|7BPWR|8ASPD|aRCR
43	35326 12512	8	 * 	262.66	DCR|3VULN|1TLV|3CDMG|1DMG|1DUR	18BEXP|2DUR|358VULN|4DMG|6TLV|78aCDMG|8BPWR|9RCR
44	62121 61163	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|26DMG|3LIT|4MLV|589VULN|7DUR|aRCR
45	35326 11336	9	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1BEXP|2DUR|359VULN|4aDMG|68TLV|7RCR
46	64312 12532	6	 * 	261.82	DCR|3VULN|3DMG|3TLV	179TLV|2aCGEN|37aDMG|4BEXP|5LWND|67aVULN|7aBPWR|8RCR
47	35335 51332	10	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	1BEXP|25DUR|3459VULN|5BPWR|6MBVNT|7RCR|8TLV|aAART
48	65433 32133	9	   	260.69	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART|1SELL	1aTLV|2SELL|3AART|4DUR|5aVULN|6ZMB|7RCR|8CDMG|9aDMG|aBPWR
49	35335 21432	10	   	260.43	DCR|4VULN|2DUR|1TLV	1BEXP|25DUR|3458VULN|5BPWR|6ASPD|7RPLT|9TLV|aRCR
50	35335 51332	9	   	260.33	DCR|4VULN|2DUR|1TLV	1BEXP|25DUR|3459VULN|5BPWR|6MBVNT|7RCR|8TLV|aLIT
51	32362 33614	3	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1BEXP|234VULN|5aDMG|6TLV|7CDMG|8LIT|9RCR
52	35333 12516	8	 * 	259.44	DCR|3VULN|2DUR|1TLV|2CDMG	18BEXP|2aDUR|348VULN|5ASPD|6TLV|78CDMG|8BPWR|9RCR
53	35335 33333	5	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|25DUR|345VULN|5BPWR|6RCR|7LWND|8LIT|9DMG|aTLV
54	32362 13246	3	   	259.39	DCR|5VULN|2DMG	1BEXP|23467VULN|56DMG|6BPWR|8ASPD|9ZMB|aRCR
55	45335 33333	5	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1DUST|25DUR|345VULN|5BPWR|6RCR|7LWND|8LIT|9DMG|aTLV
56	32362 13536	3	   	259.29	DCR|5VULN|2DMG|1NUKE	1BEXP|23467VULN|56DMG|6BPWR|8NUKE|9ASPD|aRCR
