0	Index      	 *	Score 	Summary	Detail	
1	52233 16131	 * 	283.98	橙3易伤1等级2攻速1矿等2全技能	1a烈焰减费28a易伤3矿等45全技能6等级7核9a攻速a序列升级
2	42322 63121	 * 	279.77	橙橙2易伤1伤害	1雷电2敌人爆炸3伤害47易伤5随机技能69核8暴雪减费a时间
3	44322 63121	   	279.67	橙橙2易伤1伤害	1雷电2挖尘3伤害47易伤5随机技能69核8暴雪减费a时间
4	52231 31541	 * 	278.97	橙橙2易伤1矿等	1烈焰减费2a易伤3矿等4全技能5技能点69核7赏金邻近8敌人爆炸
5	52234 31341	   	278.87	橙橙2易伤1矿等	1烈焰减费2a易伤3矿等4全技能5金币生成69核7赏金塔8挖尘
6	42322 61421	 * 	275.38	橙橙1易伤1等级1伤害	1雷电2敌人爆炸3伤害4易伤5随机技能69核7双倍秒伤8等级a挖尘
7	42322 61422	   	275.38	橙橙1易伤1等级1伤害1卖塔	1雷电2敌人爆炸3伤害4易伤5随机技能69核7双倍秒伤8等级a卖塔
8	42322 61423	   	275.38	橙橙1易伤1等级1伤害	1雷电2敌人爆炸3伤害4易伤5随机技能69核7双倍秒伤8等级a爆破对冰
9	52341 44218	 * 	274.48	橙4易伤1等级1矿等1攻速	16烈焰减费2346易伤5加一6序列升级7矿等8等级9攻速a核
10	42322 63122	   	271.46	橙橙2易伤1伤害	1雷电2敌人爆炸3伤害47易伤5随机技能69核8暴雪减费a低血量敌人
11	42322 63124	   	271.46	橙橙2易伤1伤害	1雷电2a敌人爆炸3伤害47易伤5随机技能69核8暴雪减费
12	42322 63126	   	271.46	橙橙2易伤1伤害	1雷电2敌人爆炸3伤害47易伤5随机技能69核8暴雪减费a赏金邻近
13	41232 63126	   	271.36	橙橙2易伤1伤害	1雷电2策反37易伤4挖尘5随机技能69核8暴雪减费a伤害
14	42322 63123	   	271.36	橙橙2易伤1伤害	1雷电2敌人爆炸3伤害47易伤5随机技能69核8暴雪减费a火球减费
15	44322 63122	   	271.36	橙橙2易伤1伤害	1雷电2挖尘3伤害47易伤5随机技能69核8暴雪减费a低血量敌人
16	44322 63123	   	271.26	橙橙2易伤1伤害	1雷电2挖尘3伤害47易伤5随机技能69核8暴雪减费a火球减费
17	52233 16132	 * 	270.01	橙2易伤2矿等1等级1攻速2全技能	1烈焰减费28易伤3a矿等45全技能6等级7核9攻速
18	52231 32131	 * 	269.62	橙3易伤2矿等2攻速	17a烈焰减费28a易伤37矿等4全技能57技能点6核7a序列升级9a攻速
19	52234 32131	   	269.62	橙3易伤2矿等2攻速	17a烈焰减费28a易伤37矿等4全技能57金币生成6核7a序列升级9a攻速
20	53212 26432	 * 	269.46	橙3易伤3矿等1技能1卖塔	17烈焰减费2敌人爆炸378矿等4卖塔567易伤7序列升级9技能a核
21	62223 13636	   	269.12	橙3易伤1等级2攻速1矿等	1技能点2金币生成3矿等458易伤67攻速9核a等级
22	41232 63125	   	267.55	橙橙2易伤1攻速	1雷电2策反37易伤4挖尘5随机技能69核8暴雪减费a攻速
23	12133 12265	   	266.04	橙橙1易伤1矿等	1多重对愈2随机技能3时间4全技能5随机矿69核7基地爆炸8矿等a易伤
24	32133 12265	   	266.04	橙橙1易伤1矿等	1导弹对黄2随机技能3时间4全技能5随机矿69核7基地爆炸8矿等a易伤
25	62223 13336	 * 	265.72	橙2易伤1等级2攻速1矿等1伤害	1技能点2金币生成3矿等45易伤67攻速8伤害9核a等级
26	52231 33131	 * 	265.48	橙4易伤2攻速1矿等	1a烈焰减费278a易伤3矿等4全技能5技能点6核9a攻速a序列升级
27	52234 33131	   	265.48	橙4易伤2攻速1矿等	1a烈焰减费278a易伤3矿等4全技能5金币生成6核9a攻速a序列升级
28	52323 53412	   	261.93	橙4易伤1等级1攻速1暴击	1烈焰减费2378易伤4暴击5挖尘6核9等级a攻速
29	62223 13631	   	261.21	橙3易伤2矿等2攻速	1技能点2金币生成3a矿等458易伤67攻速9核
