0	Index      	 *	Score 	Summary	Detail	
1	13632 35633	 * 	299.84	橙橙2易伤1等级1攻速	12易伤3攻速4低血量敌人5最后敌人6随机技能7等级8a核9金币生成
2	11252 35633	 * 	297.97	橙橙1易伤1等级1矿等1攻速	1易伤2矿等3等级4攻速5最后敌人6随机技能7技能点8a核9金币生成
3	32133 13636	 * 	292.98	橙橙3易伤1技能1卖塔	1卖塔25平台36a易伤4技能7全技能89核
4	32133 43636	 * 	292.98	橙橙3易伤1技能1卖塔	1卖塔25平台36a易伤4技能6序列升级7全技能89核
5	11313 48338	 * 	285.91	橙橙2易伤1矿等	13易伤2矿等4时间5加一6低血量敌人7a核8最后敌人9随机技能
6	11333 18338	   	285.91	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6时间7a核8最后敌人9随机技能
7	11311 68338	   	285.81	橙橙2易伤1矿等	13易伤2矿等4时间5挖尘6加一7a核8最后敌人9随机技能
8	11311 68438	   	285.81	橙橙2易伤1矿等	13易伤2矿等4时间5挖尘6加一7a核8低血量敌人9随机技能
9	11313 38338	   	285.81	橙橙2易伤1矿等	13易伤2矿等4时间5加一6挖尘7a核8最后敌人9随机技能
10	11313 38438	   	285.81	橙橙2易伤1矿等	13易伤2矿等4时间5加一6挖尘7a核8低血量敌人9随机技能
11	11313 48148	   	285.81	橙橙2易伤1矿等	13易伤2矿等4时间5加一6低血量敌人7a核8随机技能9基地爆炸
12	11333 18148	   	285.81	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6时间7a核8随机技能9基地爆炸
13	11363 18338	   	285.81	橙橙2易伤1矿等	13易伤2矿等4基地爆炸5加一6时间7a核8最后敌人9随机技能
14	11363 18438	   	285.81	橙橙2易伤1矿等	13易伤2矿等4基地爆炸5加一6时间7a核8低血量敌人9随机技能
15	11435 41323	 * 	285.15	橙3易伤2矿等2等级	19a易伤2a矿等3赏金邻近4敌人爆炸5低血量敌人6a等级7全技能8核a序列升级
16	11635 41323	   	285.15	橙3易伤2矿等2等级	19a易伤2a矿等3赏金塔4敌人爆炸5低血量敌人6a等级7全技能8核a序列升级
17	11451 41323	   	285.05	橙3易伤2矿等2等级	19a易伤2a矿等3赏金邻近4最后敌人5基地爆炸6a等级7全技能8核a序列升级
18	11461 41323	   	285.05	橙3易伤2矿等2等级	19a易伤2a矿等3赏金邻近4低血量敌人5基地爆炸6a等级7全技能8核a序列升级
19	11651 41323	   	285.05	橙3易伤2矿等2等级	19a易伤2a矿等3赏金塔4最后敌人5基地爆炸6a等级7全技能8核a序列升级
20	11661 41323	   	285.05	橙3易伤2矿等2等级	19a易伤2a矿等3赏金塔4低血量敌人5基地爆炸6a等级7全技能8核a序列升级
21	11253 56322	 * 	283.83	橙2易伤2矿等1等级1伤害1攻速	19易伤29矿等3等级4攻速5平台69敌人爆炸7核8全技能9序列升级a伤害
22	11515 31632	 * 	281.26	橙3矿等2易伤1等级2暴击1卖塔	17易伤245矿等34暴击4序列升级6赏金塔8卖塔9核a等级
23	11253 56323	   	277.94	橙2易伤2矿等2等级1攻速	19易伤29矿等3a等级4攻速5平台69敌人爆炸7核8全技能9序列升级
24	14123 15125	   	277.50	橙橙2易伤1技能1攻速	19易伤2基地爆炸3攻速4基础对冰5雷电6赏金塔7技能8a核
25	14123 35125	   	277.50	橙橙2易伤1技能1攻速	19易伤2基地爆炸3攻速4基础对冰5雷电6赏金邻近7技能8a核
26	23123 15125	   	277.50	橙橙2易伤1技能1攻速	1基地爆炸29易伤3攻速4基础对冰5雷电6赏金塔7技能8a核
27	23123 35125	   	277.50	橙橙2易伤1技能1攻速	1基地爆炸29易伤3攻速4基础对冰5雷电6赏金邻近7技能8a核
28	11333 48338	   	277.50	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6基地爆炸7a核8最后敌人9随机技能
29	11333 68338	   	277.50	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6挖青7a核8最后敌人9随机技能
30	11333 78338	   	277.50	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6挖尘7a核8最后敌人9随机技能
31	11333 68148	   	277.40	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6挖青7a核8随机技能9基地爆炸
32	11266 21135	   	276.69	橙2易伤2矿等1等级1技能1暴击	19易伤29矿等3等级4暴击5技能6核7随机矿89策反9序列升级a随机技能
33	11241 13563	 * 	273.68	橙4易伤1等级1矿等	1469易伤2矿等3等级5最后敌人7时间8核a随机技能
34	11213 12311	   	273.68	橙4易伤1等级1矿等	1789易伤2矿等3等级4随机技能5敌人爆炸6全技能a核
35	11515 23225	 * 	272.87	橙3易伤3矿等2暴击	179易伤245矿等34暴击49序列升级69烈焰减费89最后敌人a核
36	11511 61363	 * 	272.73	橙3易伤2矿等3暴击1攻速	17a易伤24矿等347暴击47序列升级5赏金塔67火球减费8核9攻速
37	11515 23125	   	272.67	橙3易伤3矿等2暴击	179易伤245矿等34暴击49序列升级69烈焰减费89基地爆炸a核
38	11515 23325	   	272.67	橙3易伤3矿等2暴击	179易伤245矿等34暴击49序列升级69烈焰减费89挖尘a核
39	11515 31124	 * 	271.70	橙3矿等2易伤3暴击1攻速	17易伤245矿等349暴击4序列升级6赏金塔8攻速a核
40	11232 61323	   	270.98	橙3易伤2矿等1等级	19a易伤2a矿等3等级4敌人爆炸5a最后敌人6赏金邻近7全技能8核a序列升级
41	11235 61323	   	270.98	橙3易伤2矿等1等级	19a易伤2a矿等3等级4敌人爆炸5a低血量敌人6赏金邻近7全技能8核a序列升级
42	32427 22226	 * 	270.92	橙2矿等2等级2伤害1易伤1卖塔	1卖塔2平台3加一4a伤害5a矿等6易伤7时间8核9a等级a序列升级
43	11312 46513	   	270.78	橙3易伤2矿等1等级	13a易伤27矿等4时间5最后敌人6随机矿8核9等级
44	11311 46513	   	270.68	橙3易伤2矿等1等级	13a易伤27矿等4时间5挖尘6随机矿8核9等级
45	12431 21632	   	270.67	橙橙2易伤1矿等	19易伤2金币生成3赏金塔4敌人爆炸5基地爆炸6a核7矿等8随机矿
46	12631 21632	   	270.67	橙橙2易伤1矿等	19易伤2金币生成3赏金邻近4敌人爆炸5基地爆炸6a核7矿等8随机矿
47	11354 43416	   	270.57	橙橙2易伤1矿等	13易伤2矿等4基础对愈5加一6金币生成7雷电8a核9赏金塔
48	23143 41353	 * 	270.14	橙2矿等1易伤1等级2攻速1伤害	1a基地爆炸2易伤3a攻速4全技能5伤害6等级7核8赏金邻近9a矿等a序列升级
49	11253 13612	 * 	270.04	橙2易伤2矿等1等级2攻速	1a易伤2a矿等3等级47攻速5平台6a金币生成8核9额外掉落a序列升级
