0	Index      	 *	Score 	Summary	Detail	
1	36312 21634	 * 	285.72	橙3易伤2矿等1等级1技能	18最后敌人2全技能3加一4等级58a易伤68矿等7技能8序列升级9核
2	36312 21635	   	279.83	橙2易伤2矿等1等级1技能1攻速	18最后敌人2全技能3加一4等级58易伤68矿等7技能8序列升级9核a攻速
3	36312 21631	 * 	277.76	橙2易伤2矿等2等级1技能	18最后敌人2全技能3加一4a等级58易伤68矿等7技能8序列升级9核
4	24323 61252	 * 	274.86	橙橙2矿等1等级	16矿等2平台3雷电4等级5敌人爆炸79核8基地爆炸a随机技能
5	21321 62441	 * 	272.04	橙3易伤3矿等3随机技能	189矿等2立即金币3低血量敌人489易伤5最后敌人6暴雪减费789随机技能89序列升级a核
6	22321 62441	   	272.04	橙3易伤3矿等3随机技能	189矿等2双倍矿3低血量敌人489易伤5最后敌人6暴雪减费789随机技能89序列升级a核
7	23232 42341	 * 	271.74	橙3易伤3矿等1伤害	136矿等237掉矿369序列升级49挖尘569易伤8核a伤害
8	23336 33424	 * 	270.99	橙3矿等2伤害1易伤1攻速2随机技能	158矿等2掉矿38随机技能4挖尘6易伤78伤害8序列升级9核a攻速
9	23232 45336	 * 	270.04	橙3矿等2易伤1等级	136矿等23掉矿36序列升级4挖尘56易伤7最后敌人8等级9时间a核
10	24333 61353	 * 	268.03	橙橙2矿等1易伤	16矿等2平台3雷电4随机矿5敌人爆炸79核8低血量敌人a易伤
11	24323 61251	   	267.93	橙橙2矿等1等级	16矿等2平台3雷电4等级5敌人爆炸79核8基地爆炸a金币生成
12	24323 61253	   	267.83	橙橙2矿等1等级	16矿等2平台3雷电4等级5敌人爆炸79核8基地爆炸a加一
13	21136 55123	   	267.32	橙橙1等级1矿等1技能	1矿等2立即金币3挖尘4双倍矿5等级6敌人爆炸79核8全技能a技能
14	22136 55123	   	267.32	橙橙1等级1矿等1技能	1矿等24双倍矿3挖尘5等级6敌人爆炸79核8全技能a技能
15	32233 14361	   	266.67	橙橙1易伤1矿等1攻速	12最后敌人3矿等4全技能5攻速6赏金塔78核9双倍秒伤a易伤
16	34233 14361	   	266.67	橙橙1易伤1矿等1攻速	12最后敌人2序列升级3矿等4全技能5攻速6赏金塔78核9双倍秒伤a易伤
17	23223 16515	   	265.43	橙3易伤3矿等1暴击	136矿等23掉矿3序列升级4暴击5赏金邻近789易伤a核
18	32233 14323	   	265.22	橙橙1矿等1技能1攻速1暴击	12最后敌人3矿等4全技能5攻速6赏金塔78核9暴击a技能
19	34233 14323	   	265.22	橙橙1矿等1技能1攻速1暴击	12最后敌人2序列升级3矿等4全技能5攻速6赏金塔78核9暴击a技能
20	36153 14323	   	265.12	橙橙1矿等1技能1攻速1暴击	1最后敌人2全技能3矿等4风暴减费5攻速6赏金塔78核9暴击a技能
21	21216 52411	 * 	264.57	橙3矿等3等级2伤害	138矿等2立即金币4随机矿589等级68伤害7赏金邻近8序列升级a核
22	22216 52411	   	264.57	橙3矿等3等级2伤害	138矿等2双倍矿4随机矿589等级68伤害7赏金邻近8序列升级a核
23	36312 21613	   	263.58	橙2易伤2矿等1等级1技能	18最后敌人2全技能3加一4等级58易伤68矿等7技能8序列升级9金币生成a核
24	36312 21632	   	263.58	橙2易伤2矿等1等级1技能	18最后敌人2全技能3加一4等级58易伤68矿等7技能8序列升级9核a赏金邻近
25	36312 21636	   	263.58	橙2易伤2矿等1等级1技能	18最后敌人2全技能3加一4等级58易伤68矿等7技能8序列升级9核a金币生成
26	36312 21637	   	263.58	橙2易伤2矿等1等级1技能	18a最后敌人2全技能3加一4等级58易伤68矿等7技能8序列升级9核
27	36312 21633	   	263.48	橙2易伤2矿等1等级1技能	18最后敌人2全技能3加一4等级58易伤68矿等7技能8序列升级9核a基地爆炸
28	36312 21683	   	263.48	橙2易伤2矿等1等级1技能	18最后敌人2全技能3加一4等级58易伤68矿等7技能8序列升级9掉矿a核
