0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23113 26642	6	 * 	301.06	橙4易伤3伤害3时间	1立即金币289a易伤3雷电489时间5额外掉落6核789伤害89序列升级
2	23113 26643	6	   	288.31	橙3易伤3伤害3时间	1立即金币289易伤3雷电489时间5额外掉落6核789伤害89序列升级a攻速
3	63211 51423	4	 * 	280.80	橙4易伤2等级2时间	1随机矿28等级3挖尘4589易伤6核78时间8序列升级a全技能
4	23113 26641	6	   	279.91	橙3易伤3伤害3时间	1立即金币289易伤3雷电489时间5额外掉落6核789伤害89序列升级a赏金塔
5	23131 55613	8	   	276.52	橙4易伤2等级3雷电1时间	1立即金币249a易伤34a雷电4a序列升级5掉矿6核7时间8a等级
6	23132 53366	7	 * 	273.70	橙5易伤2等级2雷电	1立即金币2489a易伤34雷电4a序列升级5a等级6核7a策反
7	23135 61262	6	   	273.70	橙5易伤2等级2雷电	1立即金币2459a易伤34雷电4a序列升级6a金币生成7核8a等级
8	23132 54362	6	   	273.50	橙5易伤2等级2雷电	1立即金币2489a易伤34雷电4a序列升级5a等级6核7a掉矿
9	23134 41262	4	   	273.50	橙5易伤2等级2雷电	1立即金币2459a易伤34雷电4a序列升级6a掉矿7核8a等级
10	23135 41262	5	   	273.50	橙5易伤2等级2雷电	1立即金币2459a易伤34雷电4a序列升级6a掉矿7核8a等级
11	63123 11224	2	 * 	272.56	橙3易伤3伤害2等级	1随机矿27等级3加一4平台578伤害679易伤7序列升级a核
12	63123 11262	2	   	272.56	橙3易伤3伤害2等级	1随机矿27等级3加一4平台578伤害67a易伤7序列升级9核
13	23132 55411	8	   	272.46	橙4易伤1等级1伤害1时间2雷电	1立即金币249a易伤34雷电4序列升级5等级6核7时间8伤害
14	63211 51421	4	   	271.14	橙4易伤2等级2时间	1随机矿28等级3挖尘4589易伤6核78时间8序列升级a低血量敌人
