0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11114 33535	4	 * 	269.15	橙5易伤2伤害1全技能	1a低血量敌人2攻速3479a易伤5全技能6a伤害8核a序列升级
2	12445 23311	10	 * 	264.96	橙4易伤2等级1时间	19低血量敌人2479易伤3雷电5策反6核89等级9序列升级a时间
3	25222 33422	4	 * 	263.57	橙4易伤2伤害2时间	1随机矿29伤害3459易伤6额外掉落7赏金邻近89时间9序列升级a核
4	35226 22143	4	 * 	261.17	橙3易伤2等级1伤害1暴击1核弹	1金币生成2核弹346易伤56等级6序列升级7攻速8暴击9核a伤害
5	12523 23151	10	   	260.75	橙4易伤1等级1时间1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a时间
6	12523 23154	9	   	260.75	橙4易伤1等级1时间1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a时间
7	12466 23311	10	   	260.06	橙3易伤2等级2攻速1时间	19低血量敌人279易伤3雷电45攻速6核89等级9序列升级a时间
8	12523 23153	7	   	259.76	橙3易伤1等级1伤害1时间1暴击1全技能	1低血量敌人234易伤5暴击6等级7全技能8时间9核a伤害
9	25161 23363	6	 * 	257.85	橙3易伤2伤害1等级2暴击	1随机矿24伤害34暴击4序列升级57a易伤6等级8基地爆炸9核
10	12522 14116	7	 * 	257.50	橙4易伤1等级1伤害1时间	1低血量敌人2346易伤5时间7伤害8最后敌人9等级a核
11	12522 14216	7	   	257.50	橙4易伤1等级1伤害1时间	1低血量敌人2346易伤5时间7伤害8敌人爆炸9等级a核
12	12522 14216	8	   	257.50	橙4易伤1等级1伤害1时间	1低血量敌人2346易伤5时间7伤害8最后敌人9等级a核
13	12522 14116	8	   	257.40	橙4易伤1等级1伤害1时间	1低血量敌人2346易伤5时间7伤害8挖尘9等级a核
14	22563 33143	1	   	257.26	橙4易伤1等级1伤害1时间1卖塔	1随机矿2469易伤3卖塔5时间7等级8核a伤害
15	51112 72724	8	   	257.09	橙4易伤2伤害1时间	18挖尘2攻速3468易伤5加一78伤害8序列升级9核a时间
16	24224 33612	5	   	256.45	橙4易伤2等级1时间	1随机矿2a掉矿349a易伤5金币生成6时间7a等级8核a序列升级
17	24224 33612	4	   	256.45	橙4易伤2等级1时间	1随机矿2a掉矿349a易伤5金币生成6时间7a等级8核a序列升级
18	35221 33612	4	   	256.45	橙4易伤2等级1时间1核弹	1a金币生成2核弹349a易伤5掉矿6时间7a等级8核a序列升级
19	45221 33612	4	   	256.45	橙4易伤2等级1时间1核弹	1a矿等2核弹349a易伤5掉矿6时间7a等级8核a序列升级
20	22563 33116	1	   	256.21	橙4易伤2等级1时间1卖塔	1随机矿246a易伤3卖塔5时间79等级8核
21	11115 51611	5	   	255.41	橙4易伤1等级1时间1全技能	1低血量敌人2攻速3479易伤5时间6等级8核a全技能
22	22563 33113	1	   	255.22	橙3易伤2等级1伤害1时间1卖塔	1随机矿246易伤3卖塔5时间79等级8核a伤害
23	21166 22314	10	   	255.16	橙4易伤2等级2雷电	12随机矿39雷电4挖尘579a易伤6核89等级9序列升级
24	23166 22314	10	   	255.16	橙4易伤2等级2雷电	1随机矿2双倍矿39雷电4挖尘579a易伤6核89等级9序列升级
25	12523 22512	6	   	254.80	橙4易伤1等级1伤害1暴击	1低血量敌人2348易伤5暴击6等级7赏金邻近9伤害a核
26	12523 12135	7	   	254.80	橙4易伤1等级1伤害1暴击	1低血量敌人2347易伤5暴击6挖尘8核9伤害a等级
27	52524 32112	3	   	254.70	橙4易伤1等级1伤害1暴击	1挖尘2357易伤4赏金塔6等级8暴击9伤害a核
