0	Index      	 *	Score 	Summary	Detail	
1	35223 43353	 * 	360.42	DCR|4VULN|1TLV|1DMG|1DUR	1FRZARM|2678VULN|3DUR|4DMG|5FEWX|9TLV|aRCR
2	34221 32626	 * 	359.44	DCR|DCR|2VULN|1CDMG|1DMG|1DUR	1FRZARM|2RPLT|3CGEN|45VULN|6DMG|7DUR|8CDMG|9aRCR
3	42211 32355	 * 	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUST|2VENICY|3DUR|4LEGI|57VULN|6ERES|8CDMG|9RCR|aMDPS
4	35123 11613	 * 	355.67	2MDPS|3VULN|1DUR	1FRZARM|246VULN|3LWND|5RAT|7DUR|8BASHEA|9aMDPS
5	35232 32436	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1FRZARM|28VULN|3DUR|4LWND|5MGNSTR|6RCR|7ERES|9DMG|aMDPS
6	35332 62123	   	344.99	DCR|2VULN|1MDPS|1DUR|1AART	14FRZARM|24VULN|3RCVC|4BPWR|5DUR|6AART|7LIT|8CGEN|9RCR|aMDPS
7	35332 63123	   	344.99	DCR|2VULN|1MDPS|1DUR|1AART	14FRZARM|24VULN|3RCVC|4BPWR|5DUR|6AART|7BOSS|8CGEN|9RCR|aMDPS
8	35212 62123	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4DMSP|6AART|7LIT|8CGEN|9RCR|aMDPS
9	35212 63123	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4DMSP|6AART|7BOSS|8CGEN|9RCR|aMDPS
10	35312 62123	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3RCVC|4DUR|6AART|7LIT|8CGEN|9RCR|aMDPS
11	35312 63123	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3RCVC|4DUR|6AART|7BOSS|8CGEN|9RCR|aMDPS
12	35113 53251	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|27VULN|3LWND|4AART|5DUR|6MLV|8RCR|9MDPS|aRPLT
13	35113 53252	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|27VULN|3LWND|4AART|5DUR|6MLV|8RCR|9MDPS|aAEPOI
14	35113 53253	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|27VULN|3LWND|4AART|5DUR|6MLV|8RCR|9MDPS|aLIT
15	35241 32233	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4ERES|6AETHUN|7AART|8RCR|9BOSS|aMDPS
16	35251 32233	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4AETHUN|6ERES|7AART|8RCR|9BOSS|aMDPS
17	35231 32251	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4LWND|6ERES|7AART|8RCR|9MDPS|aRPLT
