0	Index      	 *	Score 	Summary	Detail	
1	31333 46134	 * 	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2CDMG|3ASPD|4BEXP|56VULN|7RCR|8DUR|9RAT|aMDPS
2	33336 22335	 * 	374.54	DCR|2VULN|1MDPS|2TLV|1DUR	17TLV|2DUR|3RPLT|47VULN|5BELT|678RAT|7BPWR|9RCR|aMDPS
3	33336 22152	   	374.29	DCR|2VULN|1MDPS|2TLV|1DUR|1SELL	17TLV|2DUR|3RPLT|47VULN|5BELT|67RAT|7BPWR|8SELL|9RCR|aMDPS
4	44512 32123	 * 	373.78	DCR|5VULN|2DUR|1AART	1368aVULN|2AART|3BPWR|47DUR|5CGEN|9RCR
5	44513 32123	   	373.68	DCR|5VULN|2DUR|1AART	1368aVULN|2AART|3BPWR|47DUR|5ERES|9RCR
6	43243 51222	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	12VULN|2BPWR|3RAT|4LWND|5CDMG|6RCR|7AART|8TBNT|9DUR|aMDPS
7	35221 41621	   	370.80	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1TLV|2AART|348DUST|5DUR|6RCR|79VULN|aMDPS
8	44512 31123	   	361.23	DCR|5VULN|1DUR|1AART	1368aVULN|2AART|3BPWR|4DUR|5CGEN|7AEBURN|9RCR
9	44513 31123	   	361.13	DCR|5VULN|1DUR|1AART	1368aVULN|2AART|3BPWR|4DUR|5ERES|7AEBURN|9RCR
10	43243 12263	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	12VULN|2BPWR|3RAT|4LWND|5CDMG|6BEXP|7ASPD|8DUR|9RCR|aMDPS
11	41541 32121	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	14VULN|2BBNT|3AIRBOS|5DUR|6FEWX|7RCR|8LHND|9CDMG|aMDPS
12	46122 32411	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	16VULN|2DUR|3TBNT|4LWND|5AIRHEA|7RCR|8CDMG|9BEXP|aMDPS
13	46122 32431	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	16VULN|2DUR|3TBNT|4LWND|5AIRHEA|7RCR|8CDMG|9LHND|aMDPS
14	11544 32121	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1LHND|2BBNT|3BLAICY|46VULN|5DUR|7RCR|8LEGI|9CDMG|aMDPS
15	46122 32121	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	16VULN|2DUR|3TBNT|4LWND|5AIRHEA|7RCR|8LEGI|9CDMG|aMDPS
16	46122 32421	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	16VULN|2DUR|3TBNT|4LWND|5AIRHEA|7RCR|8CDMG|9LEGI|aMDPS
17	11544 32211	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2BBNT|3BLAICY|46VULN|5DUR|7RCR|8TLV|9BOSS|aMDPS
18	11544 32231	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2BBNT|3BLAICY|46VULN|5DUR|7RCR|8TLV|9LIT|aMDPS
19	33332 26331	   	357.25	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2DUR|3RPLT|48VULN|5BEXP|6ERES|7RCR|9MDPS|aDMG
20	33332 26332	 * 	357.25	DCR|2VULN|1MDPS|2DUR|1TLV	1TLV|2aDUR|3RPLT|48VULN|5BEXP|6ERES|7RCR|9MDPS
21	33332 26333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2DUR|3RPLT|48VULN|5BEXP|6ERES|7RCR|9MDPS|aCGEN
22	33332 26334	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2DUR|3RPLT|48VULN|5BEXP|6ERES|7RCR|9MDPS|aTSLARM
23	33332 26335	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2DUR|3RPLT|48VULN|5BEXP|6ERES|7RCR|9MDPS|aAEPOI
24	46122 32211	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	16VULN|2DUR|3TBNT|4LWND|5AIRHEA|7RCR|8TLV|9BOSS|aMDPS
25	46122 32231	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	16VULN|2DUR|3TBNT|4LWND|5AIRHEA|7RCR|8TLV|9LIT|aMDPS
