0	Index      	 *	Score 	Summary	Detail	
1	42314 63221	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1LWND|25VULN|3BEXP|4CDMG|6DUR|7ERES|8BELT|9RCR|aMDPS
2	25166 12113	 * 	355.47	2MDPS|3VULN|1DUR	1MLV|256VULN|3AETHUN|4SNIFST|7BBNT|8DUR|9aMDPS
3	35166 12113	   	355.37	2MDPS|3VULN|1DUR	1ERES|256VULN|3AETHUN|4SNIFST|7TBNT|8DUR|9aMDPS
4	13511 32215	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1AART|2LHND|3CGEN|4AAC|58VULN|6DUR|7FEWX|9RCR|aMDPS
5	13242 24215	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1AART|2LHND|3BEXP|48VULN|5DUR|6AME|7AAC|9RCR|aMDPS
6	21253 24215	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1MLV|2DUR|3LHND|4DUST|58VULN|6AART|7AAC|9RCR|aMDPS
7	61253 22215	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1RMIN|2DUR|3LHND|4DUST|58VULN|6AART|7AAC|9RCR|aMDPS
8	12433 32216	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1AART|27SPLJET|37VULN|4DUR|5BEXP|67AEPOI|7BPWR|8RCR|9CGEN|aMDPS
9	12433 32253	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1AART|27SPLJET|37VULN|4DUR|5BEXP|67AEPOI|7BPWR|8RCR|9RPLT|aMDPS
10	31253 24215	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1ERES|2DUR|3LHND|4DUST|58VULN|6AART|7AAC|9RCR|aMDPS
11	24242 33411	 * 	343.90	DCR|2VULN|1MDPS|2DUR	147MLV|2LIT|37DUR|5AAC|67VULN|7BPWR|8RCR|9RAT|aMDPS
12	24242 33432	   	343.80	DCR|2VULN|1MDPS|2DUR	147MLV|2LIT|37DUR|5AAC|67VULN|7BPWR|8RCR|9ERES|aMDPS
13	31336 47734	 * 	339.08	2MDPS|3VULN|1CDMG|1DUR	1ERES|2DUR|3MLV|4MBVNT|579VULN|6CDMG|8aMDPS
14	31336 47744	   	339.08	2MDPS|2VULN|1CDMG|1DUR	1ERES|2DUR|3MLV|4MBVNT|57VULN|6CDMG|8aMDPS|9AEFRZ
15	42414 22121	 * 	339.08	2MDPS|2VULN|1CDMG|2DUR|1TLV	1LWND|25VULN|38DUR|4CDMG|69MDPS|7ERES|aTLV
16	42414 22122	   	339.08	2MDPS|2VULN|1CDMG|2DUR	1LWND|25VULN|38DUR|4CDMG|69MDPS|7ERES|aBEXP
