0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45363 31223	10	 * 	284.75	橙3易伤3伤害1等级1时间2雷电	18雷电258伤害3等级4时间678易伤8序列升级9策反a核
2	62326 11212	10	 * 	275.40	橙2易伤3等级3时间1伤害	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9伤害a核
3	62326 11213	9	   	275.40	橙2易伤3等级3时间1伤害	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9伤害a核
4	53431 33632	9	 * 	271.62	橙3易伤2等级3时间	157时间2a掉矿3攻速45a易伤5a序列升级6随机矿8核9a等级
5	52324 13423	7	 * 	270.60	橙3易伤3时间2伤害2雷电	123时间29序列升级49雷电59伤害69a易伤7核8赏金塔
6	51431 23361	7	 * 	267.52	橙4易伤3时间1伤害	156时间2金币生成3攻速458a易伤5序列升级7伤害9核
7	51431 23631	8	   	267.52	橙4易伤3时间1伤害	156时间2金币生成3攻速459a易伤5序列升级7伤害8核
8	52366 11112	7	   	266.89	橙2易伤2等级3时间1伤害	123时间2序列升级4a等级5雷电68易伤7核9伤害
9	43226 21611	9	 * 	266.09	橙3易伤2时间1等级1伤害2雷电	19雷电2额外掉落39时间4伤害5低血量敌人679易伤8核9序列升级a等级
10	45363 31132	10	 * 	265.89	橙2易伤2伤害2时间1等级1暴击	1雷电25伤害3等级4a时间67易伤8暴击9核
11	52363 42331	7	 * 	265.25	橙4易伤3时间1等级	123时间2序列升级4等级5最后敌人689a易伤7核
12	41213 25423	4	 * 	264.26	紫5易伤3伤害3雷电1全技能	18a雷电2随机矿3核4689a易伤58a伤害7全技能8a序列升级
13	52311 36631	8	 * 	264.26	橙3易伤3时间1等级1伤害	123时间2序列升级4矿等5等级6伤害79a易伤8核
14	51431 23261	7	   	264.05	橙3易伤3时间2伤害	156时间2金币生成3攻速45a易伤5序列升级78伤害9核
15	52324 13116	7	   	263.95	橙3易伤3时间2伤害	123时间2序列升级4雷电59伤害68a易伤7核
16	52361 43131	8	   	263.21	橙3易伤2等级3时间	123时间2序列升级45等级6核79a易伤8最后敌人
17	52361 43231	8	   	263.21	橙3易伤2等级3时间	123时间2序列升级45等级6核79a易伤8低血量敌人
18	52361 43331	7	   	263.21	橙3易伤2等级3时间	123时间2序列升级45等级6核79a易伤8最后敌人
19	45233 13513	9	   	262.51	橙3易伤2伤害1等级2雷电1全技能	18雷电28伤害37随机矿4全技能568易伤8序列升级9等级a核
20	55231 12324	1	   	261.71	橙2易伤2等级2时间1伤害2攻速	19时间23等级49攻速5敌人爆炸6立即金币7伤害89易伤9序列升级a核
21	62331 42324	3	   	261.71	橙2易伤2等级2时间1伤害2攻速	1立即金币29等级36时间49攻速5敌人爆炸7伤害89易伤9序列升级a核
22	43226 21612	10	   	260.94	橙4易伤2时间1伤害2雷电	19雷电2额外掉落39时间4伤害5低血量敌人679a易伤8核9序列升级
23	22342 21316	9	   	259.44	橙3易伤2时间1等级1伤害	12低血量敌人25序列升级35时间457易伤6雷电8伤害9核a等级
24	22342 43316	9	   	259.44	橙3易伤2时间1等级1伤害	12低血量敌人25序列升级35时间456易伤7伤害8雷电9核a等级
25	32332 21316	9	   	259.44	橙3易伤2时间1等级1伤害	12敌人爆炸25序列升级35时间457易伤6雷电8伤害9核a等级
26	32332 43316	9	   	259.44	橙3易伤2时间1等级1伤害	12敌人爆炸25序列升级35时间456易伤7伤害8雷电9核a等级
27	52232 21316	9	   	259.24	橙3易伤2时间1等级1伤害	12时间25序列升级35挖尘457易伤6雷电8伤害9核a等级
28	52232 43316	9	   	259.24	橙3易伤2时间1等级1伤害	12时间25序列升级35挖尘456易伤7伤害8雷电9核a等级
29	55331 23361	7	   	259.21	橙4易伤3时间1伤害	156时间2策反3金币生成458a易伤5序列升级7伤害9核
30	55331 23631	8	   	259.21	橙4易伤3时间1伤害	156时间2策反3金币生成459a易伤5序列升级7伤害8核
31	53341 23361	7	   	259.11	橙4易伤3时间1伤害	156时间2掉矿3金币生成458a易伤5序列升级7伤害9核
32	53341 23631	8	   	259.11	橙4易伤3时间1伤害	156时间2掉矿3金币生成459a易伤5序列升级7伤害8核
33	52366 11132	10	 * 	258.58	橙2易伤2等级3时间3雷电	123时间2a序列升级4a等级59a雷电6a易伤7核8随机矿
34	52361 41111	9	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7伤害8金币生成9a易伤
35	52361 41111	10	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7伤害8金币生成9a易伤
36	52361 41221	9	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7伤害8a易伤9平台
37	52361 41221	8	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7伤害8a易伤9金币生成
38	52361 41311	10	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7伤害8策反9a易伤
39	52361 41311	9	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7伤害8策反9a易伤
40	52361 41321	7	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7伤害8a易伤9金币生成
41	52361 43221	7	   	258.58	橙2易伤2等级3时间1伤害	123时间2序列升级45等级6核7a易伤8伤害9金币生成
42	35221 22356	1	 * 	258.45	橙5易伤2等级	1敌人爆炸23等级45689易伤7掉矿a核
43	62325 22313	10	   	258.29	橙3易伤2等级2时间	1立即金币24等级34时间4序列升级5挖尘67a易伤8雷电9核
44	63233 21653	1	 * 	257.35	橙4易伤2伤害2雷电1全技能	1立即金币234a易伤3a序列升级5a雷电6全技能7a伤害8随机矿9核
45	52311 31611	9	 * 	257.16	橙2易伤3时间2伤害1等级	123时间2序列升级4矿等5等级67伤害8核9a易伤
46	52311 31611	10	   	257.16	橙2易伤3时间2伤害1等级	123时间2序列升级4矿等5等级67伤害8核9a易伤
47	52362 31611	9	   	257.16	橙2易伤3时间2伤害1等级	123时间2序列升级4等级5矿等67伤害8核9a易伤
48	52362 31611	10	   	257.16	橙2易伤3时间2伤害1等级	123时间2序列升级4等级5矿等67伤害8核9a易伤
49	55221 22336	1	   	256.35	橙4易伤2等级1时间	1时间23等级4568易伤7掉矿9平台a核
50	55331 23261	7	   	255.75	橙3易伤3时间2伤害	156时间2策反3金币生成45a易伤5序列升级78伤害9核
51	62321 22356	3	   	255.68	橙5易伤1等级1时间	1立即金币2等级3时间45689易伤7掉矿a核
52	63231 22356	1	   	255.68	橙5易伤1等级1时间	1立即金币23489易伤3序列升级5等级6时间7掉矿a核
53	52312 41243	8	   	255.65	橙3易伤3时间2伤害	123时间2序列升级4矿等568易伤7a伤害9核
54	52312 41253	9	   	255.65	橙3易伤3时间2伤害	123时间2序列升级4矿等568易伤7a伤害9核
55	52312 41343	7	   	255.65	橙3易伤3时间2伤害	123时间2序列升级4矿等568易伤7a伤害9核
56	52312 43243	8	   	255.65	橙3易伤3时间2伤害	123时间2序列升级4矿等567易伤8a伤害9核
57	52312 43253	9	   	255.65	橙3易伤3时间2伤害	123时间2序列升级4矿等567易伤8a伤害9核
58	53341 23261	7	   	255.65	橙3易伤3时间2伤害	156时间2掉矿3金币生成45a易伤5序列升级78伤害9核
59	25221 23541	1	 * 	255.37	橙3易伤2等级1伤害1时间	1低血量敌人23等级456易伤7挖尘8伤害9核a时间
60	62326 11222	10	   	255.33	橙2易伤3等级3时间	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9策反a核
61	62326 11223	9	   	255.33	橙2易伤3等级3时间	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9策反a核
62	62326 11233	8	   	255.33	橙2易伤3等级3时间	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9金币生成a核
63	62326 11241	10	   	255.33	橙2易伤3等级3时间	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9低血量敌人a核
64	62326 11253	8	   	255.33	橙2易伤3等级3时间	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9随机矿a核
65	41613 33214	1	   	255.26	橙4易伤2等级2雷电	1a雷电2基地爆炸358a易伤4金币生成6敌人爆炸7核9a等级a序列升级
66	62316 11251	8	   	255.23	橙2易伤2等级3时间	1立即金币28等级348时间5雷电6攻速78易伤8序列升级9核a加一
67	62316 11252	8	   	255.23	橙2易伤3等级3时间	1立即金币28a等级348时间5雷电6攻速78易伤8序列升级9核
68	62316 11253	8	   	255.23	橙2易伤2等级3时间	1立即金币28等级348时间5雷电6攻速78易伤8序列升级9核a掉矿
69	62326 11223	8	   	255.23	橙2易伤3等级3时间	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9掉矿a核
70	62326 11233	9	   	255.23	橙2易伤3等级3时间	1立即金币248等级348时间48序列升级5雷电6攻速78易伤9掉矿a核
71	42324 23236	4	 * 	254.85	紫4易伤2时间1等级2暴击2雷电	19雷电2核36时间4689易伤5平台69序列升级79暴击a等级
