0	Index      	 *	Score 	Summary	Detail	
1	26633 33214	 * 	407.75	DCR|3VULN|1MDPS|2DUR|1DMG	19DUR|29CGEN|3DMG|458VULN|6RCR|79BEXP|9BPWR|aMDPS
2	12321 36325	 * 	405.48	DCR|DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MULHEA|2DMG|3CDMG|4TBNT|5VULN|69RCR|7DUR|8FRZARM|aMDPS
3	62321 36325	   	405.48	DCR|DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1CANSTR|2DMG|3CDMG|4TBNT|5VULN|69RCR|7DUR|8FRZARM|aMDPS
4	21253 11213	 * 	390.78	ACR|3VULN|1MDPS|2TLV|2DUR	19DUR|2RCR|36LWND|489VULN|5RMIN|79TLV|9BPWR|aMDPS
5	21356 21213	   	390.68	ACR|3VULN|1MDPS|2TLV|2DUR	19DUR|2RCR|3RMIN|489VULN|5LHND|6AEWIND|79TLV|9BPWR|aMDPS
6	22463 35223	 * 	386.79	DCR|2VULN|1MDPS|2TLV|2DUR	17DUR|2LWND|39TLV|4CGEN|58VULN|6RCR|aMDPS
7	22443 35223	   	386.69	DCR|2VULN|1MDPS|2TLV|2DUR	17DUR|2LWND|39TLV|4ERES|58VULN|6RCR|aMDPS
8	26122 66213	 * 	383.51	DCR|2VULN|1MDPS|2CDMG|2DUR|1SELL	19DUR|29CGEN|3FEWX|48VULN|5SELL|6RCR|79CDMG|9BPWR|aMDPS
9	12231 63533	 * 	382.54	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9FEWX|aMDPS
10	12231 63553	   	382.54	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9LWND|aMDPS
11	62231 63533	   	382.54	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9FEWX|aMDPS
12	12231 63511	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aLHND
13	12231 63512	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aAME
