0	Index      	 *	Score 	Summary	Detail	
1	26342 12222	 * 	399.89	ACR|3VULN|1MDPS|3CDMG|2DUR	1RCR|248CDMG|348VULN|48BPWR|5RPLT|68DUR|7TBNT|9SPLREG|aMDPS
2	26312 51263	 * 	399.18	ACR|2MDPS|2VULN|1CDMG|1DUR	1RCR|2CDMG|36VULN|4FEWX|5LHND|7DUR|8aMDPS|9DUST
3	26362 51223	   	399.08	ACR|2MDPS|2VULN|1CDMG|1DUR	1RCR|2CDMG|36VULN|4DUST|5LHND|7DUR|8aMDPS|9LWND
4	11322 44532	 * 	387.34	DCR|3VULN|1MDPS|2DUR|1SELL	1SELL|27DUR|37FEWX|4LIT|5ERES|679VULN|7BPWR|8RCR|aMDPS
5	35311 35531	 * 	375.03	DCR|3VULN|1MDPS|1DUR	14CGEN|239VULN|5BEXP|6FEWX|7DUR|8RCR|aMDPS
6	35314 31631	   	374.93	DCR|3VULN|1MDPS|1DUR	14CGEN|235VULN|6LWND|7RCR|8DUR|9MDPS|aLHND
7	35314 31632	   	374.93	DCR|3VULN|1MDPS|1DUR	14CGEN|235VULN|6LWND|7RCR|8DUR|9MDPS|aZMB
8	35314 31633	   	374.93	DCR|3VULN|1MDPS|1DUR	14CGEN|235VULN|6LWND|7RCR|8DUR|9MDPS|aMBVNT
9	35312 41125	   	374.93	DCR|3VULN|1MDPS|1DUR	145CGEN|238VULN|6DUR|7RCR|9LSRHEA|aMDPS
10	35313 35531	   	374.93	DCR|3VULN|1MDPS|1DUR	14CGEN|239VULN|5DUST|6FEWX|7DUR|8RCR|aMDPS
11	35331 35531	   	374.93	DCR|3VULN|1MDPS|1DUR	1CGEN|239VULN|4AEFBLL|5BEXP|6FEWX|7DUR|8RCR|aMDPS
12	35334 31631	   	374.83	DCR|3VULN|1MDPS|1DUR	1CGEN|235VULN|4AEFBLL|6LWND|7RCR|8DUR|9MDPS|aLHND
13	35334 31632	   	374.83	DCR|3VULN|1MDPS|1DUR	1CGEN|235VULN|4AEFBLL|6LWND|7RCR|8DUR|9MDPS|aZMB
14	35334 31633	   	374.83	DCR|3VULN|1MDPS|1DUR	1CGEN|235VULN|4AEFBLL|6LWND|7RCR|8DUR|9MDPS|aMBVNT
15	35332 41125	   	374.83	DCR|3VULN|1MDPS|1DUR	15CGEN|238VULN|4AEFBLL|6DUR|7RCR|9LSRHEA|aMDPS
16	35333 35531	   	374.83	DCR|3VULN|1MDPS|1DUR	1CGEN|239VULN|4AEFBLL|5DUST|6FEWX|7DUR|8RCR|aMDPS
17	26345 22111	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8DMSP|9RPLT|aLHND
18	26345 22112	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8DMSP|9RPLT|aZMB
19	26345 22113	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8DMSP|9RPLT|aMBVNT
20	26345 22121	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8DMSP|9TBNT|aDUST
21	26345 22122	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8DMSP|9TBNT|aLHND
22	26345 22123	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8DMSP|9TBNT|aRAT
23	26345 22131	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8DMSP|9RCVC|aCGEN
24	26345 22132	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8aDMSP|9RCVC
25	26345 22133	 * 	374.69	ACR|4VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345aVULN|4BPWR|6DUR|7MDPS|8DMSP|9RCVC
26	26345 22211	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9BEXP|aRPLT
27	26345 22212	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR|1AART	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9BEXP|aAART
28	26345 22213	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9BEXP|aDUST
29	26345 22221	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9LWND|aRPLT
30	26345 22222	   	374.69	ACR|3VULN|1MDPS|2CDMG|2DUR	1RCR|24CDMG|345VULN|4BPWR|6aDUR|7MDPS|8ASPD|9LWND
31	26345 22223	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR|1AART	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9LWND|aAART
32	26345 22231	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9DMSP|aDMG
33	26345 22232	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9DMSP|aAEFBLL
34	26345 22233	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8ASPD|9DMSP|aFEWX
35	26345 22311	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8RAT|9BELT|aLHND
36	26345 22312	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8RAT|9BELT|aBEXP
37	26345 22313	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8RAT|9BELT|aLEGI
38	26345 22321	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8RAT|9LIT|aLHND
39	26345 22322	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8RAT|9aLIT
40	26345 22323	   	374.69	ACR|3VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|345VULN|4BPWR|6DUR|7MDPS|8RAT|9LIT|aDUST
41	26345 22331	   	374.69	ACR|4VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|3459VULN|4BPWR|6DUR|7MDPS|8RAT|aNUKE
42	26345 22332	 * 	374.69	ACR|5VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|3459aVULN|4BPWR|6DUR|7MDPS|8RAT
43	26345 22333	   	374.69	ACR|4VULN|1MDPS|2CDMG|1DUR	1RCR|24CDMG|3459VULN|4BPWR|6DUR|7MDPS|8RAT|aZMB
44	24515 11233	 * 	374.59	ACR|DCR|2VULN|3CDMG|2DMG|2DUR	1aRCR|27DUR|39VULN|47DMG|567CDMG|7BPWR|8FEWX
45	14262 51223	   	371.43	ACR|2MDPS|2VULN|1DUR|1SELL	1SELL|2RCR|36VULN|4DUST|5LHND|7DUR|8aMDPS|9LWND
