0	Index      	 *	Score 	Summary	Detail	
1	35521 36212	 * 	374.73	DCR|3VULN|1MDPS|1DUR	1AEFRZ|2DUR|368VULN|4DUST|5LIT|7TBNT|9RCR|aMDPS
2	12242 26252	   	364.96	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1DMSP|2BELT|3RMIN|49VULN|5AART|6RCR|7DMG|8DUR|aMDPS
3	32635 26132	 * 	359.34	2MDPS|2VULN|1CDMG|1DMG|1DUR	1AEFRZ|2CDMG|37VULN|4DMG|5DUR|6LIT|8RAT|9aMDPS
4	22526 12332	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2LIT|3ASPD|47VULN|5CDMG|6RPLT|8RCR|9DUR|aMDPS
5	26413 13235	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2LWND|3CDMG|49VULN|5BBNT|6RCR|7DUR|8VENICY|aMDPS
6	16412 23731	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1DMSP|23LHND|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFLTFST
7	16412 23732	   	358.01	DCR|2MDPS|1VULN|1DUR	1DMSP|23aLHND|4VULN|5DUR|6MBVNT|7RCR|89MDPS
8	16412 23733	   	358.01	DCR|2MDPS|1VULN|1DUR	1DMSP|23LHND|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFEWX
9	16412 23734	   	358.01	DCR|2MDPS|1VULN|1DUR	1DMSP|23LHND|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aLWND
10	51412 23731	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|2BPWR|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aLSRICY
11	51412 23732	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|2BPWR|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aLHND
12	51412 23733	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|2BPWR|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aTBNT
13	51412 23734	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|2BPWR|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aLIT
14	52412 23731	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aLSRICY
15	52412 23732	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aLHND
16	52412 23733	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aTBNT
17	52412 23734	   	358.01	DCR|2MDPS|1VULN|1DUR	12CGEN|3VULN|4RMIN|5DUR|6MBVNT|7RCR|89MDPS|aLIT
18	15112 23731	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFLTFST
19	15112 23732	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aLHND
20	15112 23733	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aTBNT
21	15112 23734	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aLIT
22	15112 23735	 * 	357.91	DCR|2MDPS|1VULN|2DUR	1DMSP|2BEXP|3AEPOI|4VULN|5aDUR|6MBVNT|7RCR|89MDPS
23	15112 23736	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aCGEN
24	15112 23737	   	357.91	DCR|2MDPS|1VULN|1DUR|1MSE	1DMSP|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aMSE
