0	Index      	 *	Score 	Summary	Detail	
1	23433 52331	 * 	427.24	DCR|3VULN|1MDPS|2CDMG|2DUR	14CDMG|2LEGI|34DUR|4BPWR|589VULN|6RCR|7BBNT|aMDPS
2	23433 62236	 * 	424.07	DCR|2MDPS|1VULN|2CDMG|2DUR	14CDMG|2LEGI|34DUR|4BPWR|5VULN|6AART|7AEWIND|8RCR|9aMDPS
3	25324 32236	   	411.72	DCR|2MDPS|1VULN|1CDMG|2AART	1CDMG|23AART|4LHND|5VULN|6RCVC|7DUR|8RCR|9aMDPS
4	25334 32236	   	411.72	DCR|2MDPS|1VULN|1CDMG|2AART	1CDMG|23AART|4LWND|5VULN|6RCVC|7DUR|8RCR|9aMDPS
5	55323 33341	 * 	411.68	DCR|2MDPS|2VULN	1BEXP|2DUR|3LWND|47VULN|5AETHUN|6RCR|89MDPS|aBBNT
6	55323 33342	   	411.68	DCR|2MDPS|2VULN	1BEXP|2DUR|3LWND|47VULN|5AETHUN|6RCR|89MDPS|aRAT
7	55323 33343	   	411.68	DCR|2MDPS|2VULN|1SELL	1BEXP|2DUR|3LWND|47VULN|5AETHUN|6RCR|89MDPS|aSELL
8	55123 33341	   	411.58	DCR|2MDPS|2VULN	1BEXP|2DUR|3DUST|47VULN|5AETHUN|6RCR|89MDPS|aBBNT
9	55123 33342	   	411.58	DCR|2MDPS|2VULN	1BEXP|2DUR|3DUST|47VULN|5AETHUN|6RCR|89MDPS|aRAT
10	55123 33343	   	411.58	DCR|2MDPS|2VULN|1SELL	1BEXP|2DUR|3DUST|47VULN|5AETHUN|6RCR|89MDPS|aSELL
11	25234 22236	   	411.52	DCR|2MDPS|1VULN|1CDMG|2AART	1CDMG|26AART|3DUST|4AEFRZ|5VULN|7DUR|8RCR|9aMDPS
12	24431 52331	   	402.23	DCR|3VULN|1MDPS|1CDMG	1CDMG|289VULN|3DUR|4LWND|5AEPOI|6RCR|7BBNT|aMDPS
13	24432 52331	   	402.23	DCR|3VULN|1MDPS|1CDMG	1CDMG|289VULN|3DUR|4LWND|5AEBURN|6RCR|7BBNT|aMDPS
14	23443 52331	   	402.13	DCR|3VULN|1MDPS|1CDMG	1CDMG|2LEGI|3DUR|4AEWIND|589VULN|6RCR|7BBNT|aMDPS
15	25234 32236	   	399.06	DCR|2MDPS|1VULN|1CDMG	1CDMG|2AART|3DUST|4AEFRZ|5VULN|6RCVC|7DUR|8RCR|9aMDPS
