0	Index      	 *	Score 	Summary	Detail	
1	31325 12364	 * 	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1LEGI|2CGEN|3LIT|4VULN|5CDMG|6DUR|7AETHUN|8RCR|9aMDPS
2	24111 31513	   	385.27	DCR|2MDPS|1VULN|1CDMG|1DUR|1SELL	1RAT|2DUR|3VULN|4SELL|5BOSS|6CDMG|7RCR|8aMDPS|9AEPOI
3	31141 12632	 * 	370.57	DCR|2MDPS|1VULN|2DUR	1LEGI|2CGEN|3AAC|4RPLT|56DUR|7VULN|8RCR|9aMDPS
4	31441 12632	   	370.47	DCR|2MDPS|1VULN|2DUR	1LEGI|2CGEN|3ASPD|4RPLT|56DUR|7VULN|8RCR|9aMDPS
5	21114 12346	 * 	364.81	ACR|2VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1RAT|2TLV|3DMG|4RCR|5CDMG|69VULN|7TBNT|8DUR|aMDPS
6	46221 53231	 * 	360.94	DCR|2MDPS|1CDMG|2DUR|1TLV	1BBNT|2TLV|3CDMG|47DUR|5RAT|6RCR|89MDPS|aAAC
7	46221 53232	   	360.94	DCR|2MDPS|1CDMG|2DUR|1TLV	1BBNT|2TLV|3CDMG|47DUR|5RAT|6RCR|89MDPS|aTBNT
8	46221 53233	   	360.94	DCR|2MDPS|1CDMG|2DUR|1TLV	1BBNT|2TLV|3CDMG|47DUR|5RAT|6RCR|89MDPS|aFRZFST
9	31141 22632	   	358.11	DCR|2MDPS|1VULN|1DUR	1LEGI|2CGEN|3AAC|4RPLT|5DUR|6RCVC|7VULN|8RCR|9aMDPS
10	31145 13632	   	358.01	DCR|2MDPS|1VULN|1DUR	1LEGI|2CGEN|3AAC|4RPLT|5VULN|6DUR|7AEPOI|8RCR|9aMDPS
11	31441 22632	   	358.01	DCR|2MDPS|1VULN|1DUR	1LEGI|2CGEN|3ASPD|4RPLT|5DUR|6RCVC|7VULN|8RCR|9aMDPS
12	24113 41251	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1RAT|2DUR|37VULN|4SELL|5TLV|6RCR|8LHND|9MDPS|aBBNT
13	24113 41252	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1RAT|2DUR|37VULN|4SELL|5TLV|6RCR|8LHND|9MDPS|aASPD
14	24113 41253	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1RAT|2DUR|37VULN|4SELL|5TLV|6RCR|8LHND|9MDPS|aERES
