0	Index      	 *	Score 	Summary	Detail	
1	22236 16213	 * 	381.00	DCR|4VULN|2TLV|3DUR|1SELL	1SELL|278aVULN|3AME|468DUR|58TLV|8BPWR|9RCR
2	31254 11321	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1ASPD|245VULN|34MLV|4BPWR|6RCR|7FRZICY|8RCVC|9DUR|aMDPS
3	31554 11321	   	375.03	DCR|3VULN|1MDPS|1DUR	1ASPD|245VULN|34CGEN|4BPWR|6RCR|7FRZICY|8RCVC|9DUR|aMDPS
4	31214 11321	   	374.93	DCR|3VULN|1MDPS|1DUR	1ASPD|245VULN|3MLV|6RCR|7FRZICY|8RCVC|9DUR|aMDPS
5	31314 11321	   	374.93	DCR|3VULN|1MDPS|1DUR	1ASPD|235VULN|4MLV|6RCR|7FRZICY|8RCVC|9DUR|aMDPS
6	31354 11321	   	374.93	DCR|3VULN|1MDPS|1DUR	1ASPD|235VULN|4CGEN|6RCR|7FRZICY|8RCVC|9DUR|aMDPS
7	31514 11321	   	374.93	DCR|3VULN|1MDPS|1DUR	1ASPD|245VULN|3CGEN|6RCR|7FRZICY|8RCVC|9DUR|aMDPS
8	31214 12624	   	374.83	DCR|3VULN|1MDPS|1DUR	1ASPD|245VULN|3MLV|6RCR|7LIT|8AEPOI|9DUR|aMDPS
9	31314 12624	   	374.83	DCR|3VULN|1MDPS|1DUR	1ASPD|235VULN|4MLV|6RCR|7LIT|8AEPOI|9DUR|aMDPS
10	31212 36624	   	374.83	DCR|3VULN|1MDPS|1DUR	1ASPD|247VULN|3MLV|5LIT|6RCR|8AEPOI|9DUR|aMDPS
11	31312 36624	   	374.83	DCR|3VULN|1MDPS|1DUR	1ASPD|237VULN|4MLV|5LIT|6RCR|8AEPOI|9DUR|aMDPS
12	31342 26143	   	374.73	DCR|3VULN|1MDPS|1DUR	149ASPD|239VULN|5DUR|6CGEN|7RCR|89ERES|9BPWR|aMDPS
13	13435 33326	 * 	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1DUST|2AART|3TLV|46VULN|5BEXP|7DUR|8RCR|9BBNT|aMDPS
14	51636 33231	 * 	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	1BOSS|2DUR|34DMG|59VULN|6RCR|7AIRARM|8LIT|aMDPS
15	51616 33231	 * 	363.66	DCR|2VULN|1MDPS|2DUR|1DMG	1BOSS|24DUR|3DMG|59VULN|6RCR|7AIRARM|8LIT|aMDPS
16	26311 35316	 * 	357.72	ACR|DCR|1MDPS|1VULN|2CDMG|1DUR|1SELL	1SELL|28RCR|3ZMB|4TBNT|56CDMG|7VULN|9DUR|aMDPS
17	22231 15631	 * 	357.67	DCR|2MDPS|1VULN|1DUR|1SELL	1SELL|2VULN|3AME|4DUR|5LWND|6FLTHEA|7RCR|8aMDPS|9BELT
18	22231 15661	 * 	357.67	DCR|2MDPS|1VULN|1DUR|1SELL	1SELL|2VULN|3AME|4DUR|5LWND|6FLTHEA|7RCR|89MDPS|aRAT
19	22231 15662	 * 	357.67	DCR|2MDPS|1VULN|1DUR|1SELL	1SELL|2VULN|3AME|4DUR|5LWND|6FLTHEA|7RCR|89MDPS|aTBNT
20	22231 15663	 * 	357.67	DCR|2MDPS|1VULN|1DUR|1SELL	1SELL|2VULN|3AME|4DUR|5LWND|6FLTHEA|7RCR|89MDPS|aFEWX
21	22231 55631	 * 	357.67	DCR|2MDPS|1VULN|1DUR|1SELL	1SELL|2VULN|3AME|4DUR|5LWND|6BLAICY|7RCR|8aMDPS|9BELT
22	51343 36222	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1BOSS|2DUR|3DMSP|47VULN|5MLV|6RCR|8LHND|9TLV|aMDPS
23	51111 23246	   	357.35	DCR|2VULN|1MDPS|2DUR|1AART	1BOSS|26DUR|36VULN|4AART|5LEGI|6BPWR|7FEWX|8RCR|9LIT|aMDPS
24	52111 11261	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BOSS|2TLV|3FEWX|4DUR|5BBNT|6LIT|79VULN|8RCR|aMDPS
25	52114 11261	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BOSS|2TLV|3FEWX|4DUR|5TBNT|6LIT|79VULN|8RCR|aMDPS
26	52311 11261	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BOSS|2TLV|3BEXP|4DUR|5BBNT|6LIT|79VULN|8RCR|aMDPS
27	52314 11261	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BOSS|2TLV|3BEXP|4DUR|5TBNT|6LIT|79VULN|8RCR|aMDPS
28	52411 11261	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BOSS|2TLV|3LWND|4DUR|5BBNT|6LIT|79VULN|8RCR|aMDPS
29	51162 33521	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BOSS|2DUR|35VULN|4BLASTR|6BBNT|7TLV|8RPLT|9RCR|aMDPS
30	62633 62313	 * 	354.00	4VULN|1MDPS|1TLV|1DUR|1AART	1CGEN|2AART|3LHND|4689VULN|5TLV|7DUR|aMDPS
31	51112 33246	 * 	352.91	DCR|4VULN|2DUR|2AART	1BOSS|28DUR|3789VULN|45AART|68ZMB|8BPWR|aRCR
32	51533 13261	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|3CGEN|4DMG|5BEXP|6RCVC|79VULN|8RCR|aMDPS
33	51313 36361	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|3DMSP|4ERES|5DMG|6RCR|79VULN|8LWND|aMDPS
34	51345 32131	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|3DMSP|45VULN|6RCR|7RAT|8DMG|9BASICY|aMDPS
35	53312 43261	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2BEXP|3DMSP|4ERES|5DUR|6DMG|79VULN|8RCR|aMDPS
36	16312 43261	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1DUST|2LIT|3DMSP|4ERES|5DUR|6DMG|79VULN|8RCR|aMDPS
37	51123 36111	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9ERES|aAETHUN
38	51123 36112	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9ERES|aFEWX
39	51123 36113	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9ERES|aBBNT
40	51123 36114	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9ERES|aRPLT
41	51123 36115	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9ERES|aBLASTR
42	51123 36116	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9ERES|aMGNBOS
43	51123 36121	 * 	351.11	DCR|2VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9CDMG|aTLV
44	51123 36122	   	351.11	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9CDMG|aTBNT
45	51123 36123	 * 	351.11	DCR|2VULN|1MDPS|1CDMG|2DUR|1DMG	1BOSS|2aDUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9CDMG
46	51123 36124	   	351.11	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9CDMG|aFEWX
47	51123 36125	   	351.11	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9CDMG|aLWND
48	51123 36126	   	351.11	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9CDMG|aRMIN
49	51123 36131	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9LWND|aRPLT
50	51123 36132	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9LWND|aCGEN
51	51123 36133	 * 	351.11	DCR|3VULN|1MDPS|2DUR|1DMG	1BOSS|2aDUR|37aVULN|4BEXP|5DMG|6RCR|8MDPS|9aLWND|aBPWR
52	51123 36134	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9LWND|aZMB
53	51123 36135	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9LWND|aDUST
54	51123 36136	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9LWND|aLEGI
55	51123 36141	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9AAC|aAETHUN
56	51123 36142	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9AAC|aFEWX
57	51123 36143	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9AAC|aBBNT
58	51123 36151	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9FRZICY|aTBNT
59	51123 36152	   	351.11	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1BOSS|2DUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9FRZICY|aCDMG
60	51123 36153	   	351.11	DCR|2VULN|1MDPS|2DUR|1DMG	1BOSS|2aDUR|37VULN|4BEXP|5DMG|6RCR|8MDPS|9FRZICY
