0	Index      	 *	Score 	Summary	Detail	
1	13231 34652	 * 	401.03	DCR|3VULN|1MDPS|1TLV|1DUR	135VULN|2CGEN|4DUST|6TLV|7DUR|8AETHUN|9RCR|aMDPS
2	51623 41233	   	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	1FRZARM|239VULN|4DUR|5BOSS|6RCR|7MLV|8DMG|aMDPS
3	12122 31213	 * 	374.98	DCR|5VULN|1CDMG|1DUR	1357aVULN|2AEPOI|4RCVC|6CDMG|8RCR|9DUR
4	51626 23122	   	374.93	DCR|3VULN|1MDPS|1DUR	1FRZARM|237VULN|4DUR|5BEXP|6LHND|8BBNT|9RCR|aMDPS
5	51626 23322	   	374.93	DCR|3VULN|1MDPS|1DUR	1FRZARM|237VULN|4DUR|5BEXP|6LHND|8TBNT|9RCR|aMDPS
6	11223 36652	   	374.93	DCR|3VULN|1MDPS|1DUR	157VULN|2LWND|3MLV|4DUR|6ERES|8FEWX|9RCR|aMDPS
7	13322 61221	 * 	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	15VULN|2CGEN|3ERES|4AART|6RPLT|7CDMG|8DUR|9RCR|aMDPS
8	36122 61221	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1ERES|25VULN|3RMIN|4AART|6RPLT|7CDMG|8DUR|9RCR|aMDPS
9	36222 61221	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1ERES|23VULN|4AART|5CGEN|6RPLT|7CDMG|8DUR|9RCR|aMDPS
10	16322 61221	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	15VULN|2AME|3ERES|4AART|6RPLT|7CDMG|8DUR|9RCR|aMDPS
11	36224 61221	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1ERES|23VULN|4AART|5AME|6RPLT|7CDMG|8DUR|9RCR|aMDPS
