0	Index      	 *	Score 	Summary	Detail	
1	13444 23212	 * 	385.23	ACR|2MDPS|2VULN|1DUR|1AART	1RCR|2AART|3ASPD|45VULN|6DUR|7aMDPS|8LWND|9FEWX
2	11322 13161	 * 	384.23	ACR|2MDPS|2VULN|2DUR	1RCR|2CGEN|36VULN|46DUR|5RMIN|6BPWR|7aMDPS|8ERES|9MLV
3	11322 13651	   	384.23	ACR|2MDPS|2VULN|2DUR	1RCR|2CGEN|36VULN|46DUR|5RMIN|6BPWR|7aMDPS|8DUST|9RCVC
4	11322 13661	   	384.23	ACR|2MDPS|2VULN|2DUR	1RCR|2CGEN|36VULN|46DUR|59RMIN|6BPWR|7aMDPS|8DUST
5	11326 13553	 * 	384.23	ACR|2MDPS|2VULN|3DUR	1RCR|2CGEN|36VULN|469DUR|5AAC|6BPWR|7aMDPS|8RAT
6	15412 32211	 * 	371.52	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6TLV|7CDMG|89MDPS|aBEXP
7	15412 32212	   	371.52	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6TLV|7CDMG|89MDPS|aAAC
8	15412 32213	   	371.52	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6TLV|7CDMG|89MDPS|aASPD
9	15412 32214	   	371.52	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6TLV|7CDMG|89MDPS|aFEWX
10	15412 32215	 * 	371.52	ACR|2MDPS|1VULN|2CDMG|1TLV|1DUR	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6TLV|7aCDMG|89MDPS
11	15412 32216	   	371.52	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6TLV|7CDMG|89MDPS|aMLV
12	15432 22322	 * 	368.12	ACR|2MDPS|1VULN|3DUR|1TLV	1RCR|2AEFBLL|347DUR|5VULN|6TLV|8aMDPS|9RAT
13	11322 63361	 * 	367.92	ACR|3MDPS|1VULN|1DUR	1RCR|2CGEN|3VULN|4DUR|5RMIN|6ERES|78aMDPS|9MLV
14	11324 24261	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|28CGEN|3VULN|4DUR|57aMDPS|6MSE|9MLV
