0	Index      	 *	Score 	Summary	Detail	
1	63222 66123	 * 	294.13	DCR|DCR|2VULN|2MLV	1LWND|2TBNT|35MLV|4aVULN|69RCR|7FEWX|8BEXP
2	22172 43438	 * 	290.90	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MBVNT|2VULN|3AAC|4MLV|5AETHUN|6TLV|7TBNT|8MSLREG|9aRCR
3	22172 82438	   	290.90	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MBVNT|2VULN|3AAC|4MLV|5AETHUN|6TBNT|7LSRHEA|8TLV|9aRCR
4	22317 82311	 * 	290.87	DCR|3VULN|2MLV|1TLV|1AAC|1CDMG	1MBVNT|278VULN|38AEWIND|4TLV|5CDMG|68MLV|8BPWR|9AAC|aRCR
5	21774 74233	 * 	290.16	DCR|DCR|3VULN|1MLV	1MBVNT|2ERES|389VULN|4MLV|5MDPS|6aRCR|7MULARM
6	31313 23552	   	289.74	DCR|DCR|2MLV|1VULN|1CDMG|1SELL	1LIT|2TBNT|3DUR|4VULN|5CDMG|6SELL|78MLV|9aRCR
7	35115 63312	 * 	288.07	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2LWND|3MDPS|49DMG|5VULN|6DUR|7aRCR|8MLV
8	36111 63312	   	287.97	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2VULN|3MDPS|49DMG|5LEGI|6DUR|7aRCR|8MLV
9	36211 43312	   	287.97	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2VULN|3DUR|4LEGI|59DMG|6MDPS|7aRCR|8MLV
10	36261 43312	   	287.97	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2VULN|3DUR|4BEXP|59DMG|6MDPS|7aRCR|8MLV
11	43525 33332	 * 	287.79	DCR|DCR|2MLV|1VULN|1DMG	1DMG|2DUST|3LIT|4MDPS|5VULN|6BEXP|7aRCR|89MLV
