0	Index      	 *	Score 	Summary	Detail	
1	21263 32651	 * 	296.62	DCR|DCR|2VULN|1TLV|1DMG	19VULN|2DMG|38LHND|4TLV|5BELT|6AEWIND|7aRCR
2	23262 62311	 * 	293.64	DCR|3VULN|2MLV|2TLV|1AAC	16aVULN|2aMLV|3LHND|46TLV|5BELT|6aBPWR|7RCR|8aAEFRZ|9AAC
3	23535 31612	 * 	293.03	ACR|DCR|2MLV|1VULN|1TLV|1ASPD|2DUR	1VULN|25MLV|39RCR|47DUR|6ASPD|8TLV|aLWND
4	23535 31613	   	293.03	ACR|DCR|2MLV|1VULN|1TLV|1ASPD|2DUR	1VULN|25MLV|39RCR|47DUR|6ASPD|8TLV|aLIT
5	23535 31611	   	292.93	ACR|DCR|2MLV|1VULN|1TLV|1ASPD|2DUR	1VULN|25MLV|39RCR|47DUR|6ASPD|8TLV|aAEFBLL
6	22263 32651	   	292.81	DCR|DCR|2VULN|1TLV|1ASPD	19VULN|2ASPD|38LHND|4TLV|5BELT|6AEWIND|7aRCR
7	11511 52211	 * 	292.25	ACR|DCR|2MLV|2TLV|1VULN|1ASPD	16MLV|2LHND|39RCR|4ASPD|5DUST|78TLV|aVULN
8	16511 52211	   	292.25	ACR|DCR|2MLV|2TLV|1VULN|1ASPD	16MLV|2LWND|39RCR|4ASPD|5DUST|78TLV|aVULN
9	43513 52211	   	292.25	ACR|DCR|2MLV|2TLV|1VULN|1ASPD	1BEXP|26MLV|39RCR|4ASPD|5LHND|78TLV|aVULN
10	43511 52211	   	292.15	ACR|DCR|2MLV|2TLV|1VULN|1ASPD	1BEXP|26MLV|39RCR|4ASPD|5DUST|78TLV|aVULN
11	21233 32651	 * 	290.73	DCR|DCR|2VULN|1MLV|1DMG	19VULN|2DMG|38LHND|4MLV|5BELT|6AEWIND|7aRCR
12	23243 32621	   	287.56	DCR|DCR|2VULN|1MLV|1AAC	19VULN|2MLV|38LHND|4AAC|5BELT|6AEWIND|7aRCR
13	22233 32651	   	286.92	DCR|DCR|2VULN|1MLV|1ASPD	19VULN|2ASPD|38LHND|4MLV|5BELT|6AEWIND|7aRCR
14	23525 33115	   	286.38	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4FEWX|6ASPD|7TLV|8AEBURN|aAART
15	23511 53115	   	286.28	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|26MLV|39RCR|4ASPD|5DUST|7TLV|8AEBURN|aAART
16	23322 11116	 * 	284.09	DCR|3MLV|2VULN|2DMG|1AAC	1aVULN|27aMLV|3RPLT|4RCVC|5aDMG|6TBNT|8RCR|9AAC|aBPWR
17	11323 42213	 * 	283.09	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3TLV|4BBNT|5CGEN|6FRZICY|7aRCR|8VULN|9DUR
18	11335 22213	   	283.09	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3TLV|4AME|5FRZARM|6TBNT|7aRCR|8VULN|9DUR
19	11323 22213	   	282.99	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3TLV|4BBNT|5CGEN|6MULHEA|7aRCR|8VULN|9DUR
20	11324 12213	   	282.99	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3TLV|4BBNT|5SNIFST|6AME|7aRCR|8VULN|9DUR
21	21412 42116	 * 	281.00	DCR|3VULN|2TLV|2DMG|1AAC	14aVULN|2aDMG|3TBNT|5RCVC|6aTLV|7RPLT|8RCR|9AAC|aBPWR
