0	Index      	 *	Score 	Summary	Detail	
1	32161 13322	 * 	314.99	DCR|3VULN|3MLV|2TLV|1AAC|1SELL	14aMLV|25aVULN|3SELL|6RCR|7BELT|8AAC|9aTLV|aBPWR
2	33121 35361	 * 	306.51	DCR|3VULN|3MLV|2TLV|1SELL	149MLV|24LWND|3SELL|49BPWR|589VULN|69TLV|7AART|aRCR
3	33121 24345	 * 	304.98	DCR|DCR|3MLV|1VULN|1CDMG|1SELL	147MLV|24LWND|3SELL|4BPWR|5VULN|6BASICY|89RCR|aCDMG
4	32246 31633	 * 	302.44	DCR|DCR|2VULN|2MLV	18MLV|25VULN|3DUR|4DUST|6aRCR|7ZMB|9FEWX
5	32551 13363	 * 	300.12	DCR|DCR|2MLV|1VULN|1TLV	15MLV|2VULN|3RCVC|46BELT|79RCR|8TLV|aCGEN
6	32551 13361	   	300.02	DCR|DCR|2MLV|1VULN|1TLV	15MLV|2VULN|3RCVC|46BELT|79RCR|8TLV|aBEXP
7	32551 13362	   	300.02	DCR|DCR|2MLV|1VULN|1TLV	15MLV|2VULN|3RCVC|46BELT|79RCR|8TLV|aMDPS
8	33121 24343	 * 	298.26	DCR|DCR|3MLV|1VULN|1SELL	147MLV|24LWND|3SELL|4BPWR|5VULN|6BASICY|89RCR|aRAT
9	32124 24343	 * 	298.16	DCR|DCR|3MLV|1VULN|1SELL	157MLV|2VULN|3SELL|4LWND|6BASICY|89RCR|aRAT
10	32162 65232	 * 	295.89	DCR|3VULN|3MLV|3ASPD|1SELL	147MLV|278VULN|3SELL|5BBNT|679ASPD|7BPWR|aRCR
11	32351 32346	   	294.60	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2VULN|3ERES|4TLV|5MDPS|6LSRREG|7CDMG|89RCR|aRAT
12	32536 31633	   	294.13	DCR|DCR|2VULN|2MLV	18MLV|25VULN|3RCVC|4MDPS|6aRCR|7ZMB|9FEWX
13	33121 24342	 * 	291.32	DCR|DCR|3MLV|1VULN|1SELL	147MLV|24LWND|3SELL|4BPWR|5VULN|6BASICY|89RCR|aLIT
14	33121 24346	 * 	291.32	DCR|DCR|3MLV|1VULN|1SELL	147MLV|24LWND|3SELL|4BPWR|5VULN|6BASICY|89RCR|aBBNT
15	32124 24342	 * 	291.22	DCR|DCR|3MLV|1VULN|1SELL	157MLV|2VULN|3SELL|4LWND|6BASICY|89RCR|aLIT
16	33121 24341	 * 	291.22	DCR|DCR|3MLV|1VULN|1SELL	147MLV|24LWND|3SELL|4BPWR|5VULN|6BASICY|89RCR|aBEXP
17	33121 24344	 * 	291.22	DCR|DCR|3MLV|1VULN|1SELL	147MLV|24LWND|3SELL|4BPWR|5VULN|6BASICY|89RCR|aAEBURN
18	32124 24341	 * 	291.12	DCR|DCR|3MLV|1VULN|1SELL	157MLV|2VULN|3SELL|4LWND|6BASICY|89RCR|aBEXP
19	34125 63211	 * 	290.83	DCR|3VULN|3MLV|1AAC|2RAT	189MLV|2BBNT|3AAC|48aVULN|58RAT|6AART|7RCR|8BPWR
20	32323 36112	 * 	289.84	DCR|3VULN|2MLV|2TLV	1aMLV|26aVULN|34ERES|5AART|7RAT|8aTLV|9RCR|aBPWR
21	32411 32346	   	288.71	DCR|DCR|2VULN|1MLV|1CDMG	1MLV|24VULN|3AETHUN|5MDPS|6LSRREG|7CDMG|89RCR|aRAT
22	32351 32342	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2VULN|3ERES|4TLV|5MDPS|6LSRREG|7CDMG|89RCR|aLIT
23	32351 32344	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2VULN|3ERES|4TLV|5MDPS|6LSRREG|7CDMG|89RCR|aBBNT
24	32351 32345	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2VULN|3ERES|4TLV|5MDPS|6LSRREG|7CDMG|89RCR|aLHND
25	32351 32341	   	287.56	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2VULN|3ERES|4TLV|5MDPS|6LSRREG|7CDMG|89RCR|aBEXP
26	32351 32343	   	287.56	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2VULN|3ERES|4TLV|5MDPS|6LSRREG|7CDMG|89RCR|aDUST
