0	Index      	 *	Score 	Summary	Detail	
1	51146 23233	 * 	284.24	DCR|3VULN|2DMG|1TLV|1MLV	1MLV|2AART|36DMG|456VULN|6BPWR|7TLV|8ERES|9TBNT|aRCR
2	32115 21126	 * 	283.19	DCR|DCR|2VULN|1TLV	1LSRICY|2ERES|3MDPS|46VULN|5TLV|7BEXP|8RAT|9aRCR
3	52113 21126	 * 	281.92	DCR|DCR|2MLV|1VULN	16MLV|2BLASTR|3MDPS|4VULN|5DUR|7CGEN|8RAT|9aRCR
4	51313 32333	 * 	281.55	ACR|DCR|2MLV|1VULN|1DMG|1AAC|2AART	1aMLV|24AART|39RCR|5VULN|6AAC|7BASARM|8DMG
5	52116 21126	 * 	277.50	DCR|DCR|2VULN|1MLV	1MLV|2BLASTR|3MDPS|45VULN|6LHND|7CGEN|8RAT|9aRCR
6	33216 72514	 * 	277.41	DCR|DCR|2TLV|1VULN|2DUR	1LSRICY|2LWND|38DUR|46TLV|5MBVNT|7aRCR|9VULN
7	52114 21126	   	277.40	DCR|DCR|2VULN|1MLV	1MLV|2BLASTR|3MDPS|46VULN|5CGEN|7BEXP|8RAT|9aRCR
8	13342 53223	 * 	275.95	DCR|DCR|1TLV|1MLV|1DMG|1ASPD	1BEXP|2MDPS|3RPLT|4DMG|5LIT|6MLV|7TLV|8ASPD|9aRCR
9	51313 32334	 * 	274.95	ACR|DCR|2DMG|1VULN|1MLV|1AAC|2AART	1MLV|24AART|39RCR|5VULN|6AAC|7BASARM|8aDMG
10	53351 25123	 * 	274.68	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3LIT|4RPLT|5TLV|6FEWX|7MBVNT|8VULN|9aRCR
11	53315 61123	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3LIT|4BEXP|5RPLT|6MBVNT|7TLV|8VULN|9aRCR
12	53335 61123	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3LIT|4DUST|5RPLT|6MBVNT|7TLV|8VULN|9aRCR
13	53351 15123	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3LIT|4RPLT|5TLV|6DUST|7MBVNT|8VULN|9aRCR
14	53231 31126	   	273.71	DCR|DCR|2MLV|1VULN	13MLV|23LHND|3BPWR|4CGEN|5MDPS|6VULN|7MSLFST|8RAT|9aRCR
15	52111 21126	   	273.61	DCR|DCR|2MLV|1VULN	16MLV|2BLASTR|3MDPS|4VULN|5LHND|7CGEN|8RAT|9aRCR
16	52134 23126	   	273.51	DCR|DCR|2MLV|1VULN	16MLV|2BLASTR|3MDPS|4BEXP|5CGEN|7VULN|8RAT|9aRCR
17	12363 11315	   	273.13	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1BEXP|2RCVC|3FEWX|4CGEN|5AAC|6CDMG|7VULN|8aRCR|9MLV
18	22513 12315	   	273.13	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEBURN|2RMIN|3FEWX|4VULN|5AAC|6CDMG|7LWND|8aRCR|9MLV
19	42513 12315	   	273.13	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFBLL|2RMIN|3FEWX|4VULN|5AAC|6CDMG|7LWND|8aRCR|9MLV
20	15513 11315	   	273.03	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1BEXP|2CGEN|3DUST|4RCVC|5AAC|6CDMG|7VULN|8aRCR|9MLV
21	26523 11315	   	273.03	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEBURN|2CGEN|3FEWX|4BEXP|5AAC|6CDMG|7VULN|8aRCR|9MLV
22	15523 11315	   	272.93	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1BEXP|2CGEN|3DUST|4AEFBLL|5AAC|6CDMG|7VULN|8aRCR|9MLV
23	33216 72214	   	270.86	DCR|DCR|2TLV|1VULN	1LSRICY|2LWND|3DUR|46TLV|5MBVNT|7aRCR|8DMSP|9VULN
24	33216 72814	   	270.86	DCR|DCR|2TLV|1VULN	1LSRICY|2LWND|3DUR|46TLV|5MBVNT|7aRCR|8RCVC|9VULN
25	33216 42114	   	270.86	DCR|DCR|2TLV|1VULN	1LSRICY|2LWND|3DUR|48TLV|5MBVNT|6RCVC|7aRCR|9VULN
26	53211 36253	 * 	269.74	DCR|3MLV|2VULN|1TLV	135MLV|23LHND|3BPWR|46VULN|7DUR|8TLV|9BLASTR|aRCR
27	54123 13253	 * 	269.68	DCR|DCR|2MLV|2DMG	17MLV|2AEFBLL|37DMG|4TBNT|57ZMB|6RPLT|7BPWR|8LHND|9aRCR
28	54123 13353	   	269.58	DCR|DCR|2MLV|2DMG	17MLV|2AEFBLL|37DMG|4TBNT|57ZMB|6RPLT|7BPWR|8BEXP|9aRCR
29	32135 53126	   	269.29	DCR|DCR|2TLV|1VULN	1LSRICY|2ERES|3MDPS|4BEXP|56TLV|7VULN|8RAT|9aRCR
30	52113 26511	 * 	267.66	DCR|3VULN|3MLV|2DUR	167MLV|2BLASTR|3MDPS|478VULN|57DUR|7BPWR|9RCVC|aRCR
31	52113 26531	   	267.56	DCR|3VULN|3MLV|2DUR	167MLV|2BLASTR|3MDPS|478VULN|57DUR|7BPWR|9AEFRZ|aRCR
32	53211 13136	 * 	267.20	DCR|3MLV|2VULN|2DMG	135MLV|237LHND|37BPWR|47VULN|6RPLT|8aDMG|9RCR
33	53211 31136	   	267.10	DCR|3MLV|2VULN|2DMG	135MLV|23LHND|3BPWR|46VULN|7aDMG|8RPLT|9RCR
34	55212 11631	   	267.00	DCR|3MLV|2VULN|2DMG	138MLV|23BEXP|38BPWR|48VULN|58DMG|6MBVNT|7BBNT|9RCR|aRCVC
35	55212 11632	   	267.00	DCR|3MLV|2VULN|2DMG	138MLV|23BEXP|38BPWR|48VULN|58DMG|6MBVNT|7BBNT|9RCR|aFEWX
36	55211 31136	   	266.90	DCR|3MLV|2VULN|2DMG	135MLV|23BEXP|3BPWR|46VULN|7aDMG|8RPLT|9RCR
37	55212 11633	   	266.90	DCR|3MLV|2VULN|2DMG|1MSE	138MLV|23BEXP|38BPWR|48VULN|58DMG|6MBVNT|7BBNT|9RCR|aMSE
38	55212 11634	   	266.90	DCR|3MLV|2VULN|2DMG	138MLV|23BEXP|38BPWR|48VULN|58DMG|6MBVNT|7BBNT|9RCR|aDUST
39	52356 42414	   	266.77	DCR|DCR|2MLV|1VULN	16MLV|2BLASTR|3LHND|46LWND|5MBVNT|6BPWR|7aRCR|8DMSP|9VULN
40	52356 32214	   	266.67	DCR|DCR|2MLV|1VULN	18MLV|2BLASTR|36LHND|4LWND|5MBVNT|7aRCR|9VULN
41	53216 23613	 * 	264.63	DCR|3MLV|2TLV|1VULN|1AAC	138MLV|238LHND|38BPWR|4VULN|5BASICY|68TLV|7BBNT|9AAC|aRCR
42	25211 12325	   	264.55	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3DUR|4ZMB|5MLV|6CDMG|7LWND|8aRCR|9CGEN
43	45211 12325	   	264.55	DCR|DCR|1VULN|1MLV|1CDMG	1AEFBLL|2VULN|3DUR|4ZMB|5MLV|6CDMG|7LWND|8aRCR|9CGEN
44	25211 16325	   	264.45	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3DUR|4ZMB|5MLV|6CDMG|7LEGI|8aRCR|9CGEN
45	52113 51126	   	264.35	DCR|DCR|1VULN|1MLV|2RAT	1MLV|2BLASTR|3MDPS|4VULN|5DUR|68RAT|7CGEN|9aRCR
46	51313 32332	   	264.30	ACR|DCR|1VULN|1MLV|1DMG|1AAC|2AART	1MLV|24AART|39RCR|5VULN|6AAC|7BASARM|8DMG|aRAT
