0	Index      	 *	Score 	Summary	Detail	
1	52322 36423	 * 	300.21	DCR|DCR|2VULN|1TLV|1MLV	1aVULN|2TBNT|34ERES|5MLV|6DUST|7TLV|89RCR
2	52262 25333	 * 	299.11	DCR|3VULN|2MLV|2TLV|1ASPD|1SELL	138VULN|2TBNT|48TLV|58MLV|6AART|7SELL|8BPWR|9ASPD|aRCR
3	62315 31513	 * 	297.12	ACR|DCR|2VULN|2MLV|2CDMG|3DUR	16RCR|2aVULN|379DUR|4aCDMG|5MDPS|8aMLV|aBPWR
4	23426 33412	   	293.88	DCR|DCR|2VULN|1TLV|1CDMG	1LHND|2RMIN|3LIT|49VULN|5TLV|6aRCR|7CDMG|8DUR
5	33334 33412	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	1ERES|2LIT|39VULN|4TLV|5DUST|6aRCR|7CDMG|8DUR
6	52232 25335	 * 	293.12	DCR|3VULN|2MLV|1DMG|2CDMG|1ASPD	138VULN|2TBNT|4DMG|58MLV|6AART|78CDMG|8BPWR|9ASPD|aRCR
7	23532 35423	 * 	290.56	DCR|DCR|3VULN|1MLV	1LHND|2RMIN|35aVULN|4CGEN|6MLV|7BBNT|89RCR
8	51232 35423	   	290.46	DCR|DCR|3VULN|1MLV	15aVULN|2LHND|3ERES|4CGEN|6MLV|7BBNT|89RCR
9	62315 31532	   	285.59	ACR|DCR|2VULN|2MLV|2DUR|1CDMG	16RCR|2aVULN|37DUR|4CDMG|5MDPS|89MLV
10	62322 25124	 * 	285.56	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1ASPD	18RCR|2VULN|3DUR|4AAC|5RAT|6ASPD|7LSRHEA|9MLV|aTLV
11	62316 11212	 * 	285.43	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1aRCR|29VULN|3DUR|4CDMG|5TLV|6MLV|7LWND|8LIT
12	62316 16212	   	285.43	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1aRCR|29VULN|3DUR|4CDMG|5TLV|6MLV|7FEWX|8LIT
13	62163 31251	 * 	285.39	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1CDMG	1aRCR|25VULN|3CGEN|4CDMG|6TLV|7AAC|8BEXP|9DMG
