0	Index      	 *	Score 	Summary	Detail	
1	13616 12211	 * 	320.13	DCR|3VULN|2MLV|2DMG|1TLV|1CDMG	14DMG|24MLV|3AART|4BPWR|579VULN|6TLV|8CDMG|aRCR
2	12334 11473	 * 	319.62	DCR|DCR|2VULN|2DMG|1MLV|1CDMG	19DMG|29VULN|3MLV|4CDMG|5BELT|6aRCR|79BEXP|8MBVNT|9BPWR
3	12334 11563	 * 	314.85	DCR|3MLV|3DMG|3ASPD|1VULN|1CDMG	19aDMG|2VULN|39aMLV|4CDMG|5BELT|6RCR|7BEXP|89aASPD|9aBPWR
4	13616 12221	 * 	312.17	DCR|2VULN|2MLV|2TLV|2DMG|1CDMG	14DMG|24MLV|3AART|4BPWR|57VULN|69TLV|8CDMG|aRCR
5	13331 24516	 * 	311.53	DCR|DCR|3MLV|1TLV|1DMG	1DMG|239MLV|4RPLT|5TLV|6aRCR|7BEXP|8VENICY
6	13331 26516	   	311.53	DCR|DCR|3MLV|1TLV|1DMG	1DMG|239MLV|4RPLT|5TLV|6aRCR|7DUST|8VENICY
7	12232 16516	 * 	311.53	DCR|DCR|3MLV|1VULN|1DMG	1DMG|2VULN|3RPLT|479MLV|5AME|6aRCR|8MULARM
8	12334 15315	 * 	309.35	DCR|3MLV|2VULN|3DMG|3CDMG	18aDMG|2aVULN|378MLV|489CDMG|5BELT|6RCR|8aBPWR
9	13616 12421	   	306.48	DCR|3VULN|2MLV|2DMG|1TLV	14DMG|24MLV|3AART|4BPWR|578VULN|6TLV|9RCR|aFEWX
10	13616 12422	   	306.48	DCR|3VULN|2MLV|2DMG|1TLV	14DMG|24MLV|3AART|4BPWR|578VULN|6TLV|9RCR|aRMIN
11	13616 12423	   	306.38	DCR|3VULN|2MLV|2DMG|1TLV	14DMG|24MLV|3AART|4BPWR|578VULN|6TLV|9RCR|aBEXP
12	13613 21333	 * 	305.53	DCR|DCR|3MLV|2DMG	14DMG|24aMLV|3AART|4BPWR|5FEWX|6RPLT|7TBNT|89RCR
13	13534 15321	 * 	305.31	DCR|4VULN|2MLV|2DMG|2CDMG	18DMG|27MLV|389aVULN|48CDMG|5BELT|6RCR|8BPWR
14	13616 32613	   	300.59	DCR|2VULN|2MLV|2DMG|1TLV|1ASPD	14DMG|24MLV|3AART|4BPWR|57VULN|6ASPD|8TLV|9LHND|aRCR
15	26111 12536	 * 	300.51	DCR|DCR|2VULN|1TLV|1MLV	1TBNT|2MLV|38VULN|45FEWX|6RMIN|7TLV|9aRCR
16	26113 32536	   	300.51	DCR|DCR|2VULN|1TLV|1MLV	1TBNT|2MLV|38VULN|46FEWX|5RMIN|7TLV|9aRCR
17	26143 12236	   	300.51	DCR|DCR|2VULN|1TLV|1MLV	1TBNT|2MLV|34VULN|5FEWX|6RMIN|7TLV|8RCVC|9aRCR
18	13616 32623	   	300.49	DCR|2VULN|2MLV|2DMG|1TLV|1ASPD	14DMG|24MLV|3AART|4BPWR|57VULN|6ASPD|8TLV|9DUST|aRCR
19	11231 16322	 * 	300.33	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2AEWIND|3aVULN|46RCR|5LHND|7TLV|8AAC|9MLV
20	11236 16322	   	300.33	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2AEWIND|3aVULN|46RCR|5LWND|7TLV|8AAC|9MLV
21	14231 16322	   	300.33	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2AEFRZ|3aVULN|46RCR|5LHND|7TLV|8AAC|9MLV
22	14236 16322	   	300.33	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2AEFRZ|3aVULN|46RCR|5LWND|7TLV|8AAC|9MLV
23	11231 14214	   	300.33	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2AEWIND|38VULN|46RCR|5LHND|7MLV|9AAC|aTLV
24	11236 14214	   	300.33	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2AEWIND|38VULN|46RCR|5LWND|7MLV|9AAC|aTLV
25	14231 14214	   	300.33	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2AEFRZ|38VULN|46RCR|5LHND|7MLV|9AAC|aTLV
26	11231 14324	 * 	299.93	ACR|DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1DMG|2AEWIND|3VULN|46RCR|5LHND|79MLV|8AAC|aTLV
27	11231 16326	   	299.93	ACR|DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1DMG|2AEWIND|3VULN|46RCR|5LHND|7TLV|8AAC|9aMLV
28	11236 14324	   	299.93	ACR|DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1DMG|2AEWIND|3VULN|46RCR|5LWND|79MLV|8AAC|aTLV
29	14231 14324	   	299.93	ACR|DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1DMG|2AEFRZ|3VULN|46RCR|5LHND|79MLV|8AAC|aTLV
30	14231 16326	   	299.93	ACR|DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1DMG|2AEFRZ|3VULN|46RCR|5LHND|7TLV|8AAC|9aMLV
31	13616 12621	   	298.52	DCR|2VULN|2MLV|2TLV|2DMG	14DMG|24MLV|3AART|4BPWR|57VULN|68TLV|9RCR|aFEWX
32	13616 12622	   	298.52	DCR|2VULN|2MLV|2TLV|2DMG	14DMG|24MLV|3AART|4BPWR|57VULN|68TLV|9RCR|aRMIN
33	13616 12623	   	298.42	DCR|2VULN|2MLV|2TLV|2DMG	14DMG|24MLV|3AART|4BPWR|57VULN|68TLV|9RCR|aBEXP
34	12331 31311	   	297.89	DCR|2VULN|2MLV|2DMG|1TLV|1CDMG	16DMG|29VULN|37MLV|4CDMG|5TLV|8AART|aRCR
35	13531 31311	   	297.89	DCR|2VULN|2MLV|2DMG|1TLV|1CDMG	16DMG|27MLV|39VULN|4CDMG|5TLV|8AART|aRCR
36	13616 15211	   	297.89	DCR|2VULN|2MLV|2DMG|1TLV|1CDMG	14DMG|24MLV|3AART|4BPWR|59VULN|6TLV|7AEFBLL|8CDMG|aRCR
37	12231 62131	   	296.79	DCR|DCR|2VULN|1MLV|1DMG	1DMG|2aVULN|3RPLT|4MLV|5TBNT|69RCR|7LHND|8AART
38	26143 32236	 * 	294.23	DCR|DCR|2VULN|2MLV	1TBNT|27MLV|34VULN|57FEWX|67BEXP|7BPWR|8RCVC|9aRCR
39	13646 12211	   	294.22	DCR|3VULN|2DMG|1TLV|1MLV|1CDMG	14DMG|2MLV|3AART|579VULN|6TLV|8CDMG|aRCR
40	13363 62612	   	292.80	ACR|DCR|2MLV|1VULN|1TLV|1DMG	1DMG|23MLV|48RCR|5LWND|6LIT|7TLV|9VULN|aNUKE
41	13616 32421	   	290.64	DCR|3VULN|2MLV|2DMG|1ASPD	14DMG|24MLV|3AART|4BPWR|578VULN|6ASPD|9RCR|aFEWX
42	13616 32422	   	290.64	DCR|3VULN|2MLV|2DMG|1ASPD	14DMG|24MLV|3AART|4BPWR|578VULN|6ASPD|9RCR|aRMIN
43	13616 32423	   	290.54	DCR|3VULN|2MLV|2DMG|1ASPD	14DMG|24MLV|3AART|4BPWR|578VULN|6ASPD|9RCR|aBEXP
44	26143 31236	 * 	290.46	DCR|DCR|3VULN|1MLV	1TBNT|2MLV|347VULN|5FEWX|6BEXP|8RCVC|9aRCR
45	26111 31536	   	290.46	DCR|DCR|3VULN|1MLV	1TBNT|2MLV|378VULN|45FEWX|6BEXP|9aRCR
46	12316 35417	 * 	290.43	DCR|2VULN|2MLV|3DMG|2ASPD	16aDMG|2aVULN|37MLV|4MBVNT|5CGEN|8aASPD|9RCR|aBPWR
47	13516 32417	   	290.43	DCR|2VULN|2MLV|3DMG|2ASPD	16aDMG|2aMLV|37VULN|4MBVNT|5CGEN|8aASPD|9RCR|aBPWR
48	13518 32417	   	290.33	DCR|2VULN|2MLV|3DMG|2ASPD	16aDMG|2aMLV|37VULN|4MBVNT|5ERES|8aASPD|9RCR|aBPWR
49	12318 35417	   	290.33	DCR|2VULN|2MLV|3DMG|2ASPD	16aDMG|2aVULN|37MLV|4MBVNT|5ERES|8aASPD|9RCR|aBPWR
50	13613 21335	   	290.30	DCR|DCR|2MLV|2DMG	14DMG|24MLV|3AART|4BPWR|5FEWX|6RPLT|7TBNT|89RCR|aDUR
