0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52512 14448	1	 * 	298.61	DCR|3VULN|3DMG|3DUR|1TLV	18aVULN|268DUR|3MBVNT|4TLV|5aERES|78aDMG|8aBPWR|9RCR
2	41122 16232	5	   	292.33	DCR|3VULN|3DMG|3DUR	189DUR|26BEXP|389DMG|4BELT|5AART|789VULN|89BPWR|aRCR
3	41122 66232	6	   	292.33	DCR|3VULN|3DMG|3DUR	189DUR|2BEXP|389DMG|4BELT|5AART|6DMSP|789VULN|89BPWR|aRCR
4	51122 12232	5	   	292.33	DCR|3VULN|3DMG|3DUR	189VULN|26BEXP|389DMG|4BELT|5AART|789DUR|89BPWR|aRCR
5	51122 62232	6	   	292.33	DCR|3VULN|3DMG|3DUR	189VULN|2BEXP|389DMG|4BELT|5AART|6DMSP|789DUR|89BPWR|aRCR
6	62133 32232	5	   	292.33	DCR|3VULN|3DMG|3DUR	1RCVC|2AART|389DMG|4BEXP|589VULN|6BELT|789DUR|89BPWR|aRCR
7	62143 32232	5	   	292.33	DCR|3VULN|3DMG|3DUR	1RCVC|2AART|389DMG|4FEWX|589VULN|6BELT|789DUR|89BPWR|aRCR
8	62215 36232	5	   	292.33	DCR|3VULN|3DMG|3DUR	1RCVC|2AART|389DUR|4BEXP|589DMG|6BELT|789VULN|89BPWR|aRCR
9	62243 36232	5	   	292.33	DCR|3VULN|3DMG|3DUR	1RCVC|2AART|389DUR|4BELT|5FEWX|689DMG|789VULN|89BPWR|aRCR
10	62242 36232	4	   	292.22	DCR|3VULN|3DMG|3DUR	1RCVC|2AART|389DUR|4BELT|5DUST|689DMG|789VULN|89BPWR|aRCR
11	51513 31325	9	 * 	291.50	DCR|5VULN|3DUR|3LIT	1389aVULN|234BEXP|39aBPWR|59aDUR|6RCR|79aLIT
12	53533 31325	9	   	291.50	DCR|5VULN|3DUR|3LIT	1389aVULN|234FEWX|39aBPWR|59aDUR|6RCR|79aLIT
13	54632 11231	6	 * 	290.84	DCR|4VULN|3DMG|1DUR|1CDMG	1258VULN|345DMG|5BPWR|6DUR|7CDMG|9RCR|aRCVC
14	54632 11232	6	   	290.84	DCR|4VULN|3DMG|1DUR|1CDMG	1258VULN|345DMG|5BPWR|6DUR|7CDMG|9RCR|aLHND
15	54632 11233	6	   	290.84	DCR|4VULN|3DMG|1DUR|1CDMG	1258VULN|345DMG|5BPWR|6DUR|7CDMG|9RCR|aBEXP
