0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53253 32226	9	 * 	293.77	DCR|5VULN|2DMG|2TLV	1258aVULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR
2	53113 21435	6	 * 	292.75	DCR|4VULN|3DMG|3DUR	128aVULN|28aBPWR|3LHND|48aDMG|5ZMB|6CGEN|78aDUR|9RCR
3	53213 21435	6	   	292.65	DCR|4VULN|3DMG|3DUR	128aVULN|28aBPWR|38aDMG|4LEGI|5ZMB|6CGEN|78aDUR|9RCR
4	53261 14373	6	   	292.45	DCR|4VULN|3DMG|3DUR	127aVULN|27BPWR|347DMG|5MBVNT|679DUR|8RCR
5	53261 14384	6	   	292.45	DCR|4VULN|3DMG|3DUR	127aVULN|27aBPWR|347DMG|5MBVNT|67aDUR|8RCR|9aERES
6	51211 41252	9	   	291.95	DCR|5VULN|2DMG|1DUR|2LIT|1AART	1589aVULN|2AART|3DUR|4aLIT|6aDMG|7RCR|aBPWR
7	53253 32221	10	   	291.68	DCR|4VULN|2DMG|2TLV|1DUR	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aDUR
8	51335 61212	4	 * 	291.57	DCR|5VULN|2DMG|2DUR|1AART	1357aVULN|2AART|47DUR|6RCR|7aBPWR|8aDMG|9aERES
9	51225 61212	4	   	291.57	DCR|5VULN|2DMG|2DUR|1AART	1457aVULN|2AART|37DUR|6RCR|7aBPWR|8aDMG|9aERES
10	51322 36323	8	 * 	291.03	DCR|5VULN|3DUR|3ASPD|1AART	1389aVULN|2AART|48aASPD|5RPLT|68aDUR|7RCR|8aBPWR
11	51322 36333	9	   	291.03	DCR|5VULN|3DUR|3ASPD|1AART	1389aVULN|2AART|48aASPD|5RPLT|68aDUR|7RCR|8aBPWR
12	51211 41152	9	   	289.26	DCR|4VULN|3DMG|1DUR|2LIT|1AART	159aVULN|2AART|3DUR|4aLIT|68aDMG|7RCR|aBPWR
13	51211 41242	9	   	288.19	DCR|4VULN|2DMG|2DUR|2LIT|1AART	158aVULN|2AART|39DUR|4aLIT|6aDMG|7RCR|aBPWR
14	53253 32226	10	   	285.09	DCR|4VULN|2DMG|2TLV|1AART	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aAART
15	51311 35332	9	   	285.09	DCR|4VULN|2DMG|2TLV|1AART	137aVULN|2AART|4aTLV|5ZMB|6ASPD|8aDMG|9RCR|aBPWR
16	53261 14331	6	 * 	284.28	DCR|3VULN|3DMG|2DUR|1TLV	127VULN|27BPWR|347DMG|5MBVNT|67DUR|8RCR|9DUST|aTLV
17	53261 64331	5	   	284.28	DCR|3VULN|3DMG|2DUR|1TLV	127VULN|27BPWR|347DMG|5MBVNT|67DUR|8RCR|9DUST|aTLV
18	51211 41142	9	   	282.79	DCR|3VULN|3DMG|2DUR|2LIT|1AART	15aVULN|2AART|39DUR|4aLIT|68aDMG|7RCR|aBPWR
19	53232 22436	4	   	282.01	DCR|5VULN|2DMG|2DUR	1269aVULN|2aBPWR|3aDMG|4aDUR|5DMSP|7RCR|8BELT
20	53233 22426	4	   	282.01	DCR|5VULN|2DMG|2DUR	1256aVULN|2aBPWR|3aDMG|4aDUR|7RCR|8BELT|9RCVC
21	53253 32222	10	   	281.98	DCR|4VULN|2DMG|2TLV|2LIT	1258VULN|28BPWR|38DMG|4FEWX|6aLIT|78TLV|9RCR
22	53241 32431	3	   	281.91	DCR|5VULN|2DMG|2DUR	12459VULN|25BPWR|35DMG|6aDUR|7RCR|8BELT
23	53241 32333	3	   	280.98	DCR|5VULN|2DMG|1DUR|1CDMG	12459VULN|25BPWR|35DMG|6DUR|7RCR|8CGEN|aCDMG
24	53241 32633	3	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	12459VULN|25BPWR|35DMG|6DUR|7RCR|8ERES|aCDMG
25	53231 26135	7	 * 	280.37	DCR|4VULN|2TLV|2DUR|1DMG	126aVULN|2aBPWR|3DMG|4aDUR|5FEWX|7ZMB|8aTLV|9RCR
26	53233 12135	7	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	127aVULN|2aBPWR|3DMG|4aDUR|5ZMB|6FEWX|8aTLV|9RCR
27	53233 33135	5	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	126aVULN|2aBPWR|3DMG|4aDUR|5ZMB|7BEXP|8aTLV|9RCR
28	53233 35135	5	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	126aVULN|2aBPWR|3DMG|4aDUR|5ZMB|7LHND|8aTLV|9RCR
