0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13523 42533	9	 * 	297.86	DCR|4VULN|3DUR|2DMG	17DMG|267DUR|3LWND|4FEWX|5679VULN|67BPWR|8LIT|aRCR
2	11121 13616	8	 * 	296.21	DCR|3VULN|3DMG|3DUR|1CDMG|1NUKE	189DMG|2NUKE|3BEXP|489VULN|5LWND|6CDMG|789DUR|89BPWR|aRCR
3	11221 13616	8	   	296.21	DCR|3VULN|3DMG|3DUR|1CDMG|1NUKE	189DMG|2NUKE|3FEWX|489VULN|5LWND|6CDMG|789DUR|89BPWR|aRCR
4	13231 44233	3	 * 	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	18DMG|29DUR|38CDMG|4578VULN|6TBNT|8BPWR|aRCR
5	13631 44233	2	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	18DMG|29DUR|38CDMG|4578VULN|6TBNT|8BPWR|aRCR
6	16312 16511	1	 * 	296.09	DCR|4VULN|2DMG|2DUR|3LIT	1aDMG|236aVULN|489LIT|5aDUR|7RCR|aBPWR
7	51132 15253	2	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	158aVULN|2aDUR|3TLV|49CGEN|6aDMG|7RCR|aBPWR
8	51232 15253	3	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	158aVULN|2aDUR|3TLV|49CGEN|6aDMG|7RCR|aBPWR
9	51232 15253	4	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	158aVULN|2aDUR|3TLV|49CGEN|6aDMG|7RCR|aBPWR
10	13325 53331	4	 * 	292.27	DCR|4VULN|2DMG|3ASPD|1DUR	17DMG|2DUR|367ASPD|4789VULN|5BBNT|7BPWR|aRCR
11	16312 34511	1	 * 	289.10	DCR|3VULN|3DMG|2DUR|3LIT	17aDMG|23aVULN|489LIT|5aDUR|6RCR|aBPWR
12	54161 31131	10	 * 	287.81	DCR|5VULN|2DUR|1TLV|1CDMG	14679VULN|2CDMG|3TLV|58DUR|aRCR
13	54161 31331	10	   	287.81	DCR|5VULN|2DUR|1TLV|1CDMG	14678VULN|2CDMG|3TLV|59DUR|aRCR
14	54161 32331	10	   	287.81	DCR|5VULN|2DUR|1TLV|1CDMG	14689VULN|2CDMG|3TLV|57DUR|aRCR
15	16312 31511	1	 * 	286.67	DCR|3VULN|3DUR|2DMG|3LIT	1aDMG|23aVULN|489LIT|57aDUR|6RCR|aBPWR
16	51525 22333	7	 * 	286.56	DCR|4VULN|3DUR|2ASPD|1CDMG	1478VULN|237DUR|57ASPD|6LEGI|7BPWR|9CDMG|aRCR
17	51532 15223	4	   	285.69	DCR|4VULN|2DMG|2DUR	158aVULN|23DUR|4aDUST|6aDMG|7RCR|9AART|aBPWR
18	51132 55233	2	 * 	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	158aVULN|2aDUR|3TLV|4CGEN|69aASPD|7RCR|aBPWR
19	51232 55233	4	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	158aVULN|2aDUR|3TLV|4CGEN|69aASPD|7RCR|aBPWR
20	51232 55233	3	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	158aVULN|2aDUR|3TLV|4CGEN|69aASPD|7RCR|aBPWR
21	51112 34433	2	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	156aVULN|2aDUR|3TLV|4ERES|7RCR|89aASPD|aBPWR
22	51112 55233	2	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	158aVULN|2aDUR|3TLV|4ERES|69aASPD|7RCR|aBPWR
23	51212 34433	3	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	156aVULN|2aDUR|3TLV|4ERES|7RCR|89aASPD|aBPWR
