0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23263 21635	6	 * 	292.73	DCR|4VULN|2DMG|3ASPD|2CDMG|1DUR	19CDMG|235ASPD|4589VULN|59BPWR|6RCR|79DMG|aDUR
2	32134 36363	10	 * 	290.84	DCR|4VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7BEXP|8RCR|9TLV
3	23631 26423	6	 * 	289.11	DCR|5VULN|2DMG|2CDMG|1AART	19CDMG|2ASPD|34689VULN|59DMG|7AART|9BPWR|aRCR
4	23311 21222	10	 * 	285.63	DCR|2VULN|3DUR|2DMG|1TLV|2CDMG	18CDMG|2ASPD|347DUR|58DMG|68VULN|8BPWR|9TLV|aRCR
5	21613 21334	8	 * 	284.58	DCR|3VULN|3DMG|2DUR|3CDMG	159CDMG|2aCGEN|39aVULN|45DUR|59aBPWR|6BEXP|7RCR|89aDMG
6	21613 61334	8	   	284.58	DCR|3VULN|3DMG|2DUR|3CDMG	159CDMG|2aCGEN|39aVULN|45DUR|59aBPWR|6LWND|7RCR|89aDMG
7	32134 31612	9	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	156DMG|2DUR|3ERES|456VULN|56BPWR|7LHND|8RCR|9CDMG|aTLV
8	32134 36312	9	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	156DMG|2DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|9CDMG|aTLV
9	32134 36362	10	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	156DMG|2DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|9TLV|aCDMG
10	23613 35134	5	 * 	281.61	DCR|3VULN|3TLV|2DUR|3CDMG|2ASPD	159CDMG|2aASPD|39aVULN|45DUR|59aBPWR|6FEWX|79aTLV|8RCR
11	32134 66132	5	 * 	279.65	DCR|2VULN|3DMG|2DUR|1TLV|2CDMG	159DMG|29DUR|3ERES|45VULN|59BPWR|6LEGI|79CDMG|8RCR|aTLV
12	23261 26423	6	   	278.61	DCR|4VULN|2DMG|2CDMG|2ASPD|1AART	19CDMG|23ASPD|4689VULN|59DMG|7AART|9BPWR|aRCR
13	23631 15423	5	   	278.61	DCR|4VULN|2DMG|2CDMG|2ASPD|1AART	19CDMG|27ASPD|3489VULN|59DMG|6AART|9BPWR|aRCR
14	23631 26123	6	   	278.54	DCR|4VULN|2DMG|2CDMG|2AART	19CDMG|2ASPD|3469VULN|59DMG|78AART|9BPWR|aRCR
15	32134 31611	10	   	278.29	DCR|4VULN|3DMG|1DUR|1CDMG	156DMG|2DUR|3ERES|456aVULN|56BPWR|7LHND|8RCR|9CDMG
16	32134 36311	10	   	278.29	DCR|4VULN|3DMG|1DUR|1CDMG	156DMG|2DUR|3ERES|456aVULN|56BPWR|7BEXP|8RCR|9CDMG
17	23263 21633	6	   	276.48	DCR|4VULN|2DMG|3ASPD|2CDMG	19CDMG|235ASPD|4589VULN|59BPWR|6RCR|79DMG|aRPLT
18	23263 21636	6	   	276.48	DCR|4VULN|2DMG|3ASPD|2CDMG	19CDMG|235ASPD|4589VULN|59BPWR|6RCR|79DMG|aLHND
19	23263 21653	6	   	276.48	DCR|4VULN|2DMG|3ASPD|2CDMG	1aCDMG|235ASPD|458aVULN|5aBPWR|6RCR|7aDMG|9RPLT
20	23263 21631	6	   	276.38	DCR|4VULN|2DMG|3ASPD|2CDMG	19CDMG|235ASPD|4589VULN|59BPWR|6RCR|79DMG|aERES
21	32134 52235	9	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	15DMG|2DUR|3ERES|4568VULN|5BPWR|7FEWX|9TLV|aRCR
22	23311 21236	9	 * 	275.08	DCR|2VULN|3DMG|3DUR|2CDMG	18CDMG|2ASPD|347DUR|589DMG|68VULN|8BPWR|aRCR
23	23263 12636	6	 * 	274.80	DCR|2VULN|3DUR|2DMG|3ASPD|2CDMG	19CDMG|235ASPD|45VULN|59BPWR|679DUR|89DMG|aRCR
24	23263 12636	7	   	274.80	DCR|2VULN|3DUR|2DMG|3ASPD|2CDMG	19CDMG|235ASPD|45VULN|59BPWR|679DUR|89DMG|aRCR
25	32134 31143	10	   	274.30	DCR|4VULN|3DMG|1DUR|1AART	156DMG|2DUR|3ERES|4569VULN|56BPWR|7LHND|8AART|aRCR
26	22226 15134	6	 * 	272.07	DCR|3VULN|2DMG|3TLV|3CDMG	149CDMG|29aVULN|3FEWX|5LEGI|6aDMG|79aTLV|8RCR|9aBPWR
27	23263 21135	6	   	271.68	DCR|3VULN|2DMG|3ASPD|2CDMG|1DUR	19CDMG|235ASPD|459VULN|59BPWR|6RCR|79DMG|8RCVC|aDUR
28	32134 31632	10	 * 	271.40	DCR|3VULN|3DMG|3DUR	156DMG|29aDUR|3ERES|456VULN|56BPWR|7LHND|8RCR
29	32134 36332	10	   	271.40	DCR|3VULN|3DMG|3DUR	156DMG|29aDUR|3ERES|456VULN|56BPWR|7BEXP|8RCR
30	21312 26136	1	 * 	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19CDMG|2ERES|359VULN|4DMG|6FEWX|79DUR|8RCR|9BPWR|aTLV
31	21312 56136	1	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19CDMG|2ERES|359VULN|4DMG|6BEXP|79DUR|8RCR|9BPWR|aTLV
32	23631 26423	5	   	270.77	DCR|4VULN|2DMG|2CDMG|1AART	19CDMG|2ASPD|3489VULN|59DMG|6RCVC|7AART|9BPWR|aRCR
33	21631 26123	6	   	270.23	DCR|4VULN|2DMG|2CDMG|2AART	19CDMG|2CGEN|3469VULN|59DMG|78AART|9BPWR|aRCR
34	23356 23211	8	 * 	270.09	DCR|4VULN|2DUR|3CDMG|1AART	16aCDMG|2ASPD|3aDUR|4BELT|568aVULN|6aBPWR|7RCR|9AART
35	32134 34336	7	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3ERES|456VULN|56BPWR|7BELT|8RCR|9RPLT|aTLV
36	32134 36361	10	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|9TLV|aLWND
37	32134 36361	9	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|9TLV|aRPLT
38	32134 36362	9	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|9TLV|aCGEN
39	32166 41132	8	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	169DMG|2DUR|39ERES|48RPLT|569VULN|69BPWR|7RCR|aTLV
40	32166 41232	8	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	169DMG|2DUR|39ERES|4RPLT|569VULN|69BPWR|7RCR|8RCVC|aTLV
41	32134 34321	7	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|39ERES|456VULN|56BPWR|7BELT|8RCR|aTLV
42	32134 36363	9	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3aERES|456VULN|56BPWR|7BEXP|8RCR|9TLV
43	32134 13365	5	 * 	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|28DUR|3ERES|456VULN|5BPWR|7FEWX|9TLV|aRCR
44	32134 22235	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|26DUR|3ERES|458VULN|5BPWR|7FEWX|9TLV|aRCR
45	32134 22265	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|26DUR|3ERES|458VULN|5BPWR|7FEWX|9TLV|aRCR
46	32134 31323	10	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	156DMG|28DUR|3ERES|456VULN|56BPWR|7LHND|9AART|aRCR
47	32134 33263	7	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	156DMG|29DUR|3ERES|456VULN|56BPWR|7RPLT|8AART|aRCR
48	22113 32416	8	   	267.70	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|269aVULN|3LIT|4ASPD|5DUR|7TLV|8RCR
49	23262 51631	4	 * 	267.61	DCR|2VULN|2DMG|2DUR|3CDMG|3ASPD	169CDMG|235ASPD|45VULN|59BPWR|79DUR|89DMG|aRCR
50	23263 51631	5	   	267.61	DCR|2VULN|2DMG|2DUR|3CDMG|3ASPD	169CDMG|235ASPD|45VULN|59BPWR|79DUR|89DMG|aRCR
51	23633 35135	4	   	267.52	DCR|3VULN|2TLV|2DUR|2CDMG	19CDMG|2ASPD|349VULN|5aDUR|6FEWX|79TLV|8RCR|9BPWR
