0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21221 46362	2	 * 	295.44	DCR|5VULN|3DMG|2LIT	13789VULN|237DMG|37BPWR|4RCVC|57LIT|6BBNT|aRCR
2	21222 26541	7	 * 	293.14	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART	16aVULN|2aDMG|3AART|4TLV|5CDMG|7RCR|8RPLT|9aDUR|aBPWR
3	21513 13414	3	 * 	289.45	DCR|4VULN|3DUR|2DMG	189aVULN|25DMG|3aBEXP|47aDUR|6RCR|aBPWR
4	21222 26622	7	 * 	288.39	DCR|4VULN|2TLV|1DMG|2CDMG|1ASPD|1AART	168aVULN|2DMG|3AART|48TLV|58CDMG|7RCR|8BPWR|9ASPD
5	21242 43213	2	   	286.19	DCR|4VULN|2DMG|1TLV|1CDMG|1ASPD	1379VULN|23DMG|3BPWR|4FEWX|5TLV|6RCR|8ASPD|aCDMG
6	21213 24316	6	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	178aVULN|27DMG|3AART|4BEXP|5LWND|67DUR|7BPWR|9RCR
7	21213 25116	8	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	178aVULN|27DMG|3AART|4BEXP|5LWND|67DUR|7BPWR|9RCR
8	21213 25133	9	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	1789VULN|27DMG|3AART|4BEXP|5LWND|67DUR|7BPWR|aRCR
9	21213 25316	7	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	178aVULN|27DMG|3AART|4BEXP|5LWND|67DUR|7BPWR|9RCR
10	21213 25616	9	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	179aVULN|27DMG|3AART|4BEXP|5LWND|67DUR|7BPWR|8RCR
11	21213 25636	8	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	179aVULN|27DMG|3AART|4BEXP|5LWND|67DUR|7BPWR|8RCR
12	21526 25133	9	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	1789VULN|27DMG|3BEXP|4LWND|5AART|67DUR|7BPWR|aRCR
13	21263 25116	8	   	285.79	DCR|4VULN|2DMG|2DUR|1AART	178aVULN|27DMG|3AART|4DUST|5LWND|67DUR|7BPWR|9RCR
14	21251 21341	2	 * 	285.38	DCR|3VULN|3DMG|2CDMG|1DUR|1ASPD|1SELL	138VULN|238DMG|38BPWR|4BBNT|5SELL|6RCR|78CDMG|9DUR|aASPD
15	21213 25641	10	 * 	284.66	DCR|3VULN|2DMG|2DUR|2ASPD|1AART	17aVULN|27DMG|3AART|4aBEXP|5LWND|67DUR|7aBPWR|8RCR|9aASPD
