0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42113 13553	3	 * 	280.80	DCR|5VULN|2DMG|2CDMG|1AART	1RPLT|23469VULN|59CDMG|7RCR|89DMG|9BPWR|aAART
2	42121 13542	3	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|23aVULN|4LIT|5aDMG|6TLV|7DUST|8RCR|9aDUR|aBPWR
3	42113 13552	3	   	271.14	DCR|5VULN|2DMG|2CDMG	1RPLT|23469VULN|59CDMG|7RCR|89DMG|9BPWR|aLHND
4	42123 16351	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|239VULN|4TLV|59DMG|69DUR|7RCR|8BBNT|9BPWR|aBEXP
5	42123 16352	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|239VULN|4TLV|59DMG|69DUR|7RCR|8BBNT|9BPWR|aERES
6	42123 16353	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|239VULN|4TLV|59DMG|69DUR|7RCR|8BBNT|9BPWR|aDUST
7	42121 21542	7	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1RPLT|23aVULN|4TLV|5aLIT|6DUST|7DMG|8RCR|9aDUR|aBPWR
8	12324 24413	2	 * 	265.41	DCR|3VULN|3DUR|2DMG|1AART	1RCVC|2AART|378VULN|48aDUR|5BBNT|68DMG|8BPWR|9RCR
9	42131 16326	4	 * 	263.57	DCR|4VULN|2DMG|2DUR	1RPLT|235aVULN|4LHND|6aDUR|7RCR|8BBNT|9aDMG|aBPWR
10	42133 16326	5	   	263.57	DCR|4VULN|2DMG|2DUR	1RPLT|235aVULN|4LHND|6aDUR|7RCR|8BBNT|9aDMG|aBPWR
11	42122 13451	10	 * 	262.68	DCR|3VULN|2DMG|2TLV	1RPLT|23aVULN|4aTLV|5ASPD|6LIT|7aDMG|8RCR|9BELT|aBPWR
12	42113 13611	3	 * 	261.22	DCR|4VULN|1TLV|1DMG|2CDMG	1RPLT|2346VULN|58CDMG|7RCR|9DMG|aTLV
13	42163 13611	4	   	261.22	DCR|4VULN|1TLV|1DMG|2CDMG	1RPLT|2346VULN|58CDMG|7RCR|9DMG|aTLV
14	12324 24412	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|2AART|378VULN|48DUR|5BBNT|68DMG|8BPWR|9RCR|aLIT
15	42623 22116	6	 * 	260.30	DCR|4VULN|2TLV|2DUR	1RPLT|257aVULN|3LHND|47TLV|67DUR|7BPWR|8LWND|9RCR
16	42623 22216	6	   	260.30	DCR|4VULN|2TLV|2DUR	1RPLT|257aVULN|3LHND|47TLV|67DUR|7BPWR|8FEWX|9RCR
17	42523 22316	6	   	260.20	DCR|4VULN|2TLV|2DUR	1RPLT|257aVULN|3DUST|47TLV|67DUR|7BPWR|8LHND|9RCR
18	42123 31542	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|23aVULN|4TLV|5aDUST|6LIT|7DMG|8RCR|9aDUR|aBPWR
19	42321 62214	4	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|267VULN|3LWND|47TLV|57DUR|7BPWR|8FEWX|9RCR|aDMG
20	42323 22214	6	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|257VULN|3LWND|47TLV|67DUR|7BPWR|8FEWX|9RCR|aDMG
21	42623 22114	6	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|257VULN|3LHND|47TLV|67DUR|7BPWR|8LWND|9RCR|aDMG
22	42623 22214	6	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|257VULN|3LHND|47TLV|67DUR|7BPWR|8FEWX|9RCR|aDMG
23	42321 62314	4	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|267VULN|3LWND|47TLV|57DUR|7BPWR|8DUST|9RCR|aDMG
24	42323 22314	6	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|257VULN|3LWND|47TLV|67DUR|7BPWR|8DUST|9RCR|aDMG
25	42523 22114	6	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|257VULN|3DUST|47TLV|67DUR|7BPWR|8LWND|9RCR|aDMG
26	42523 22214	6	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|257VULN|3DUST|47TLV|67DUR|7BPWR|8FEWX|9RCR|aDMG
27	42523 22314	6	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|257VULN|3DUST|47TLV|67DUR|7BPWR|8LHND|9RCR|aDMG
28	42162 62211	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|234VULN|5TLV|6DMG|7ASPD|8RCR|9CDMG|aDUR
29	42123 16422	4	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|23VULN|4TLV|5aDMG|68DUR|7RCR|9CDMG
30	42123 12236	4	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1RPLT|237aVULN|4TLV|5DMG|6DUR|8MLV|9RCR
31	42122 16633	5	   	257.49	DCR|3VULN|2TLV|1DUR|2LIT|1AART	1RPLT|23aVULN|4aTLV|5ASPD|6DUR|7RCR|8aLIT|9AART|aBPWR
32	42211 16633	2	   	257.26	DCR|3VULN|1TLV|2ASPD|1DUR|2LIT|1AART	1RPLT|25aVULN|3aASPD|4TLV|6DUR|7RCR|8aLIT|9AART|aBPWR
33	42121 33362	6	   	257.22	DCR|3VULN|2TLV|2DUR|1AART	1RPLT|238VULN|48TLV|5LIT|6LHND|78DUR|8BPWR|9AART|aRCR
