0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33233 62334	10	 * 	305.30	DCR|4VULN|3DMG|3DUR	18aDUR|2LHND|348aVULN|58aDMG|6RPLT|7DMSP|8aBPWR|9RCR
2	33232 63334	10	 * 	302.27	DCR|5VULN|3DUR|3ASPD	18aDUR|2LHND|3478aVULN|58aASPD|6RPLT|8aBPWR|9RCR
3	46632 11321	5	 * 	297.01	DCR|3VULN|3DMG|3CDMG|1TLV|1DUR	178VULN|278CDMG|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aTLV
4	61632 11321	5	   	297.01	DCR|3VULN|3DMG|3CDMG|1TLV|1DUR	178CDMG|278VULN|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aTLV
5	46312 11321	5	   	296.91	DCR|3VULN|3DMG|3CDMG|1DUR|1TLV	178VULN|278CDMG|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aTLV
6	61312 11321	5	   	296.91	DCR|3VULN|3DMG|3CDMG|1DUR|1TLV	178CDMG|278VULN|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aTLV
7	36242 11353	4	   	296.21	DCR|3VULN|3DMG|3DUR|1CDMG	178DUR|2CDMG|378VULN|478DMG|5RMIN|6TBNT|78BPWR|9RPLT|aRCR
8	61241 23511	10	   	289.21	DCR|4VULN|3DMG|2CDMG	14CDMG|2368VULN|567DMG|6BPWR|9LIT|aRCR
9	64118 11311	3	 * 	287.15	DCR|4VULN|3DMG|3CDMG	178CDMG|29ZMB|3MBVNT|478DMG|5789VULN|6TBNT|789BPWR|aRCR
10	45152 11311	5	   	286.90	DCR|4VULN|3DMG|3CDMG|1SELL	1789VULN|2SELL|378CDMG|4RPLT|578DMG|6TBNT|789BPWR|aRCR
11	45422 11311	5	   	286.90	DCR|4VULN|3DMG|3CDMG|1SELL	1789VULN|2SELL|3RPLT|478CDMG|578DMG|6TBNT|789BPWR|aRCR
12	31333 31556	5	   	285.79	DCR|4VULN|2DMG|2DUR	1aDUR|2FEWX|346aVULN|5aDMG|7TBNT|8RCR|9AART|aBPWR
13	31333 33556	5	   	285.79	DCR|4VULN|2DMG|2DUR	1aDUR|2FEWX|346aVULN|5aDMG|7BBNT|8RCR|9AART|aBPWR
14	61241 21511	7	   	285.52	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	14CDMG|236VULN|568DMG|6BPWR|7TLV|9ASPD|aRCR
15	61241 23311	8	   	285.52	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	14CDMG|236VULN|567DMG|6BPWR|8TLV|9ASPD|aRCR
16	32353 51512	3	   	285.18	DCR|2VULN|3DMG|3DUR|2CDMG	125DUR|3aCDMG|48aDMG|6RCR|7AART|9aVULN|aBPWR
17	36216 11326	2	 * 	284.99	DCR|3VULN|3DUR|3CDMG|1DMG	178DUR|278CDMG|3CGEN|4DMG|578VULN|6TBNT|78BPWR|9AART|aRCR
18	46213 11326	2	   	284.99	DCR|3VULN|3DUR|3CDMG|1DMG	178VULN|278CDMG|3CGEN|4DMG|578DUR|6TBNT|78BPWR|9AART|aRCR
19	63216 11326	2	   	284.99	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|278DUR|3CGEN|4DMG|578VULN|6TBNT|78BPWR|9AART|aRCR
20	61213 11326	2	   	284.99	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|278VULN|3CGEN|4DMG|578DUR|6TBNT|78BPWR|9AART|aRCR
21	64213 11326	1	   	284.99	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|278VULN|3CGEN|4DMG|578DUR|6TBNT|78BPWR|9AART|aRCR
22	46313 11326	3	   	284.89	DCR|3VULN|3DUR|3CDMG|1DMG	178VULN|278CDMG|3ERES|4DMG|578DUR|6TBNT|78BPWR|9AART|aRCR
23	61313 11326	3	   	284.89	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|278VULN|3ERES|4DMG|578DUR|6TBNT|78BPWR|9AART|aRCR
24	61262 13361	8	   	284.79	DCR|5VULN|3DUR|1CDMG	1CDMG|2389aVULN|456DUR|7RCR
25	61241 21351	8	   	283.42	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	14CDMG|236VULN|56DMG|6BPWR|7TLV|8LIT|9DUR|aRCR
26	35216 11353	2	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178DUR|2SELL|3CGEN|478DMG|578VULN|6TBNT|78BPWR|9RPLT|aRCR
27	35216 11353	3	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178DUR|2SELL|3CGEN|478DMG|578VULN|6TBNT|78BPWR|9RPLT|aRCR
28	45212 11353	5	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178VULN|2SELL|3CGEN|478DUR|578DMG|6TBNT|78BPWR|9RPLT|aRCR
29	45213 11353	3	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178VULN|2SELL|3CGEN|478DMG|578DUR|6TBNT|78BPWR|9RPLT|aRCR
