0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32413 61531	7	 * 	271.30	DCR|5VULN|3DUR|1SELL	178ZMB|2BEXP|3789aVULN|4SELL|578DUR|6RCR|78BPWR
2	16462 32113	4	 * 	265.85	ACR|5VULN|3ASPD|2TLV|1DMG	1RCR|24aASPD|3479aVULN|4aBPWR|5DMG|6MLV|8aTLV
3	25224 22116	6	 * 	263.39	DCR|5VULN|1DMG|1TLV	14BEXP|2379aVULN|5DMG|6RCR|8TLV
4	12451 32243	10	 * 	262.87	ACR|4VULN|3DMG|1DUR|1AART	1RCR|29aERES|379aVULN|4LIT|5DUR|6AART|89aDMG|9aBPWR
5	22248 41431	9	 * 	261.64	DCR|4VULN|2DMG|1DUR	147BEXP|2MBVNT|347aVULN|47BPWR|5RPLT|67DMG|8DUR|9RCR
6	13245 23361	8	 * 	260.37	ACR|3VULN|3DUR|2DMG|2LIT|1ASPD	1RCR|247DUR|389VULN|59LIT|69DMG|9BPWR|aASPD
7	22246 23618	8	   	260.25	DCR|4VULN|2DMG|2LIT	147BEXP|2MBVNT|349aVULN|4aBPWR|5aLIT|6aDMG|8RCR
8	22246 23653	8	   	260.25	DCR|4VULN|2DMG|2LIT	147BEXP|2MBVNT|349aVULN|49BPWR|59LIT|69DMG|8RCR
9	16461 33222	6	 * 	258.85	ACR|4VULN|3DUR|3ASPD	1RCR|248ASPD|3489VULN|489BPWR|5BEXP|69LWND|789DUR|aLIT
10	16462 32211	4	 * 	257.08	ACR|4VULN|3ASPD|2DUR|1DMG	1RCR|24aASPD|347aVULN|4aBPWR|5DMG|6MLV|8aDUR|9TBNT
11	13261 15153	2	   	255.47	ACR|2VULN|3DUR|2DMG|1TLV|1CDMG|1AART	1RCR|239DUR|4LIT|59DMG|6CDMG|7TLV|89VULN|9BPWR|aAART
12	22243 82752	8	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	149BEXP|2MBVNT|349VULN|49BPWR|5TLV|6RCR|7LWND|89DMG|aDUR
13	22248 41434	10	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	147BEXP|2MBVNT|347VULN|47BPWR|5RPLT|67DMG|8DUR|9RCR|aTLV
14	13431 15152	2	 * 	254.79	ACR|2VULN|3DMG|2DUR|1TLV|2LIT|1CDMG	1RCR|29DUR|34LIT|59aDMG|6CDMG|7TLV|89VULN|9BPWR
15	13431 15152	3	   	254.79	ACR|2VULN|3DMG|2DUR|1TLV|2LIT|1CDMG	1RCR|29DUR|34LIT|59aDMG|6CDMG|7TLV|89VULN|9BPWR
