0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61263 36131	1	 * 	294.73	DCR|5VULN|2DMG|1DUR|1CDMG	13DMG|2345aVULN|3BPWR|6CGEN|7RCR|8DUR|9CDMG
2	61263 26113	1	 * 	291.78	DCR|4VULN|3DMG|2DUR	139DMG|2345VULN|3BPWR|6MLV|7RCR|8aDUR
3	61263 36113	1	   	291.78	DCR|4VULN|3DMG|2DUR	139DMG|2345VULN|3BPWR|6CGEN|7RCR|8aDUR
4	61263 26133	1	   	291.44	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2345VULN|3BPWR|6MLV|7RCR|8DUR|9CDMG|aTLV
5	61263 36133	1	   	291.44	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2345VULN|3BPWR|6CGEN|7RCR|8DUR|9CDMG|aTLV
6	61142 31433	10	 * 	289.30	DCR|3VULN|3DMG|2DUR|3LIT	17aDMG|2LWND|37aVULN|457LIT|6RCR|7aBPWR|8BELT|9aDUR
7	61214 24722	1	 * 	289.20	DCR|3VULN|3DMG|2DUR|2TLV	138DMG|237VULN|38BPWR|48TLV|5MBVNT|68DUR|9MLV|aRCR
8	61263 26112	1	   	286.86	DCR|4VULN|3DMG|1DUR|1AART	139DMG|2345VULN|3BPWR|6MLV|7RCR|8DUR|aAART
9	61263 36112	1	   	286.86	DCR|4VULN|3DMG|1DUR|1AART	139DMG|2345VULN|3BPWR|6CGEN|7RCR|8DUR|aAART
10	61142 31341	9	 * 	281.50	DCR|4VULN|2DMG|3LIT|1DUR	17DMG|2LWND|3789VULN|457LIT|6RCR|7BPWR|aDUR
11	64142 31331	7	   	281.50	DCR|4VULN|2DMG|3LIT|1DUR	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aDUR
12	64142 31331	8	   	281.50	DCR|4VULN|2DMG|3LIT|1DUR	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aDUR
13	64142 33331	6	   	281.50	DCR|4VULN|2DMG|3LIT|1DUR	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aDUR
14	61263 26212	1	   	281.08	DCR|5VULN|2DMG|1DUR	13DMG|23458VULN|3BPWR|6MLV|7RCR|9BEXP|aDUR
