0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63123 22522	5	 * 	299.34	DCR|4VULN|3DUR|3LIT|2CDMG|1DMG	178DUR|27aLIT|3DMG|4aCDMG|579aVULN|6RCR|7aBPWR
2	62332 22253	2	 * 	295.12	DCR|3VULN|3DUR|1TLV|3CDMG|2LIT	179DUR|279VULN|3TLV|4aLIT|579CDMG|6RCR|79BPWR|8AART
3	62532 22322	5	 * 	293.16	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|245aVULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9TLV
4	62532 23142	5	 * 	292.64	DCR|5VULN|3DMG|1DUR	1DUR|2459aVULN|357DMG|5BPWR|6RCR|8AART
5	12511 51143	5	 * 	290.60	DCR|4VULN|3DMG|1TLV|1DUR|1SELL	1SELL|2DUR|356DMG|4679VULN|6BPWR|8RCR|aTLV
6	62332 22252	2	   	288.57	DCR|3VULN|3DUR|1TLV|3CDMG	179DUR|279VULN|3TLV|4LIT|579CDMG|6RCR|79BPWR|8AART|aLHND
7	62332 22255	2	   	288.57	DCR|3VULN|3DUR|3CDMG|1TLV	179DUR|279VULN|3TLV|4LIT|579CDMG|6RCR|79BPWR|8AART|aFEWX
8	62332 22256	2	   	288.57	DCR|3VULN|3DUR|1TLV|3CDMG	179DUR|279VULN|3TLV|4LIT|579CDMG|6RCR|79BPWR|8AART|aBEXP
9	62332 22653	2	   	285.36	DCR|3VULN|3DUR|1TLV|3CDMG|2LIT	179DUR|279VULN|3TLV|4aLIT|579CDMG|6RCR|79BPWR|8DLOT
10	62532 25333	5	   	284.75	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2457VULN|35DMG|5BPWR|6RCR|8DUST|9TLV|aAART
11	62532 22317	5	 * 	284.09	DCR|3VULN|3DMG|2DUR|2ASPD	1aDUR|245VULN|35aDMG|5aBPWR|6RCR|7AART|8aASPD|9MBVNT
12	52532 61223	6	 * 	283.47	DCR|4VULN|2DMG|2TLV|1DUR	18LHND|2458VULN|35DMG|58BPWR|6CGEN|78TLV|9DUR|aRCR
13	62532 23533	5	 * 	283.34	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1DUR|245VULN|357DMG|5BPWR|6RCR|8CDMG|9DUST|aTLV
14	62532 23141	5	   	282.61	DCR|4VULN|3DMG|1DUR	1DUR|2459VULN|357DMG|5BPWR|6RCR|8AART|aLIT
15	62532 32411	5	 * 	282.27	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|245VULN|35DMG|5BPWR|6CDMG|8TLV|9BBNT|aRCR
16	62532 22335	5	   	280.60	DCR|4VULN|2DMG|1DUR|1CDMG	1DUR|2459VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|aCDMG
17	62512 42323	9	 * 	280.37	DCR|4VULN|2TLV|2DUR|1DMG	17DUR|2679VULN|3DMG|4FEWX|57TLV|7BPWR|8MLV|aRCR
18	62532 23151	5	   	279.46	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8AART|9RMIN|aTLV
19	62332 22116	2	 * 	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17DUR|279VULN|3TLV|4LIT|57CDMG|6RCR|7BPWR|8BBNT|aDMG
20	62532 23111	5	   	279.36	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8AART|9ERES|aTLV
21	62532 23121	5	   	279.36	DCR|3VULN|3DMG|1TLV|1DUR|1NUKE	1DUR|245VULN|357DMG|5BPWR|6RCR|8AART|9NUKE|aTLV
22	62125 31326	9	   	279.33	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	1DUR|2679VULN|3CDMG|4LWND|56TLV|6BPWR|8DMG|aRCR
23	62125 31336	8	   	279.33	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	1DUR|2679VULN|3CDMG|4LWND|56TLV|6BPWR|8DMG|aRCR
24	62332 22652	2	   	278.81	DCR|3VULN|3DUR|1TLV|3CDMG	179DUR|279VULN|3TLV|4LIT|579CDMG|6RCR|79BPWR|8DLOT|aLHND
25	63123 22512	5	   	278.29	DCR|3VULN|3DUR|3LIT|2CDMG|1DMG	178DUR|27aLIT|3DMG|4aCDMG|57aVULN|6RCR|7aBPWR|9RCVC
26	63123 22552	5	   	278.29	DCR|3VULN|3DUR|3LIT|2CDMG|1DMG	178DUR|27aLIT|3DMG|4aCDMG|57aVULN|6RCR|7aBPWR|9DMSP
27	62532 23236	5	   	278.10	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LWND|9TLV|aASPD
28	42532 23336	5	   	278.10	DCR|3VULN|3DMG|1TLV|1DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|8DUR|9TLV|aASPD
29	42532 21622	5	   	276.91	DCR|4VULN|2DMG|1TLV	1LWND|245aVULN|35DMG|5BPWR|6RCR|7ASPD|8AART|9TLV
30	42532 22322	5	   	276.91	DCR|4VULN|2DMG|1TLV	1LWND|245aVULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9TLV
31	52532 21622	5	   	276.91	DCR|4VULN|2DMG|1TLV	1LHND|245aVULN|35DMG|5BPWR|6RCR|7ASPD|8AART|9TLV
32	52532 22322	5	   	276.91	DCR|4VULN|2DMG|1TLV	1LHND|245aVULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9TLV
33	62532 22262	9	 * 	276.80	DCR|4VULN|3DUR|2DMG	178DUR|245aVULN|35DMG|5BPWR|6RMIN|9RCR
34	42532 23142	5	   	276.39	DCR|5VULN|3DMG	1LWND|2459aVULN|357DMG|5BPWR|6RCR|8AART
35	52532 23142	5	   	276.39	DCR|5VULN|3DMG	1LHND|2459aVULN|357DMG|5BPWR|6RCR|8AART
36	62532 25111	5	   	275.64	DCR|5VULN|2DMG|1DUR	1DUR|24578VULN|35DMG|5BPWR|6RCR|9ASPD|aLHND
37	62532 25113	5	   	275.64	DCR|5VULN|2DMG|1DUR	1DUR|24578VULN|35DMG|5BPWR|6RCR|9ASPD|aCGEN
38	62532 25112	5	   	275.54	DCR|5VULN|2DMG|1DUR	1DUR|24578VULN|35DMG|5BPWR|6RCR|9ASPD|aBBNT
39	62532 22333	5	   	275.26	DCR|4VULN|2DMG|1DUR	1DUR|2459VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|aLIT
40	52532 32143	9	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1LHND|2456VULN|35DMG|5BPWR|7DUR|8MLV|9TLV|aRCR
41	52532 32243	9	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1LHND|2456VULN|35DMG|5BPWR|7DUR|8CGEN|9TLV|aRCR
