0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63162 33134	10	 * 	274.30	DCR|5VULN|2TLV|1DUR|1ASPD	1DUST|24578VULN|34TLV|4BPWR|6DUR|9ASPD|aRCR
2	63162 33331	7	 * 	272.12	DCR|4VULN|2TLV|1DMG|1DUR	1DUST|2457VULN|34TLV|4BPWR|6DUR|8DMG|9RCR|aLIT
3	24332 13421	10	 * 	271.34	DCR|5VULN|3DUR	1RMIN|28FEWX|348DUR|5678aVULN|8BPWR|9RCR
4	24332 13424	9	   	271.34	DCR|5VULN|3DUR	1RMIN|28FEWX|348DUR|5678aVULN|8BPWR|9RCR
5	25132 13421	10	   	271.14	DCR|5VULN|3DUR	1RMIN|2LEGI|348DUR|5678aVULN|8BPWR|9RCR
6	25132 13424	9	   	271.14	DCR|5VULN|3DUR	1RMIN|2LEGI|348DUR|5678aVULN|8BPWR|9RCR
7	63135 13134	10	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1DUST|25678VULN|3TLV|4DUR|9ASPD|aRCR
8	63135 13331	7	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2567VULN|3TLV|4DUR|8DMG|9RCR|aLIT
9	25134 52213	7	 * 	266.71	DCR|3VULN|3DUR|2DMG	1RMIN|2LEGI|347DUR|57DMG|67aVULN|7BPWR|8RCR|9MLV
10	25134 52223	7	   	266.71	DCR|3VULN|3DUR|2DMG	1RMIN|2LEGI|347DUR|57DMG|67aVULN|7BPWR|8RCR|9LHND
11	25134 52323	7	   	266.61	DCR|3VULN|3DUR|2DMG	1RMIN|2LEGI|347DUR|57DMG|67aVULN|7BPWR|8TBNT|9RCR
12	63531 22521	9	   	266.14	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1DUST|28VULN|3CDMG|4TLV|58DUR|6MLV|78DMG|8BPWR|9AART|aRCR
13	63135 15331	6	 * 	264.07	DCR|3VULN|2DUR|2TLV|1DMG	17DUST|256VULN|37TLV|47DUR|7BPWR|8DMG|9RCR|aLIT
14	63162 36331	7	   	264.07	DCR|3VULN|2DUR|2TLV|1DMG	1DUST|245VULN|34TLV|4BPWR|67DUR|8DMG|9RCR|aLIT
15	63162 33332	7	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	1DUST|2457VULN|34TLV|4BPWR|6DUR|8DMG|9RCR|aCGEN
16	63162 33333	7	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	1DUST|2457VULN|34TLV|4BPWR|6DUR|8DMG|9RCR|aBEXP
17	63162 33334	7	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	1DUST|2457VULN|34TLV|4BPWR|6DUR|8DMG|9RCR|aRCVC
18	63162 33335	7	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	1DUST|2457VULN|34TLV|4BPWR|6DUR|8DMG|9RCR|aRMIN
19	63162 33336	7	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	1DUST|2457VULN|34TLV|4BPWR|6DUR|8DMG|9RCR|aRPLT
20	33112 61422	2	 * 	262.72	DCR|3VULN|3DMG|2LIT|1AART	179ERES|256DMG|369VULN|4AART|69BPWR|89LIT|aRCR
21	33112 64622	2	   	262.72	DCR|3VULN|3DMG|2LIT|1AART	189ERES|256DMG|369VULN|4AART|69BPWR|79LIT|aRCR
22	33521 63313	3	   	262.01	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	13ERES|26DMG|469VULN|5AART|6BPWR|7CDMG|8RCR|aDUR
23	33543 63313	4	   	262.01	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	13ERES|26DMG|4AART|569VULN|6BPWR|7CDMG|8RCR|aDUR
24	33521 63316	3	   	261.41	DCR|3VULN|3DMG|1CDMG|1AART	13ERES|26aDMG|469VULN|5AART|6BPWR|7CDMG|8RCR
25	63162 23474	7	 * 	260.59	DCR|5VULN|3TLV|1CDMG	18DUST|24578VULN|348TLV|48BPWR|6MBVNT|9CDMG|aRCR
26	63132 13331	7	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	15DUST|267VULN|3TLV|45DUR|5BPWR|8DMG|9RCR|aLIT
27	63135 16331	7	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|256VULN|3TLV|47DUR|8DMG|9RCR|aLIT
28	63135 23331	7	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|257VULN|3TLV|46DUR|8DMG|9RCR|aLIT
29	24332 13425	10	   	260.11	DCR|4VULN|3DUR	1RMIN|28FEWX|348DUR|5678VULN|8BPWR|9RCR|aLIT
30	63135 13332	7	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2567VULN|3TLV|4DUR|8DMG|9RCR|aCGEN
31	63135 13333	7	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2567VULN|3TLV|4DUR|8DMG|9RCR|aBEXP
32	63135 13334	7	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2567VULN|3TLV|4DUR|8DMG|9RCR|aRCVC
33	63135 13335	7	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2567VULN|3TLV|4DUR|8DMG|9RCR|aRMIN
34	63135 13336	7	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2567VULN|3TLV|4DUR|8DMG|9RCR|aRPLT
35	25132 13425	10	   	259.91	DCR|4VULN|3DUR	1RMIN|2LEGI|348DUR|5678VULN|8BPWR|9RCR|aLIT
36	24231 62623	1	 * 	259.79	DCR|4VULN|2DUR|2ASPD	1RMIN|237aVULN|4RPLT|57ASPD|67DUR|7BPWR|8RCR|9FEWX
37	24231 62261	1	   	259.79	DCR|4VULN|2DUR|2ASPD	1RMIN|2379VULN|4RPLT|57ASPD|67DUR|7BPWR|8RCVC|aRCR
38	24336 22261	1	   	259.79	DCR|4VULN|2DUR|2ASPD	1RMIN|2679VULN|37DUR|4RPLT|57ASPD|7BPWR|8RCVC|aRCR
39	24336 22623	1	   	259.79	DCR|4VULN|2DUR|2ASPD	1RMIN|267aVULN|37DUR|4RPLT|57ASPD|7BPWR|8RCR|9FEWX
40	66332 13324	6	   	259.49	DCR|4VULN|2DUR|2ASPD	123DUST|28BPWR|48DUR|589aVULN|6RCR|78ASPD
41	33422 25261	2	 * 	258.44	DCR|4VULN|2DUR|1DMG	17ERES|2DMG|3RPLT|47DUR|5679VULN|7BPWR|8RCVC|aRCR
42	33622 25261	3	   	258.44	DCR|4VULN|2DUR|1DMG	17ERES|2DMG|3RPLT|47DUR|5679VULN|7BPWR|8RCVC|aRCR
43	25213 11811	1	 * 	258.37	DCR|3VULN|3DMG|3LIT	1RMIN|278LIT|3FEWX|4MBVNT|578VULN|678DMG|78BPWR|9RPLT|aRCR
44	25333 11811	3	   	258.27	DCR|3VULN|3DMG|3LIT	1RMIN|2LEGI|3MBVNT|478LIT|578VULN|678DMG|78BPWR|9RPLT|aRCR
45	63162 35112	6	 * 	258.24	DCR|4VULN|2DUR|3TLV	17DUST|245aVULN|347TLV|47BPWR|67DUR|8TBNT|9RCR
46	25121 13314	6	   	258.19	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RMIN|2LEGI|3aDUR|4aDMG|5LIT|6CDMG|7aVULN|8AART|9RCR|aBPWR
47	22512 53421	10	   	258.11	DCR|5VULN|2DUR	1RMIN|238LWND|4578aVULN|68DUR|8BPWR|9RCR
