0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31512 33354	6	 * 	302.64	DCR|4VULN|3DMG|2DUR|1ASPD|1SELL	1SELL|2679VULN|3ASPD|47DUR|567DMG|67BPWR|8LEGI|aRCR
2	31242 42323	6	 * 	281.36	DCR|4VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|2349VULN|5TLV|69DMG|79CDMG|8DMSP|9BPWR|aRCR
3	16344 71223	6	 * 	280.58	DCR|5VULN|3DMG	19aFEWX|2ERES|3MBVNT|4589aVULN|6RCR|79aDMG|9aBPWR
4	16344 72723	8	   	280.58	DCR|5VULN|3DMG	19aFEWX|2ERES|3MBVNT|4579aVULN|6RCR|89aDMG|9aBPWR
5	23348 71223	6	   	280.38	DCR|5VULN|3DMG	19aERES|2BEXP|3MBVNT|4589aVULN|6RCR|79aDMG|9aBPWR
6	23348 72723	8	   	280.38	DCR|5VULN|3DMG	19aERES|2BEXP|3MBVNT|4579aVULN|6RCR|89aDMG|9aBPWR
7	24348 71223	6	   	280.28	DCR|5VULN|3DMG	19aERES|2DUST|3MBVNT|4589aVULN|6RCR|79aDMG|9aBPWR
8	31512 33134	6	 * 	280.10	DCR|3VULN|3DMG|2DUR|1ASPD|1SELL	1SELL|267VULN|3ASPD|47DUR|567DMG|67BPWR|8RMIN|9MLV|aRCR
9	31512 33512	6	 * 	280.00	DCR|3VULN|3DMG|2DUR|1ASPD|1SELL	1SELL|267VULN|3ASPD|47DUR|567DMG|67BPWR|8BEXP|9MBVNT|aRCR
10	31512 33312	6	 * 	279.90	DCR|3VULN|3DMG|2DUR|1ASPD|1SELL	1SELL|267VULN|3ASPD|47DUR|567DMG|67BPWR|8LEGI|9MBVNT|aRCR
11	31261 15225	4	 * 	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|236aVULN|4BELT|5aDUR|7RCR|8TBNT|9aDMG|aBPWR
12	31261 25225	5	 * 	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|235aVULN|4BELT|6aDUR|7RCR|8TBNT|9aDMG|aBPWR
13	31261 32225	4	 * 	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|237aVULN|4BELT|5aDUR|6RCR|8TBNT|9aDMG|aBPWR
14	14532 61331	7	 * 	274.89	DCR|4VULN|3ASPD|1DMG|1DUR	159FEWX|2DUR|379ASPD|4589VULN|59BPWR|6RCR|aDMG
15	31512 36122	10	   	273.62	DCR|3VULN|3DMG|1DUR|1ASPD|1SELL	1SELL|268VULN|3ASPD|4DUR|567DMG|6BPWR|9RCR|aLIT
16	31223 31522	3	 * 	273.15	DCR|4VULN|2DUR|1DMG|2LIT|1SELL	1SELL|239aVULN|4DMG|5BBNT|6RCR|7aLIT|8aDUR|aBPWR
17	31226 31522	3	 * 	273.15	DCR|4VULN|2DUR|1DMG|2LIT|1SELL	1SELL|239aVULN|4DMG|5TBNT|6RCR|7aLIT|8aDUR|aBPWR
18	31523 31522	2	 * 	273.15	DCR|4VULN|2DUR|1DMG|2LIT|1SELL	1SELL|239aVULN|4DMG|5BBNT|6RCR|7aLIT|8aDUR|aBPWR
19	31526 31522	2	 * 	273.15	DCR|4VULN|2DUR|1DMG|2LIT|1SELL	1SELL|239aVULN|4DMG|5TBNT|6RCR|7aLIT|8aDUR|aBPWR
