0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33523 61632	1	 * 	277.75	DCR|2VULN|3DMG|2DUR|1TLV|1AART	1RCVC|27VULN|3AART|4LIT|57DUR|679DMG|7BPWR|8RCR|aTLV
2	63342 16231	3	 * 	268.03	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|28LHND|379VULN|4CDMG|58DMG|6RCR|8BPWR|aLIT
3	66332 16231	4	   	268.03	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|28BEXP|379VULN|4CDMG|58DMG|6RCR|8BPWR|aLIT
4	66332 16233	4	   	268.03	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|28BEXP|379VULN|4CDMG|58DMG|6RCR|8BPWR|aASPD
5	62213 52532	3	 * 	267.30	DCR|4VULN|2TLV|1DMG|1AART	15TLV|2ERES|3LIT|457aVULN|5BPWR|6RCR|8DMG|9AART
6	63333 33253	8	 * 	265.44	DCR|5VULN|1TLV|1DUR|1AART	1TLV|2LHND|36789VULN|4AART|5DUR|aRCR
7	62153 41228	6	 * 	265.24	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|2ERES|3MBVNT|457DUR|67DMG|7BPWR|89VULN|aRCR
8	63333 33265	10	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2LHND|3678VULN|4AART|5DUR|9CDMG|aRCR
9	34117 18222	8	 * 	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1RCVC|2MBVNT|36DUR|4AART|568VULN|6BPWR|7TLV|9RCR|aDMG
10	33523 61623	1	 * 	260.49	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|27aVULN|3AART|4LIT|57DUR|67DMG|7BPWR|8RCR|9DUST
11	33566 13243	1	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|29aVULN|3AART|4MBVNT|5LIT|69DUR|7RCR|89DMG|9BPWR
12	34316 13243	4	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|2MBVNT|39aVULN|4AART|5LIT|69DUR|7RCR|89DMG|9BPWR
13	45221 12352	5	 * 	260.37	DCR|3VULN|2TLV|3ASPD|1DMG	12aASPD|3LWND|47aVULN|5DMG|6LIT|8RCR|9aTLV|aBPWR
14	45221 22352	6	   	260.37	DCR|3VULN|2TLV|3ASPD|1DMG	12aASPD|3LWND|47aVULN|5DMG|6LIT|8RCR|9aTLV|aBPWR
15	63342 16233	3	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|28LHND|379VULN|4CDMG|58DMG|6RCR|8BPWR|aMLV
16	66332 16232	4	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|28BEXP|379VULN|4CDMG|58DMG|6RCR|8BPWR|aLHND
17	63342 16232	3	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|28LHND|379VULN|4CDMG|58DMG|6RCR|8BPWR|aLEGI
18	33353 32552	1	   	259.59	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	1RCVC|23aVULN|4aLIT|5RMIN|6RCR|7DUR|8DMG|9aTLV|aBPWR
19	34473 42361	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1RCVC|2MBVNT|3LIT|467VULN|56DUR|6BPWR|8RCR|9TLV|aDMG
20	64213 52133	3	   	257.64	DCR|4VULN|2TLV|1DMG	15TLV|2MLV|3LIT|4578VULN|5BPWR|6RCR|9TBNT|aDMG
21	34317 31533	10	 * 	257.27	DCR|5VULN|2TLV|1AART	1RCVC|2MBVNT|3567aVULN|4AART|8aTLV|9RCR|aBPWR
22	34524 31117	6	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|2MBVNT|37DMG|467VULN|57DUR|7BPWR|8ERES|9RCR|aCDMG
23	64213 52112	3	   	256.02	DCR|5VULN|2TLV	15TLV|2MLV|3LIT|45789VULN|5BPWR|6RCR|aCGEN
24	64213 52113	3	   	256.02	DCR|5VULN|2TLV	15TLV|2MLV|3LIT|45789VULN|5BPWR|6RCR|aLHND
25	62213 52112	3	   	255.92	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aCGEN
26	62213 52113	3	   	255.92	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aLHND
27	62213 52114	3	   	255.92	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aLWND
28	62213 52115	3	   	255.92	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aZMB
29	62213 52162	3	   	255.92	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|4578aVULN|5BPWR|6RCR|9RPLT
30	62263 52112	4	   	255.92	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aCGEN
31	62263 52113	4	   	255.92	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aLHND
32	64213 52111	3	   	255.92	DCR|5VULN|2TLV	15TLV|2MLV|3LIT|45789VULN|5BPWR|6RCR|aDUST
33	62213 52111	3	   	255.82	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aDUST
34	62213 52116	3	   	255.82	DCR|5VULN|2TLV	15TLV|2aERES|3LIT|45789VULN|5BPWR|6RCR
35	62263 52111	4	   	255.82	DCR|5VULN|2TLV	15TLV|2ERES|3LIT|45789VULN|5BPWR|6RCR|aDUST
36	34353 31338	5	 * 	255.75	DCR|3VULN|3DUR|2DMG	1RCVC|2MBVNT|378VULN|457DUR|67DMG|7BPWR|9LHND|aRCR
37	34353 41338	6	   	255.75	DCR|3VULN|3DUR|2DMG	1RCVC|2MBVNT|378VULN|457DUR|67DMG|7BPWR|9LHND|aRCR
38	34524 41248	5	   	255.44	DCR|2VULN|3DMG|2DUR|1CDMG	1RCVC|2MBVNT|367DMG|47VULN|57DUR|7BPWR|8LIT|9RCR|aCDMG
39	34524 41247	5	 * 	255.02	DCR|2VULN|3DMG|3DUR	1RCVC|2MBVNT|367DMG|47VULN|57aDUR|7BPWR|8LIT|9RCR
40	34117 18221	8	   	254.28	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1RCVC|2MBVNT|36DUR|4AART|568VULN|6BPWR|7TLV|9RCR|aCDMG
41	62213 52511	3	   	254.18	DCR|3VULN|2DMG|2TLV	15TLV|2ERES|3LIT|457VULN|5BPWR|6RCR|8aDMG|9LHND
42	62213 52521	3	   	254.18	DCR|3VULN|2DMG|2TLV	15TLV|2ERES|3LIT|457VULN|5BPWR|6RCR|8aDMG|9FEWX
43	63333 44123	10	   	253.88	DCR|3VULN|1TLV|1DMG|2AART|1DUR	1TLV|2LHND|37aVULN|48AART|5DUR|6RCR|9DMG
44	62213 52161	3	   	253.83	DCR|4VULN|2TLV|1DUR	15TLV|2ERES|3LIT|4578VULN|5BPWR|6RCR|9RPLT|aDUR
45	42312 61314	3	   	253.31	DCR|2VULN|3DMG|1TLV|2ASPD	1aASPD|2ERES|3RCVC|46aDMG|5TLV|7LIT|8RCR|9aVULN|aBPWR
46	42212 61314	2	   	253.21	DCR|2VULN|3DMG|1TLV|2ASPD	1aASPD|23ERES|46aDMG|5TLV|7LIT|8RCR|9aVULN|aBPWR
47	46121 12352	5	   	252.94	DCR|3VULN|2TLV|1DMG|2ASPD	1aASPD|23FEWX|47aVULN|5DMG|6LIT|8RCR|9aTLV|aBPWR
48	46121 22352	6	   	252.94	DCR|3VULN|2TLV|1DMG|2ASPD	1aASPD|23FEWX|47aVULN|5DMG|6LIT|8RCR|9aTLV|aBPWR
49	34354 22184	7	 * 	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	1RCVC|2MBVNT|38aVULN|4aDUR|5BEXP|6RCR|7CDMG|9aTLV|aBPWR
50	34354 24184	6	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	1RCVC|2MBVNT|37aVULN|4aDUR|5BEXP|6RCR|8CDMG|9aTLV|aBPWR
51	61333 11451	1	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|2LHND|39DUR|4TBNT|5ERES|6CDMG|79aVULN|8RCR|9BPWR
52	63333 11451	1	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|2LWND|39DUR|4TBNT|5ERES|6CDMG|79aVULN|8RCR|9BPWR
53	63333 11451	2	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|2LHND|39DUR|4TBNT|5ERES|6CDMG|79aVULN|8RCR|9BPWR
54	34524 31115	6	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|2MBVNT|37DMG|467VULN|57DUR|7BPWR|8ERES|9RCR|aAART
55	33523 61631	1	   	251.55	DCR|2VULN|3DMG|2DUR|1AART	1RCVC|27VULN|3AART|4LIT|57DUR|679DMG|7BPWR|8RCR|aZMB
56	13213 52451	3	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	1ERES|25LIT|3RMIN|457VULN|5BPWR|6RCR|8DUR|9TLV|aDMG
57	62213 52135	3	   	251.13	DCR|4VULN|2TLV|1CDMG	15TLV|2ERES|3LIT|4578VULN|5BPWR|6RCR|9TBNT|aCDMG
58	62213 52126	3	   	250.98	DCR|4VULN|2TLV|1CDMG|1SELL	15TLV|2ERES|3LIT|4578VULN|5BPWR|6RCR|9SELL|aCDMG
59	63364 73222	8	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2LHND|3678VULN|4MBVNT|5AART|9RCR|aDMG
60	63342 11251	3	 * 	250.78	DCR|2VULN|3DMG|3TLV|1CDMG	189TLV|289LHND|3aVULN|4CDMG|589DMG|6RCR|7DMSP|89BPWR
61	34524 31113	6	   	250.73	DCR|3VULN|2DMG|2DUR	1RCVC|2MBVNT|37DMG|467VULN|57DUR|7BPWR|8ERES|9RCR|aLIT
62	16332 24522	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2BEXP|36aVULN|4CDMG|5DUR|7RCR|8DMG|9TLV
63	61342 16121	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9BBNT
64	61342 16132	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9ERES
65	63342 16121	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LWND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9BBNT
66	63342 16121	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9BBNT
67	63342 16132	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9ERES
68	63342 16132	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LWND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9ERES
69	63632 16121	4	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9BBNT
70	63632 16132	4	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3DUR|4CDMG|5DMG|6RCR|78aVULN|9ERES
71	66242 12121	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2BEXP|38aVULN|4CDMG|5DMG|6RCR|7DUR|9BBNT
72	66242 12132	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2BEXP|38aVULN|4CDMG|5DMG|6RCR|7DUR|9ERES
73	66332 12121	4	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2BEXP|38aVULN|4CDMG|5DMG|6RCR|7DUR|9BBNT
74	66332 12132	4	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2BEXP|38aVULN|4CDMG|5DMG|6RCR|7DUR|9ERES
75	66342 12121	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2BEXP|38aVULN|4CDMG|5DMG|6RCR|7DUR|9BBNT
76	66342 12132	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2BEXP|38aVULN|4CDMG|5DMG|6RCR|7DUR|9ERES
77	66242 12121	1	   	249.90	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DUST|38aVULN|4CDMG|5DMG|6RCR|7DUR|9BBNT
78	33566 13242	1	   	249.45	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RCVC|29VULN|3AART|4MBVNT|5LIT|69DUR|7RCR|89DMG|9BPWR|aCDMG
79	34316 13242	4	   	249.45	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RCVC|2MBVNT|39VULN|4AART|5LIT|69DUR|7RCR|89DMG|9BPWR|aCDMG
80	33523 61622	1	   	249.45	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RCVC|27VULN|3AART|4LIT|57DUR|67DMG|7BPWR|8RCR|9DUST|aCDMG
81	63321 16252	3	 * 	249.39	DCR|4VULN|3TLV|1DMG|1SELL	189TLV|2LHND|3789VULN|489ZMB|5SELL|6RCR|89BPWR|aDMG
82	63321 16234	3	   	249.29	DCR|4VULN|2TLV|1DMG|1SELL	18TLV|2LHND|3789VULN|48ZMB|5SELL|6RCR|8BPWR|aDMG
83	34117 18223	8	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	1RCVC|2MBVNT|36DUR|4AART|568VULN|6BPWR|7TLV|9RCR|aLIT
84	34524 41246	5	   	248.34	DCR|2VULN|3DMG|2DUR|2LIT	1RCVC|2MBVNT|367DMG|47VULN|57DUR|7BPWR|8aLIT|9RCR
85	66332 12163	4	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|2BEXP|38VULN|4CDMG|5DMG|6RCR|79DUR|aLIT
86	61333 11452	1	   	248.07	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|2LHND|39DUR|4TBNT|5ERES|6CDMG|79VULN|8RCR|9BPWR|aDMG
87	63333 11452	1	   	248.07	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|2LWND|39DUR|4TBNT|5ERES|6CDMG|79VULN|8RCR|9BPWR|aDMG
88	63333 11452	2	   	248.07	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|2LHND|39DUR|4TBNT|5ERES|6CDMG|79VULN|8RCR|9BPWR|aDMG
