0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21326 43131	2	 * 	296.09	DCR|4VULN|2DMG|3ASPD|3TLV	147TLV|247ASPD|3TBNT|47aBPWR|579aVULN|6RCR|8aDMG
2	36541 22311	9	 * 	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	14aDMG|2LEGI|346DUR|46BPWR|567VULN|8CDMG|9RCR
3	32531 35116	3	   	293.75	DCR|3VULN|3DMG|2DUR|2LIT	18aDMG|24DUR|3AART|58LIT|678VULN|8BPWR|9RCR
4	31121 65213	10	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	19aDMG|2ASPD|39aDUR|4BEXP|5ZMB|69aVULN|7RPLT|8RCR|9aBPWR
5	31246 26313	1	 * 	290.35	DCR|3VULN|3DMG|2DUR|2ASPD	159DMG|2TBNT|34aVULN|6RCR|79DUR|89ASPD|9BPWR
6	36541 22312	10	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	14DMG|2LEGI|346DUR|46BPWR|567VULN|8CDMG|9RCR|aLIT
7	31116 31636	10	   	288.45	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1aDMG|2aASPD|34DUR|5CDMG|67aVULN|8BELT|9RCR|aBPWR
8	32121 31561	10	 * 	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	17DMG|27DUR|3RCVC|4BELT|5678VULN|7BPWR|9ASPD|aRCR
9	36541 22312	9	 * 	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	14DMG|2LEGI|346DUR|46BPWR|567VULN|8aCDMG|9RCR
10	12141 25113	4	   	286.16	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|2LWND|3678VULN|48DMG|5AART|8BPWR|9RCR|aDUR
11	12231 25113	2	   	286.16	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|2LWND|38DMG|4678VULN|5AART|8BPWR|9RCR|aDUR
12	16141 25113	4	   	286.16	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|2LHND|3678VULN|48DMG|5AART|8BPWR|9RCR|aDUR
13	16231 25113	2	   	286.16	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|2LHND|38DMG|4678VULN|5AART|8BPWR|9RCR|aDUR
14	36331 25113	2	   	286.06	DCR|4VULN|2DMG|1DUR|2LIT	18DMG|2LEGI|38LIT|4678VULN|5AART|8BPWR|9RCR|aDUR
15	32531 35113	3	   	285.87	DCR|3VULN|2DMG|2DUR|2AART|2LIT	18DMG|24DUR|3aAART|58LIT|678VULN|8BPWR|9RCR
16	12141 25116	4	 * 	285.56	DCR|4VULN|3DMG|2LIT	18LIT|2LWND|3678VULN|48aDMG|5AART|8BPWR|9RCR
17	12231 25116	2	   	285.56	DCR|4VULN|3DMG|2LIT	18LIT|2LWND|38aDMG|4678VULN|5AART|8BPWR|9RCR
18	16231 25116	2	   	285.56	DCR|4VULN|3DMG|2LIT	18LIT|2LHND|38aDMG|4678VULN|5AART|8BPWR|9RCR
19	36331 25116	2	   	285.46	DCR|4VULN|3DMG|2LIT	18aDMG|2LEGI|38LIT|4678VULN|5AART|8BPWR|9RCR
20	32144 35232	8	   	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	17DMG|25DUR|3RCVC|478VULN|67CDMG|7BPWR|9ASPD|aRCR
21	32251 22442	5	   	282.46	DCR|3VULN|3DMG|3DUR	18aDMG|28aDUR|3LWND|4FEWX|58aVULN|6RCR|7BBNT|8aBPWR|9LEGI
22	31261 21553	10	 * 	282.31	DCR|4VULN|3DMG|2ASPD|1SELL	169DMG|2aASPD|39aFEWX|4RMIN|569aVULN|69aBPWR|7SELL|8RCR
23	31111 62651	7	 * 	281.18	DCR|2VULN|3DUR|2DMG|2ASPD|2TLV	1aDMG|25ASPD|345DUR|5aBPWR|6BELT|7RCR|8aTLV|9aVULN
24	36541 22313	9	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	14DMG|2LEGI|346DUR|46BPWR|567VULN|8CDMG|9RCR|aRCVC
25	36541 22313	10	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	14DMG|2LEGI|346DUR|46BPWR|567VULN|8CDMG|9RCR|aRPLT
26	31116 16351	9	   	280.21	DCR|2VULN|3DMG|3DUR|1CDMG|1ASPD	19aDMG|2ASPD|349DUR|5CDMG|6ZMB|7RCR|89VULN|9BPWR
27	35221 25113	4	   	279.61	DCR|4VULN|2DMG|1DUR	18DMG|2LIT|38LWND|4678VULN|5AART|8BPWR|9RCR|aDUR
28	35231 25113	3	   	279.61	DCR|4VULN|2DMG|1DUR	18DMG|2LIT|38LWND|4678VULN|5AART|8BPWR|9RCR|aDUR
29	35331 25113	2	   	279.61	DCR|4VULN|2DMG|1DUR	18DMG|2LIT|38LWND|4678VULN|5AART|8BPWR|9RCR|aDUR
30	32531 35116	4	   	279.17	DCR|3VULN|3DMG|1DUR|2LIT	18aDMG|2DUR|3AART|4RCVC|58LIT|678VULN|8BPWR|9RCR
31	35221 25116	4	   	279.01	DCR|4VULN|3DMG	18aDMG|2LIT|38LWND|4678VULN|5AART|8BPWR|9RCR
32	35231 25116	3	   	279.01	DCR|4VULN|3DMG	18aDMG|2LIT|38LWND|4678VULN|5AART|8BPWR|9RCR
33	35331 25116	2	   	279.01	DCR|4VULN|3DMG	18aDMG|2LIT|38LWND|4678VULN|5AART|8BPWR|9RCR
34	21326 43132	2	   	278.40	DCR|4VULN|3ASPD|3TLV|1DMG	147TLV|247ASPD|3TBNT|47BPWR|579aVULN|6RCR|8DMG
35	31513 32143	6	 * 	278.11	DCR|5VULN|1DMG|2CDMG|1ASPD	1DMG|2ASPD|35CDMG|46789VULN|aRCR
36	31513 52143	5	   	278.11	DCR|5VULN|1DMG|2CDMG|1ASPD	1DMG|2ASPD|35CDMG|46789VULN|aRCR
37	32531 35111	3	   	278.10	DCR|3VULN|2DMG|2DUR|2LIT	18DMG|24DUR|3AART|58LIT|678VULN|8BPWR|9RCR|aBEXP
38	32531 35112	3	   	278.10	DCR|3VULN|2DMG|2DUR|2LIT	18DMG|24DUR|3AART|58LIT|678VULN|8BPWR|9RCR|aFEWX
39	32531 35115	3	   	278.10	DCR|3VULN|2DMG|2DUR|2LIT	18DMG|24DUR|3AART|58LIT|678VULN|8BPWR|9RCR|aZMB
40	32531 35114	3	   	278.00	DCR|3VULN|2DMG|2DUR|2LIT	18DMG|24DUR|3AART|58LIT|678VULN|8BPWR|9RCR|aDUST
41	31112 23246	10	   	276.81	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	1aDMG|2ASPD|34aDUR|5AART|6LHND|7RCR|8TLV|9aVULN|aBPWR
42	31445 32213	8	 * 	276.77	DCR|2VULN|3DMG|3DUR|2ASPD	17aDMG|23ASPD|47VULN|5RPLT|678DUR|7BPWR|9RCR
43	32121 31411	7	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|27DUR|3RCVC|4BELT|5679VULN|7BPWR|8RMIN|aRCR
44	32121 31511	9	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|27DUR|3RCVC|4BELT|5678VULN|7BPWR|9CGEN|aRCR
45	32121 31521	8	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|27DUR|3RCVC|4BELT|5678VULN|7BPWR|9RMIN|aRCR
