0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16315 34323	7	 * 	299.02	DCR|4VULN|3DMG|2TLV|1DUR	18TLV|268aVULN|3DUR|4LWND|568DMG|68BPWR|7RCR|9BBNT
2	16315 34322	7	 * 	292.56	DCR|3VULN|3DMG|2TLV|2DUR	18TLV|268VULN|3aDUR|4LWND|568DMG|68BPWR|7RCR|9BBNT
3	16132 33324	9	   	291.58	DCR|4VULN|2DMG|2TLV|1DUR	17TLV|267aVULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR
4	12333 85163	3	 * 	291.50	DCR|4VULN|3DUR|2TLV	17TLV|2MBVNT|3AART|4678VULN|567DUR|67BPWR|9LIT|aRCR
5	16132 32635	10	 * 	291.08	DCR|4VULN|3DMG|3TLV	189TLV|2689VULN|3ERES|4ASPD|589DMG|7RMIN|89BPWR|aRCR
6	12276 24315	3	 * 	285.26	DCR|5VULN|2DMG|2TLV	13TLV|2MBVNT|4678aVULN|56DMG|6BPWR|9RCR
7	16236 24315	3	   	285.26	DCR|5VULN|2DMG|2TLV	13TLV|2678aVULN|4MBVNT|56DMG|6BPWR|9RCR
8	16252 24315	5	   	285.26	DCR|5VULN|2DMG|2TLV	13TLV|2678aVULN|4MBVNT|56DMG|6BPWR|9RCR
9	16132 33321	9	   	284.18	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aCDMG
10	16132 33324	10	   	284.18	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aCDMG
11	12333 85614	3	 * 	283.29	DCR|4VULN|3DUR|3TLV	17aTLV|2MBVNT|3AART|467aVULN|567DUR|67aBPWR|8RCR|9aCGEN
12	12351 24133	8	   	283.19	DCR|4VULN|3DUR|3TLV	17aTLV|2MBVNT|3AART|478aVULN|5RPLT|67aDUR|7aBPWR|9RCR
13	12381 54133	8	   	283.19	DCR|4VULN|3DUR|3TLV	17aTLV|2MBVNT|3AART|47aDUR|5RPLT|678aVULN|7aBPWR|9RCR
14	12333 85621	3	   	283.09	DCR|4VULN|3DUR|2TLV	17TLV|2MBVNT|3AART|467aVULN|567DUR|67BPWR|8RCR|9DUST
15	12333 85484	3	 * 	282.20	DCR|3VULN|3DUR|2TLV|1DMG	17TLV|2MBVNT|3AART|467VULN|567DUR|67BPWR|8BELT|9DMG|aRCR
16	16335 33333	3	 * 	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1aTLV|247aVULN|34DUR|4aBPWR|5DMG|6LEGI|8aBEXP|9RCR
