0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56136 22434	6	 * 	305.46	DCR|4VULN|3DUR|2DMG|1TLV|1SELL	1269VULN|3SELL|469DUR|5MBVNT|69BPWR|7RCR|89DMG|aTLV
2	52136 22436	6	 * 	297.51	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|269BPWR|3SELL|469DUR|5MBVNT|7RCR|89DMG|aLIT
3	52262 53331	6	 * 	295.76	DCR|5VULN|2DMG|2DUR	12689VULN|29BPWR|3LWND|49DMG|5RPLT|79DUR|aRCR
4	52513 26112	9	   	293.20	DCR|5VULN|2DMG|2TLV	12489VULN|249BPWR|3RPLT|5LIT|69DMG|79TLV|aRCR
5	52323 26421	8	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	128aVULN|2aBPWR|3RCVC|4aDUR|5MLV|6TLV|7aDMG|9RCR
6	55212 12336	1	 * 	291.40	DCR|5VULN|3DUR|2TLV	1579aVULN|2LHND|39TLV|459DUR|59BPWR|6BELT|8RCR
7	52362 44641	2	   	289.87	DCR|4VULN|2DMG|2TLV|2LIT	125aVULN|25aBPWR|3MBVNT|45DMG|6RCR|7aTLV|8AART|9aLIT
8	55611 33231	4	   	289.81	DCR|4VULN|2DMG|2TLV|1DUR	136aVULN|2aTLV|4DUR|5LIT|7DLOT|8aDMG|9RCR|aBPWR
9	52162 61333	5	   	289.53	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1279VULN|29BPWR|3SELL|4DUST|59DMG|69DUR|8RCR|aCDMG
10	52262 53211	6	 * 	289.45	DCR|4VULN|3DUR|2DMG	1268VULN|28BPWR|3LWND|48DMG|5RPLT|789DUR|aRCR
11	51136 22435	6	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	169aVULN|2RCVC|3SELL|469DUR|5MBVNT|69BPWR|7RCR|89DMG
12	52136 22432	6	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|269BPWR|3SELL|469DUR|5MBVNT|7RCR|89DMG|aBEXP
13	52136 22434	6	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|269BPWR|3SELL|469DUR|5MBVNT|7RCR|89DMG|aMLV
14	52136 22438	6	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|269BPWR|3SELL|469DUR|5MBVNT|7RCR|89DMG|aFEWX
15	52136 22473	6	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	126aVULN|26aBPWR|3SELL|46aDUR|5MBVNT|7RCR|8aDMG|9BELT
16	56136 22431	6	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|3SELL|469DUR|5MBVNT|69BPWR|7RCR|89DMG|aRMIN
17	52136 22431	6	   	289.11	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|269BPWR|3SELL|469DUR|5MBVNT|7RCR|89DMG|aDUST
18	52136 22435	6	   	289.11	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|269BPWR|3SELL|469DUR|5MBVNT|7RCR|89DMG|aBBNT
19	56136 22432	6	   	289.11	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|3SELL|469DUR|5MBVNT|69BPWR|7RCR|89DMG|aLEGI
