0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21333 25366	6	 * 	273.29	DCR|4VULN|3ASPD|3TLV|2LIT	189TLV|27LIT|3MBVNT|489ASPD|5689VULN|89BPWR|aRCR
2	25121 23511	9	 * 	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478aVULN|5LWND|6RCR|9DMG
3	51347 47141	8	 * 	267.99	DCR|4VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|4678VULN|57DUR|7BPWR|9RCVC|aRCR
4	51347 47342	7	   	267.99	DCR|4VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|467aVULN|57DUR|7BPWR|8LWND|9RCR
5	51347 47132	8	   	267.75	DCR|4VULN|2DUR|2ASPD|1SELL	17ASPD|2LIT|3MBVNT|4678VULN|57DUR|7BPWR|9SELL|aRCR
6	21333 28366	6	   	266.74	DCR|4VULN|3ASPD|3TLV	189TLV|2LIT|3MBVNT|489ASPD|5689VULN|7DMSP|89BPWR|aRCR
7	21134 36361	4	 * 	266.30	DCR|3VULN|2ASPD|3LIT|3TLV|1DMG	179TLV|278LIT|3CGEN|49ASPD|579VULN|6RCR|79BPWR|aDMG
8	51343 37162	9	   	265.55	DCR|3VULN|2DUR|2ASPD|2LIT|1CDMG	17ASPD|25LIT|3MBVNT|478VULN|67DUR|7BPWR|9CDMG|aRCR
9	25123 26421	10	 * 	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|459VULN|6MLV|78DMG|aRCR
10	35125 21115	5	 * 	263.20	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5TLV|6aDMG|7DUR|8LHND|9RCR|aBPWR
11	25136 15121	8	   	261.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|5DUR|6RCR|7DMG|89aVULN
12	25136 15131	9	   	261.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|5DUR|6RCR|7DMG|89aVULN
13	21221 53436	10	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1TLV|2LIT|3FEWX|4AART|5DMG|678aVULN|9RCR
14	21321 43557	10	   	261.72	DCR|4VULN|1DMG|1TLV|1AART	1TLV|2LIT|3MBVNT|4AART|5DMG|678aVULN|9RCR
15	21334 33145	2	   	261.19	DCR|3VULN|2ASPD|2TLV|1DMG|2LIT	18TLV|28LIT|3ZMB|47ASPD|58aVULN|6RCR|8BPWR|9DMG
16	23334 33145	1	   	261.19	DCR|3VULN|2ASPD|2TLV|1DMG|2LIT	18TLV|28LIT|3ZMB|47ASPD|58aVULN|6RCR|8BPWR|9DMG
17	21321 34718	5	 * 	260.58	DCR|3VULN|2DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78aVULN|8BPWR|9BEXP
18	21321 34758	5	   	260.58	DCR|3VULN|2DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78aVULN|8BPWR|9FEWX
19	21321 44718	7	   	260.58	DCR|3VULN|2DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68aVULN|7RCR|8BPWR|9BEXP
20	21321 44758	7	   	260.58	DCR|3VULN|2DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68aVULN|7RCR|8BPWR|9FEWX
21	21321 34768	5	   	260.48	DCR|3VULN|2DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78aVULN|8BPWR|9DUST
22	21321 44836	6	   	260.48	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2LIT|3MBVNT|4AART|59DMG|689VULN|7BBNT|9BPWR|aRCR
23	21321 46836	6	   	260.48	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2LIT|3MBVNT|4AART|59DMG|689VULN|7TBNT|9BPWR|aRCR
