0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35152 13221	1	 * 	314.01	DCR|4VULN|3DUR|2DMG|1TLV	168DUR|2LIT|3578VULN|48DMG|8BPWR|9TLV|aRCR
2	33115 55111	10	 * 	313.79	DCR|5VULN|3DUR|3CDMG|1TLV	19aDUR|2359aVULN|4LWND|6TLV|7RCR|89aCDMG|9aBPWR
3	33235 55111	10	   	313.79	DCR|5VULN|3DUR|3CDMG|1TLV	19aDUR|2459aVULN|3BEXP|6TLV|7RCR|89aCDMG|9aBPWR
4	33335 55111	10	   	313.79	DCR|5VULN|3DUR|3CDMG|1TLV	19aDUR|2459aVULN|3FEWX|6TLV|7RCR|89aCDMG|9aBPWR
5	33154 15111	10	   	313.69	DCR|5VULN|3DUR|3CDMG|1TLV	19aDUR|2349aVULN|5TLV|6DUST|7RCR|89aCDMG|9aBPWR
6	31135 55132	10	   	306.12	DCR|4VULN|2DMG|2DUR|1TLV|1CDMG	1aDUR|2LWND|345aVULN|6TLV|7RCR|8CDMG|9aDMG|aBPWR
7	33136 61132	10	   	306.02	DCR|4VULN|2DMG|2DUR|1TLV|1CDMG	1aDUR|235aVULN|4MBVNT|6TLV|7RCR|8CDMG|9aDMG|aBPWR
8	33436 61132	10	   	306.02	DCR|4VULN|2DMG|2DUR|1TLV|1CDMG	1aDUR|245aVULN|3MBVNT|6TLV|7RCR|8CDMG|9aDMG|aBPWR
9	43333 41153	6	 * 	305.20	DCR|4VULN|3DMG|3DUR	1RPLT|257DUR|3678VULN|467DMG|67BPWR|9LHND|aRCR
10	43333 41133	6	   	305.10	DCR|4VULN|3DMG|3DUR	1RPLT|257DUR|3678VULN|467DMG|67BPWR|9DUST|aRCR
11	53132 13221	3	   	302.97	DCR|4VULN|3DUR|1DMG|1TLV|2LIT	18LIT|2DMG|3578VULN|468DUR|8BPWR|9TLV|aRCR
12	53113 35611	9	 * 	302.44	DCR|5VULN|3DMG|1CDMG	1LIT|247DMG|3458aVULN|4BPWR|6CDMG|9RCR
13	32235 51111	10	 * 	298.01	DCR|2VULN|3DMG|3DUR|3CDMG|1TLV	19aDUR|2ZMB|39aDMG|45VULN|6TLV|7RCR|89aCDMG|9aBPWR
14	33252 13221	2	   	297.92	DCR|3VULN|3DUR|2DMG|1TLV|2LIT	168DUR|257VULN|38DMG|48LIT|8BPWR|9TLV|aRCR
15	53132 14221	3	   	297.92	DCR|3VULN|3DUR|2DMG|1TLV|2LIT	18LIT|27DMG|358VULN|468DUR|8BPWR|9TLV|aRCR
16	35152 13241	1	   	297.66	DCR|4VULN|3DUR|2DMG	168DUR|2LIT|3578VULN|48DMG|8BPWR|9ERES|aRCR
17	43333 41124	10	 * 	295.66	DCR|5VULN|2DMG|2DUR	1RPLT|25DUR|36789VULN|46DMG|6BPWR|aRCR
18	33115 55112	9	   	294.85	DCR|4VULN|2DUR|1DMG|2CDMG|1TLV	19DUR|2359VULN|4LWND|6TLV|7RCR|89CDMG|9BPWR|aDMG
19	33235 55112	9	   	294.85	DCR|4VULN|2DUR|1DMG|2CDMG|1TLV	19DUR|2459VULN|3BEXP|6TLV|7RCR|89CDMG|9BPWR|aDMG
20	33335 55112	9	   	294.85	DCR|4VULN|2DUR|1DMG|2CDMG|1TLV	19DUR|2459VULN|3FEWX|6TLV|7RCR|89CDMG|9BPWR|aDMG
21	33154 15112	9	   	294.75	DCR|4VULN|2DUR|1DMG|2CDMG|1TLV	19DUR|2349VULN|5TLV|6DUST|7RCR|89CDMG|9BPWR|aDMG
22	33511 13561	2	   	294.23	DCR|5VULN|2DUR|2CDMG|1TLV	1aDUR|2489aVULN|34CDMG|4aBPWR|5TLV|6aERES|7RCR
23	33164 15111	10	   	294.15	DCR|4VULN|3DUR|3CDMG|1TLV	19aDUR|239aVULN|4RCVC|5TLV|6DUST|7RCR|89aCDMG|9aBPWR
24	53113 35611	10	   	293.90	DCR|4VULN|3DMG|1CDMG|1ASPD	1LIT|247DMG|3458VULN|4BPWR|6CDMG|9RCR|aASPD
25	33116 24621	3	   	292.27	DCR|4VULN|2DMG|2DUR|1TLV	18DUR|2346VULN|57DMG|9RCR|aTLV
26	35152 63231	1	   	291.08	DCR|4VULN|2DMG|2DUR|2LIT	18DUR|26LIT|3578VULN|48DMG|8BPWR|9MLV|aRCR
27	51152 13231	2	   	291.08	DCR|4VULN|2DMG|2DUR|2LIT	18LIT|26DUR|3578VULN|48DMG|8BPWR|9MLV|aRCR
28	53113 36621	5	 * 	291.06	DCR|4VULN|2DMG|2ASPD|1TLV	1LIT|24DMG|3458VULN|4BPWR|6aASPD|7RCR|9TLV
29	31132 13523	9	   	289.45	DCR|4VULN|3DUR|2DMG	17aDUR|26LWND|3478VULN|57DMG|7BPWR|9RCR
30	53113 35511	9	   	289.45	DCR|4VULN|3DMG|2LIT|1CDMG	18LIT|247DMG|345aVULN|4BPWR|6CDMG|9RCR
31	53115 12611	9	   	289.45	DCR|4VULN|3DMG|2LIT|1CDMG	17LIT|245DMG|348aVULN|4BPWR|6CDMG|9RCR
32	33124 63261	3	   	287.91	DCR|4VULN|3DUR|2CDMG|1TLV	18aDUR|239aVULN|4TLV|5ERES|6aCDMG|7RCR|aBPWR
33	33511 13261	2	   	287.91	DCR|4VULN|3DUR|2CDMG|1TLV	18aDUR|249aVULN|34CDMG|4aBPWR|5TLV|6aERES|7RCR
34	53113 36314	5	   	287.51	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	1LIT|249DMG|345VULN|4BPWR|6ASPD|7RCR|8DUR|aCDMG
35	33154 15132	10	   	287.10	DCR|3VULN|2DMG|2DUR|2TLV|1CDMG	1aDUR|234VULN|5aTLV|6DUST|7RCR|8CDMG|9aDMG|aBPWR
36	33116 24622	3	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	18DUR|2346VULN|57DMG|9RCR|aASPD
37	33136 61462	7	   	286.81	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|2358VULN|4MBVNT|68TLV|7RCR|8BPWR|9LIT|aDMG
38	33512 31126	2	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	178DUR|247VULN|34CDMG|47BPWR|5FEWX|67DMG|9ERES|aRCR
39	33512 31136	2	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	178DUR|247VULN|34CDMG|47BPWR|5FEWX|67DMG|9BBNT|aRCR
40	33514 31126	2	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	178DUR|247VULN|34CDMG|47BPWR|5BEXP|67DMG|9ERES|aRCR
41	53132 13241	3	   	286.62	DCR|4VULN|3DUR|1DMG|2LIT	18LIT|2DMG|3578VULN|468DUR|8BPWR|9ERES|aRCR
42	31132 13523	10	   	285.89	DCR|4VULN|2DMG|2DUR	17DUR|26LWND|3478VULN|57DMG|7BPWR|9RCR|aAART
43	31132 13525	9	   	285.89	DCR|4VULN|2DMG|2DUR	17DUR|26LWND|3478VULN|57DMG|7BPWR|9RCR|aAART
44	33114 23411	10	   	285.51	DCR|4VULN|3DUR|3TLV|1CDMG	19aDUR|239aVULN|4LWND|5CDMG|69aTLV|7RCR|8DMSP|9aBPWR
45	35152 43231	1	   	284.53	DCR|4VULN|2DMG|2DUR	18DUR|2LIT|3578VULN|48DMG|6RCVC|8BPWR|9MLV|aRCR
46	33113 14363	3	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2349VULN|5LIT|6TBNT|7ERES|89DMG|9BPWR|aRCR
47	33113 34363	3	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2349VULN|5LIT|6BBNT|7ERES|89DMG|9BPWR|aRCR
48	33121 53363	6	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2369VULN|4LIT|5ERES|7BBNT|89DMG|9BPWR|aRCR
49	33124 14363	5	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2359VULN|4LIT|6TBNT|7ERES|89DMG|9BPWR|aRCR
50	33124 34363	5	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2359VULN|4LIT|6BBNT|7ERES|89DMG|9BPWR|aRCR
51	33124 53363	6	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2359VULN|4LIT|6ERES|7BBNT|89DMG|9BPWR|aRCR
52	33153 14363	4	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2349VULN|5LIT|6TBNT|7ERES|89DMG|9BPWR|aRCR
53	33153 34363	4	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|2349VULN|5LIT|6BBNT|7ERES|89DMG|9BPWR|aRCR
